state,current_CN,current_MEASYEAR,current_INVYR,current_PLOT_STATUS_CD,current_has_accessible_forest,current_accessible_forest_prop,PREV_PLT_CN,prev_record_resolved,prev_MEASYEAR,prev_INVYR,prev_PLOT_STATUS_CD,prev_has_accessible_forest,prev_accessible_forest_prop,REMPER,both_measurements_2017_2023,previous_before_2017,same_plot_status,both_accessible_forest,accessible_forest_gained,accessible_forest_lost,abs_accessible_prop_change
PA,375840781489998,2017,2017,2,0,0.0,222094894010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840784489998,2018,2017,1,1,0.5,222094902010661,1,2012,2011,1,1,0.5,6.0,0,1,1,1,0,0,0.0
PA,375840743489998,2017,2017,2,0,0.0,222094778010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840530489998,2017,2017,2,0,0.0,222094574010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840532489998,2017,2017,1,1,1.0,222094588010661,1,2011,2011,1,1,1.0,5.7,0,1,1,1,0,0,0.0
PA,375840759489998,2017,2017,2,0,0.0,222094802010661,1,2012,2011,2,0,0.0,5.3,0,1,1,0,0,0,0.0
PA,375840757489998,2017,2017,2,0,0.0,222094796010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840747489998,2017,2017,2,0,0.0,222094848010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840742489998,2017,2017,1,1,0.196875,222094776010661,1,2011,2011,2,0,0.0,5.9,0,1,0,0,1,0,0.196875
PA,375841217489998,2017,2017,1,1,0.168307,222096512010661,1,2011,2011,3,0,0.0,,0,1,0,0,1,0,0.168307
PA,375840528489998,2017,2017,1,1,0.25,222094570010661,1,2011,2011,3,0,0.0,,0,1,0,0,1,0,0.25
PA,375840758489998,2017,2017,1,1,0.01939,222094800010661,1,2011,2011,2,0,0.0,5.7,0,1,0,0,1,0,0.01939
PA,375840529489998,2017,2017,2,0,0.0,222094572010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840745489998,2017,2017,1,1,0.25,222094840010661,1,2011,2011,1,1,1.0,5.9,0,1,1,1,0,0,0.75
PA,375840746489998,2017,2017,2,0,0.0,222094846010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840637489998,2017,2017,2,0,0.0,222094836010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840790489998,2017,2017,2,0,0.0,222094954010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840625489998,2017,2017,2,0,0.0,222094642010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840624489998,2017,2017,2,0,0.0,222094640010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840756489998,2017,2017,2,0,0.0,222094794010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840623489998,2017,2017,1,1,0.724414,222094638010661,1,2011,2011,1,1,0.724414,5.8,0,1,1,1,0,0,0.0
PA,375840773489998,2017,2017,1,1,1.0,222094786010661,1,2011,2011,3,0,0.0,,0,1,0,0,1,0,1.0
PA,375840633489998,2017,2017,2,0,0.0,222094654010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840741489998,2017,2017,2,0,0.0,222094774010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840772489998,2017,2017,2,0,0.0,222094784010661,1,2011,2011,1,1,0.206853,5.9,0,1,0,0,0,1,0.206853
PA,375840786489998,2017,2017,2,0,0.0,222094944010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840795489998,2017,2017,1,1,0.334272,222094792010661,1,2012,2011,3,0,0.0,,0,1,0,0,1,0,0.334272
PA,375840640489998,2017,2017,2,0,0.0,222095054010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840816489998,2017,2017,1,1,1.0,222095000010661,1,2011,2011,1,1,1.0,6.3,0,1,1,1,0,0,0.0
PA,375840642489998,2017,2017,2,0,0.0,222095058010661,1,2011,2011,2,0,0.0,6.0,0,1,1,0,0,0,0.0
PA,375840661489998,2018,2017,1,1,1.0,222094960010661,1,2011,2011,1,1,1.0,6.5,0,1,1,1,0,0,0.0
PA,375841240489998,2017,2017,2,0,0.0,222096504010661,1,2011,2011,2,0,0.0,5.9,0,1,1,0,0,0,0.0
PA,375840599489998,2017,2017,2,0,0.0,222094676010661,1,2011,2011,1,1,0.895715,6.4,0,1,0,0,0,1,0.895715
PA,375840662489998,2017,2017,1,1,0.781538,222094964010661,1,2012,2011,1,1,0.781538,5.7,0,1,1,1,0,0,0.0
PA,375840641489998,2018,2017,1,1,1.0,222095056010661,1,2012,2011,1,1,1.0,5.9,0,1,1,1,0,0,0.0
PA,375840643489998,2017,2017,1,1,0.785091,222095062010661,1,2011,2011,1,1,0.785091,5.9,0,1,1,1,0,0,0.0
PA,375840702489998,2017,2017,1,1,0.75,222095226010661,1,2011,2011,1,1,1.0,6.5,0,1,1,1,0,0,0.25
