state,prev_MEASYEAR,current_MEASYEAR,pairs
NC,2008,2017,7
NC,2008,2018,2
NC,2009,2017,270
NC,2009,2018,205
NC,2009,2019,19
NC,2010,2017,27
NC,2010,2018,190
NC,2010,2019,248
NC,2010,2020,16
NC,2011,2018,38
NC,2011,2019,362
NC,2011,2020,45
NC,2012,2019,24
NC,2012,2020,33
NC,2013,2019,55
NC,2013,2020,262
NC,2013,2021,20
NC,2014,2019,78
NC,2014,2020,516
NC,2014,2021,250
NC,2015,2020,143
NC,2015,2021,456
NC,2015,2022,24
NC,2015,2023,54
NC,2016,2021,34
NC,2016,2022,191
NC,2016,2023,384
NC,2017,2021,91
NC,2017,2022,371
NC,2017,2023,248
NC,2018,2021,56
NC,2018,2022,394
NC,2018,2023,28
NC,2019,2022,15
NC,2019,2023,194
PA,2011,2017,487
PA,2011,2018,143
PA,2011,2019,6
PA,2012,2017,70
PA,2012,2018,462
PA,2012,2019,330
PA,2012,2020,16
PA,2013,2018,50
PA,2013,2019,270
PA,2013,2020,500
PA,2013,2021,16
PA,2014,2019,42
PA,2014,2020,104
PA,2014,2021,493
PA,2014,2022,31
PA,2015,2021,76
PA,2015,2022,584
PA,2015,2023,32
PA,2016,2022,37
PA,2016,2023,581
PA,2017,2023,33
TN,2009,2017,3
TN,2009,2018,16
TN,2009,2019,7
TN,2010,2017,31
TN,2011,2017,223
TN,2011,2018,271
TN,2011,2019,266
TN,2012,2017,27
TN,2012,2018,208
TN,2012,2019,225
TN,2012,2020,252
TN,2012,2021,63
TN,2012,2022,23
TN,2013,2017,2
TN,2013,2018,10
TN,2013,2019,148
TN,2013,2020,176
TN,2013,2021,131
TN,2013,2022,134
TN,2013,2023,64
TN,2014,2019,30
TN,2014,2020,87
TN,2014,2021,255
TN,2014,2022,151
TN,2014,2023,130
TN,2015,2020,15
TN,2015,2021,51
TN,2015,2022,149
TN,2015,2023,168
TN,2016,2020,15
TN,2016,2021,53
TN,2016,2022,59
TN,2016,2023,270
TN,2017,2022,54
TN,2017,2023,16
TN,2018,2023,17
VA,2012,2017,2
VA,2012,2018,46
VA,2012,2019,13
VA,2013,2018,175
VA,2013,2019,226
VA,2014,2018,36
VA,2014,2019,367
VA,2014,2020,233
VA,2014,2021,4
VA,2015,2019,87
VA,2015,2020,543
VA,2015,2021,68
VA,2016,2019,1
VA,2016,2020,165
VA,2016,2021,726
VA,2016,2022,73
VA,2017,2021,210
VA,2017,2022,675
VA,2017,2023,147
VA,2018,2022,139
VA,2018,2023,515
VA,2019,2022,2
VA,2019,2023,215
VA,2020,2022,6
VA,2020,2023,20
VA,2021,2023,2
WV,2011,2017,269
WV,2011,2018,59
WV,2011,2019,11
WV,2012,2017,64
WV,2012,2018,194
WV,2012,2019,150
WV,2012,2020,14
WV,2013,2018,50
WV,2013,2019,152
WV,2013,2020,241
WV,2013,2021,22
WV,2014,2019,32
WV,2014,2020,45
WV,2014,2021,207
WV,2014,2022,67
WV,2015,2021,31
WV,2015,2022,252
WV,2015,2023,73
WV,2016,2022,18
WV,2016,2023,310
WV,2017,2023,14
