SPCD,scientific_name,common_name,detected_eligible_plots,large_tree_records,commonness_class,candidate_pool_detection_floor,detected_cells_25km,eligible_cells_25km,detected_cells_50km,eligible_cells_50km,detected_cells_75km,eligible_cells_75km
316,Acer rubrum,red maple,8349,41417,common_top10,30,867,931,255,266,119,127
621,Liriodendron tulipifera,yellow-poplar,5398,24146,common_top10,30,801,931,247,266,114,127
802,Quercus alba,white oak,4378,14634,common_top10,30,773,931,243,266,112,127
832,Quercus prinus,chestnut oak,3541,20293,common_top10,30,555,931,187,266,93,127
833,Quercus rubra,northern red oak,3430,9153,common_top10,30,707,931,220,266,105,127
762,Prunus serotina,black cherry,3345,10913,common_top10,30,777,931,245,266,116,127
693,Nyssa sylvatica,blackgum,2967,6556,common_top10,30,709,931,230,266,111,127
318,Acer saccharum,sugar maple,2916,12162,common_top10,30,512,931,161,266,84,127
611,Liquidambar styraciflua,sweetgum,2709,12240,common_top10,30,431,931,147,266,79,127
131,Pinus taeda,loblolly pine,2672,48239,common_top10,30,412,931,144,266,81,127
403,Carya glabra,pignut hickory,2654,5833,,30,676,931,216,266,112,127
531,Fagus grandifolia,American beech,2590,8366,,30,648,931,221,266,110,127
372,Betula lenta,sweet birch,2365,9761,,30,391,931,131,266,67,127
711,Oxydendrum arboreum,sourwood,2342,7313,,30,443,931,154,266,79,127
837,Quercus velutina,black oak,2191,4123,,30,653,931,217,266,106,127
806,Quercus coccinea,scarlet oak,2121,5860,,30,591,931,205,266,104,127
409,Carya alba,mockernut hickory,2002,4157,,30,606,931,203,266,108,127
132,Pinus virginiana,Virginia pine,1602,8608,,30,380,931,141,266,73,127
129,Pinus strobus,eastern white pine,1561,6992,,30,336,931,129,266,67,127
261,Tsuga canadensis,eastern hemlock,1383,6869,,30,326,931,120,266,66,127
541,Fraxinus americana,white ash,1233,2646,,30,513,931,198,266,100,127
68,Juniperus virginiana,eastern redcedar,1187,5049,,30,389,931,146,266,84,127
407,Carya ovata,shagbark hickory,1141,2374,,30,463,931,178,266,97,127
812,Quercus falcata,southern red oak,1037,2237,,30,384,931,136,266,72,127
901,Robinia pseudoacacia,black locust,1023,2110,,30,404,931,162,266,86,127
931,Sassafras albidum,sassafras,938,2184,,30,445,931,185,266,96,127
972,Ulmus americana,American elm,924,1626,,30,452,931,205,266,110,127
602,Juglans nigra,black walnut,909,1805,,30,455,931,192,266,99,127
971,Ulmus alata,winged elm,777,1622,,30,253,931,90,266,53,127
651,Magnolia acuminata,cucumbertree,726,1200,,30,267,931,102,266,62,127
371,Betula alleghaniensis,yellow birch,721,3032,,30,188,931,85,266,49,127
951,Tilia americana,American basswood,709,1886,,30,317,931,135,266,72,127
356,Amelanchier spp.,serviceberry spp.,665,1158,,30,261,931,105,266,60,127
110,Pinus echinata,shortleaf pine,638,1847,,30,252,931,109,266,61,127
544,Fraxinus pennsylvanica,green ash,632,1724,,30,349,931,159,266,85,127
731,Platanus occidentalis,American sycamore,631,1364,,30,372,931,176,266,100,127
835,Quercus stellata,post oak,611,1136,,30,279,931,125,266,71,127
591,Ilex opaca,American holly,592,1463,,30,220,931,91,266,60,127
402,Carya cordiformis,bitternut hickory,571,1065,,30,359,931,171,266,96,127
975,Ulmus rubra,slippery elm,552,872,,30,328,931,163,266,89,127
701,Ostrya virginiana,eastern hophornbeam,511,885,,30,290,931,143,266,83,127
827,Quercus nigra,water oak,494,1352,,30,180,931,73,266,41,127
341,Ailanthus altissima,ailanthus,477,1329,,30,265,931,138,266,77,127
391,Carpinus caroliniana,American hornbeam,467,879,,30,301,931,160,266,88,127
462,Celtis occidentalis,hackberry,459,1153,intermediate10,30,212,931,114,266,75,127
126,Pinus rigida,pitch pine,406,1120,intermediate10,30,161,931,77,266,45,127
313,Acer negundo,boxelder,402,1002,intermediate10,30,256,931,140,266,86,127
831,Quercus phellos,willow oak,395,717,intermediate10,30,215,931,90,266,52,127
