SPCD,fia_name,usgs_column,match_status,detected_eligible_plots,US_occupied_grids,Canada_occupied_grids,US_fraction_of_US_plus_Canada,Canada_extension
316,Acer rubrum,Acer rubrum,exact,8349,3939,889,0.8158657829328915,yes
621,Liriodendron tulipifera,Liriodendron tulipifera,exact,5398,2304,25,0.9892657793044225,yes
802,Quercus alba,Quercus alba,exact,4378,3656,91,0.9757139044568989,yes
832,Quercus prinus,Quercus prinus,exact,3541,1172,24,0.979933110367893,yes
833,Quercus rubra,Quercus rubra,exact,3430,3554,771,0.8217341040462428,yes
762,Prunus serotina,Prunus serotina,exact,3345,4380,291,0.9377007064868337,yes
693,Nyssa sylvatica,Nyssa sylvatica,exact,2967,2920,20,0.9931972789115646,yes
318,Acer saccharum,Acer saccharum,exact,2916,2506,898,0.736192714453584,yes
611,Liquidambar styraciflua,Liquidambar styraciflua,exact,2709,2098,0,1.0,no
131,Pinus taeda,Pinus taeda,exact,2672,1287,0,1.0,no
403,Carya glabra,Carya glabra,exact,2654,2890,15,0.9948364888123924,yes
531,Fagus grandifolia,Fagus grandifolia,exact,2590,2851,513,0.8475029726516052,yes
372,Betula lenta,Betula lenta,exact,2365,749,8,0.9894319682959049,yes
711,Oxydendrum arboreum,Oxydendrum arboreum,exact,2342,1090,0,1.0,no
837,Quercus velutina,Quercus velutina,exact,2191,3391,38,0.9889180519101779,yes
806,Quercus coccinea,Quercus coccinea,exact,2121,1399,0,1.0,no
409,Carya alba,,unresolved,2002,,,,
132,Pinus virginiana,Pinus virginiana,exact,1602,796,0,1.0,no
129,Pinus strobus,Pinus strobus,exact,1561,1531,1232,0.5541078537821209,yes
261,Tsuga canadensis,Tsuga canadensis,exact,1383,1288,502,0.7195530726256983,yes
541,Fraxinus americana,Fraxinus americana,exact,1233,3714,550,0.8710131332082551,yes
68,Juniperus virginiana,Juniperus virginiana,exact,1187,4077,120,0.9714081486776269,yes
407,Carya ovata,Carya ovata,exact,1141,2942,81,0.9732054250744294,yes
812,Quercus falcata,Quercus falcata,exact,1037,2003,0,1.0,no
