SPCD,fia_name,match_status,detected_eligible_plots
409,Carya alba,unresolved,2002
356,Amelanchier spp.,unresolved,665
341,Ailanthus altissima,unresolved,477
694,Nyssa biflora,unresolved,346
712,Paulownia tomentosa,unresolved,158
813,Quercus pagoda,unresolved,158
660,Malus spp.,unresolved,92
500,Crataegus spp.,unresolved,82
771,Prunus avium,unresolved,81
91,Picea abies,unresolved,56
345,Albizia julibrissin,unresolved,40
320,Acer platanoides,unresolved,35
130,Pinus sylvestris,unresolved,34
6511,Persea palustris,unresolved,34
8421,Pyrus calleryana,unresolved,28
681,Morus alba,unresolved,17
222,Taxodium ascendens,unresolved,15
70,Larix spp.,unresolved,15
993,Melia azedarach,unresolved,13
999,Tree unknown,unresolved,12
840,Quercus margarettiae,unresolved,9
412,Carya ovalis,unresolved,6
452,Catalpa speciosa,unresolved,5
502,Crataegus mollis,unresolved,4
8420,Pyrus spp.,unresolved,4
136,Pinus nigra,unresolved,3
355,Alnus glutinosa,unresolved,3
451,Catalpa bignonioides,unresolved,3
8423,Pyrus communis,unresolved,3
8427,Quercus acutissima,unresolved,3
501,Crataegus crus-galli,unresolved,2
974,Ulmus pumila,unresolved,2
350,Alnus spp.,unresolved,1
424,Castanea mollissima,unresolved,1
561,Ginkgo biloba,unresolved,1
7328,Halesia tetraptera,unresolved,1
753,Populus nigra,unresolved,1
760,Prunus spp.,unresolved,1
927,Salix alba,unresolved,1
