SPCD,fia_name,detected_eligible_plots
409,Carya alba,2002
356,Amelanchier spp.,665
341,Ailanthus altissima,477
694,Nyssa biflora,346
332,Aesculus flava,296
712,Paulownia tomentosa,158
813,Quercus pagoda,158
660,Malus spp.,92
500,Crataegus spp.,82
771,Prunus avium,81
91,Picea abies,56
345,Albizia julibrissin,40
320,Acer platanoides,35
130,Pinus sylvestris,34
6511,Persea palustris,34
8421,Pyrus calleryana,28
404,Carya illinoinensis,26
681,Morus alba,17
222,Taxodium ascendens,15
70,Larix spp.,15
952,Tilia americana var. heterophylla,14
993,Melia azedarach,13
999,Tree unknown,12
840,Quercus margarettiae,9
828,Quercus texana,7
412,Carya ovalis,6
452,Catalpa speciosa,5
502,Crataegus mollis,4
8420,Pyrus spp.,4
136,Pinus nigra,3
355,Alnus glutinosa,3
451,Catalpa bignonioides,3
8423,Pyrus communis,3
8427,Quercus acutissima,3
501,Crataegus crus-galli,2
974,Ulmus pumila,2
350,Alnus spp.,1
424,Castanea mollissima,1
561,Ginkgo biloba,1
67,Juniperus virginiana var. silicicola,1
7328,Halesia tetraptera,1
753,Populus nigra,1
760,Prunus spp.,1
927,Salix alba,1
