fia_species_code,fia_name_raw,fia_scientific_name,fia_input_taxon_rank,normalized_fia_name,wcvp_exact_name_match_count,wcvp_exact_match_ids,wcvp_exact_match_statuses,wcvp_usable_accepted_ids,matched_wcvp_plant_name_id,matched_wcvp_taxon_status,matched_wcvp_taxon_rank,matched_wcvp_taxon_name,accepted_taxon_id,accepted_taxon_name,accepted_taxon_rank,accepted_taxon_status,accepted_parent_species_id,accepted_parent_species_name,analysis_species_id,analysis_species_name,analysis_species_rank,mapping_class,taxonomy_resolution_status,ambiguity_alternatives,mapping_reason,distribution_query_plant_name_id,distribution_query_taxon_name,range_query_rule,wcvp_source_version,wcvp_source_sha256,wcvp_distribution_record_count,confirmed_current_native_record_count,confirmed_native_outside_USA_Canada,confirmed_native_outside_North_America,usgs_mapping_class,usgs_atlas_row_count,usgs_review_required_flag,usgs_canonical_layer_key,diameter_measurement_basis,woodland_indicator,dia_threshold_inches,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_component_flag,eligibility_usgs_mapping_type_audit_only,eligibility_global_queue_status_audit_only
363,Arbutus xalapensis,Arbutus xalapensis,species,Arbutus xalapensis,2,2646755;2646756,Accepted;Synonym,2646755;3262971,,,,,,,,,,,,,,AMBIGUOUS,AMBIGUOUS,2646755:Arbutus xalapensis:Species:Accepted;3262971:Comarostaphylis polifolia subsp. polifolia:Subspecies:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DRC_ROOT_COLLAR,Y,5.0,1,1,0,unresolved,NOT_ASSESSED
372,Betula lenta,Betula lenta,species,Betula lenta,2,21442;21443,Accepted;Synonym,21443;21658,,,,,,,,,,,,,,AMBIGUOUS,AMBIGUOUS,21443:Betula lenta:Species:Accepted;21658:Betula pubescens var. pubescens:Variety:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,exact,NOT_ASSESSED
744,Populus heterophylla,Populus heterophylla,species,Populus heterophylla,3,2917593;2917602;2917603,Accepted;Invalid;Synonym,2917429;2917593,,,,,,,,,,,,,,AMBIGUOUS,AMBIGUOUS,2917429:Populus deltoides subsp. monilifera:Subspecies:Accepted;2917593:Populus heterophylla:Species:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,exact,NOT_ASSESSED
820,Quercus laurifolia,Quercus laurifolia,species,Quercus laurifolia,2,173587;173588,Accepted;Synonym,114563;173587,,,,,,,,,,,,,,AMBIGUOUS,AMBIGUOUS,114563:Lithocarpus korthalsii:Species:Accepted;173587:Quercus laurifolia:Species:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,exact,NOT_ASSESSED
822,Quercus lyrata,Quercus lyrata,species,Quercus lyrata,2,173795;173796,Accepted;Synonym,173674;173795,,,,,,,,,,,,,,AMBIGUOUS,AMBIGUOUS,173674:Quercus lobata:Species:Accepted;173795:Quercus lyrata:Species:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,exact,NOT_ASSESSED
840,Quercus margarettiae,Quercus margarettiae,species,Quercus margarettiae,0,,,,,,,,,,,,,,,,,UNRESOLVED,UNRESOLVED,,No exact normalized WCVP name record.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,unresolved,NOT_ASSESSED
6511,Persea palustris,Persea palustris,species,Persea palustris,1,2531614,Synonym,2442487,2531614,Synonym,Species,Persea palustris,2442487,,,,,,,,,UNRESOLVED,UNRESOLVED,,Accepted identifier did not resolve to a WCVP Accepted row.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,unresolved,NOT_ASSESSED
6955,Salix fragilis,Salix fragilis,species,Salix fragilis,2,2917719;2921957,Misapplied,,,,,,,,,,,,,,,UNRESOLVED,UNRESOLVED,,Exact WCVP rows exist only under statuses not authorized for deterministic resolution.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,unresolved,NOT_ASSESSED
8355,Psidium cattleianum,Psidium cattleianum,species,Psidium cattleianum,0,,,,,,,,,,,,,,,,,UNRESOLVED,UNRESOLVED,,No exact normalized WCVP name record.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,unresolved,NOT_ASSESSED
8563,Schinus terebinthifolius,Schinus terebinthifolius,species,Schinus terebinthifolius,0,,,,,,,,,,,,,,,,,UNRESOLVED,UNRESOLVED,,No exact normalized WCVP name record.,,,NOT_APPLICABLE_NO_ANALYSIS_SPECIES,16,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,,,,,,,,,DBH_BREAST_HEIGHT,N,5.0,1,1,1,unresolved,NOT_ASSESSED
