analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name
6364,Alnus glutinosa,(L.) Gaertn.,Betulaceae,Species,Accepted,30036759-2,30036759-2,Y,1,355,Alnus glutinosa,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,6364,Alnus glutinosa
6544,Alnus oblongifolia,Torr.,Betulaceae,Species,Accepted,294968-1,294968-1,Y,1,353,Alnus oblongifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,6544,Alnus oblongifolia
6578,Alnus rhombifolia,Nutt.,Betulaceae,Species,Accepted,294983-1,294983-1,Y,1,352,Alnus rhombifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,6578,Alnus rhombifolia
6584,Alnus rubra,Bong.,Betulaceae,Species,Accepted,294986-1,294986-1,Y,1,351,Alnus rubra,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,6584,Alnus rubra
18443,Avicennia germinans,(L.) L.,Acanthaceae,Species,Accepted,861125-1,861125-1,N,1,986,Avicennia germinans,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,18443,Avicennia germinans
21135,Betula alleghaniensis,Britton,Betulaceae,Species,Accepted,32106-2,32106-2,Y,1,371,Betula alleghaniensis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21135,Betula alleghaniensis
21527,Betula nigra,L.,Betulaceae,Species,Accepted,295155-1,295155-1,Y,1,373,Betula nigra,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21527,Betula nigra
21535,Betula occidentalis,Hook.,Betulaceae,Species,Accepted,295159-1,295159-1,Y,1,374,Betula occidentalis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21535,Betula occidentalis
21557,Betula papyrifera,Marshall,Betulaceae,Species,Accepted,32197-2,32197-2,Y,1,375,Betula papyrifera,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21557,Betula papyrifera
21620,Betula populifolia,Marshall,Betulaceae,Species,Accepted,107861-1,107861-1,Y,1,379,Betula populifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21620,Betula populifolia
