fia_species_code,scientific_name,woodland_indicator,diameter_measurement_basis,dia_threshold_inches,direct_cross_taxon_comparability_flag,tpa_unadj_available_fraction,population_expansion_applied,sampling_variance_estimated,note
11,Abies amabilis,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
12,Abies balsamea,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
15,Abies concolor,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
16,Abies fraseri,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
17,Abies grandis,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
18,Abies lasiocarpa var. arizonica,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
19,Abies lasiocarpa,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
20,Abies magnifica,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
21,Abies shastensis,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
22,Abies procera,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
41,Chamaecyparis lawsoniana,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
42,Chamaecyparis nootkatensis,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
43,Chamaecyparis thyoides,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
51,Cupressus arizonica,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
52,Cupressus bakeri,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
54,Cupressus macrocarpa,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
55,Cupressus sargentii,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
58,Juniperus pinchotii,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
59,Juniperus coahuilensis,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
60,Juniperus flaccida,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
61,Juniperus ashei,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
62,Juniperus californica,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
63,Juniperus deppeana,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
64,Juniperus occidentalis,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
65,Juniperus osteosperma,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
66,Juniperus scopulorum,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
67,Juniperus virginiana var. silicicola,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
68,Juniperus virginiana,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
69,Juniperus monosperma,Y,DRC_ROOT_COLLAR,5.0,0,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
70,Larix spp.,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
71,Larix laricina,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
72,Larix lyallii,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
73,Larix occidentalis,N,DBH_BREAST_HEIGHT,5.0,1,1.0,0,0,Woodland/DRC and regional/manual protocol differences are retained as flags. TPA_UNADJ availability is audited; formal expansion/variance estimation is outside this census.
