issue_id,issue_scope,issue_class,fia_species_code,fia_scientific_name,analysis_species_id,analysis_species_name,usgs_atlas_row_id,evidence,reason,mainline_action_required
TAX-0001,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,70,Larix spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0002,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,350,Alnus spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0003,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,356,Amelanchier spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0004,FIA_TO_WCVP_TAXONOMY,AMBIGUOUS,363,Arbutus xalapensis,,,,2646755:Arbutus xalapensis:Species:Accepted;3262971:Comarostaphylis polifolia subsp. polifolia:Subspecies:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0005,FIA_TO_WCVP_TAXONOMY,AMBIGUOUS,372,Betula lenta,,,,21443:Betula lenta:Species:Accepted;21658:Betula pubescens var. pubescens:Variety:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0006,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,500,Crataegus spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0007,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,660,Malus spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0008,FIA_TO_WCVP_TAXONOMY,AMBIGUOUS,744,Populus heterophylla,,,,2917429:Populus deltoides subsp. monilifera:Subspecies:Accepted;2917593:Populus heterophylla:Species:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0009,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,760,Prunus spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0010,FIA_TO_WCVP_TAXONOMY,AMBIGUOUS,820,Quercus laurifolia,,,,114563:Lithocarpus korthalsii:Species:Accepted;173587:Quercus laurifolia:Species:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0011,FIA_TO_WCVP_TAXONOMY,AMBIGUOUS,822,Quercus lyrata,,,,173674:Quercus lobata:Species:Accepted;173795:Quercus lyrata:Species:Accepted,Exact normalized FIA name maps through usable WCVP records to multiple distinct accepted identifiers; authorship is unavailable in the frozen FIA candidate table.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0012,FIA_TO_WCVP_TAXONOMY,UNRESOLVED,840,Quercus margarettiae,,,,,No exact normalized WCVP name record.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0013,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,860,Citrus spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0014,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,909,Roystonea spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0015,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,915,Areca spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0016,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,920,Salix spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0017,FIA_TO_WCVP_TAXONOMY,HYBRID_OR_NOTHOTAXON,929,Salix x sepulcralis,,,,2920502,Hybrid marker or WCVP artificial-hybrid evidence; no ordinary accepted-species assignment.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0018,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,934,Sorbus spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0019,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,991,Tamarix spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0020,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,999,Tree unknown,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0021,FIA_TO_WCVP_TAXONOMY,UNRESOLVED,6511,Persea palustris,,,,2531614,Accepted identifier did not resolve to a WCVP Accepted row.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0022,FIA_TO_WCVP_TAXONOMY,UNRESOLVED,6955,Salix fragilis,,,,2917719;2921957,Exact WCVP rows exist only under statuses not authorized for deterministic resolution.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0023,FIA_TO_WCVP_TAXONOMY,HYBRID_OR_NOTHOTAXON,8313,Populus x canadensis,,,,2921452,Hybrid marker or WCVP artificial-hybrid evidence; no ordinary accepted-species assignment.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0024,FIA_TO_WCVP_TAXONOMY,UNRESOLVED,8355,Psidium cattleianum,,,,,No exact normalized WCVP name record.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0025,FIA_TO_WCVP_TAXONOMY,GENUS_OR_NON_SPECIES_AGGREGATE,8420,Pyrus spp.,,,,,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,Decide treatment; this branch did not assign an accepted analysis species.
TAX-0026,FIA_TO_WCVP_TAXONOMY,UNRESOLVED,8563,Schinus terebinthifolius,,,,,No exact normalized WCVP name record.,Decide treatment; this branch did not assign an accepted analysis species.
USGS-0027,USGS_LAYER_MAPPING,UNRESOLVED,,,6364,Alnus glutinosa,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0028,USGS_LAYER_MAPPING,UNRESOLVED,,,35016,Castanea mollissima,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0029,USGS_LAYER_MAPPING,UNRESOLVED,,,73008,Eucalyptus globulus,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0030,USGS_LAYER_MAPPING,UNRESOLVED,,,73044,Eucalyptus grandis,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0031,USGS_LAYER_MAPPING,UNRESOLVED,,,123857,Melaleuca quinquenervia,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0032,USGS_LAYER_MAPPING,UNRESOLVED,,,136191,Nyssa biflora,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0033,USGS_LAYER_MAPPING,UNRESOLVED,,,171430,Quercus acutissima,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0034,USGS_LAYER_MAPPING,UNRESOLVED,,,171890,Quercus buckleyi,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0035,USGS_LAYER_MAPPING,UNRESOLVED,,,172866,Quercus geminata,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0036,USGS_LAYER_MAPPING,UNRESOLVED,,,172964,Quercus graciliformis,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0037,USGS_LAYER_MAPPING,UNRESOLVED,,,173053,Quercus hemisphaerica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0038,USGS_LAYER_MAPPING,UNRESOLVED,,,173316,Quercus incana,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0039,USGS_LAYER_MAPPING,UNRESOLVED,,,173817,Quercus macrocarpa,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0040,USGS_LAYER_MAPPING,UNRESOLVED,,,173929,Quercus michauxii,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0041,USGS_LAYER_MAPPING,UNRESOLVED,,,173948,Quercus minima,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0042,USGS_LAYER_MAPPING,UNRESOLVED,,,174226,Quercus pagoda,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0043,USGS_LAYER_MAPPING,UNRESOLVED,,,174518,Quercus prinoides,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0044,USGS_LAYER_MAPPING,UNRESOLVED,,,175172,Quercus similis,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0045,USGS_LAYER_MAPPING,UNRESOLVED,,,207675,Triadica sebifera,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0046,USGS_LAYER_MAPPING,UNRESOLVED,,,212845,Vernicia fordii,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0047,USGS_LAYER_MAPPING,UNRESOLVED,,,320352,Catalpa bignonioides,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0048,USGS_LAYER_MAPPING,UNRESOLVED,,,320410,Catalpa speciosa,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0049,USGS_LAYER_MAPPING,UNRESOLVED,,,334053,Ginkgo biloba,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0050,USGS_LAYER_MAPPING,UNRESOLVED,,,351387,Leucothrinax morrisii,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0051,USGS_LAYER_MAPPING,UNRESOLVED,,,354176,Ligustrum japonicum,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0052,USGS_LAYER_MAPPING,UNRESOLVED,,,354188,Ligustrum lucidum,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0053,USGS_LAYER_MAPPING,UNRESOLVED,,,377397,Juniperus flaccida,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0054,USGS_LAYER_MAPPING,UNRESOLVED,,,379837,Pinus discolor,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0055,USGS_LAYER_MAPPING,UNRESOLVED,,,380126,Pinus sylvestris,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0056,USGS_LAYER_MAPPING,UNRESOLVED,,,380171,Pinus nigra,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0057,USGS_LAYER_MAPPING,UNRESOLVED,,,380239,Pinus muricata,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0058,USGS_LAYER_MAPPING,UNRESOLVED,,,380297,Pinus radiata,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0059,USGS_LAYER_MAPPING,UNRESOLVED,,,380317,Pinus remota,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
