analysis_species_id,analysis_species_name,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,decision_status,review_reason
6364,Alnus glutinosa,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
6544,Alnus oblongifolia,SINGLE_SPECIES_LAYER,0,1,Alnus_oblongifolia,ATLASG-0042,Alnus oblongifolia,Alnus oblongifolia,Torr.,SPECIES,individual_taxa/atlas_pages/Alnus_oblongifolia.pdf,Alnus_oblongifolia,42,Little (1976),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
6578,Alnus rhombifolia,SINGLE_SPECIES_LAYER,0,1,Alnus_rhombifolia,ATLASG-0043,Alnus rhombifolia,Alnus rhombifolia,Nutt.,SPECIES,individual_taxa/atlas_pages/Alnus_rhombifolia.pdf,Alnus_rhombifolia,210,Little (1976),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
6584,Alnus rubra,SINGLE_SPECIES_LAYER,0,1,Alnus_rubra,ATLASG-0044,Alnus rubra,Alnus rubra,Bong.,SPECIES,individual_taxa/atlas_pages/Alnus_rubra.pdf,Alnus_rubra,441,Little (1971); Viereck and Little (1975),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
18443,Avicennia germinans,SINGLE_SPECIES_LAYER,0,1,Avicennia_germinans,ATLASG-0078,Avicennia germinans,Avicennia germinans,(L.) L.,SPECIES,individual_taxa/atlas_pages/Avicennia_germinans.pdf,Avicennia_germinans,16,"Little (1977, 1978)",,,redigitized,1,,CANONICAL_SINGLE_LAYER,
21135,Betula alleghaniensis,SINGLE_SPECIES_LAYER,0,1,Betula_alleghaniensis,ATLASG-0085,Betula alleghaniensis,Betula alleghaniensis,Britton,SPECIES,individual_taxa/atlas_pages/Betula_alleghaniensis.pdf,Betula_alleghaniensis,2270,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
21527,Betula nigra,SINGLE_SPECIES_LAYER,0,1,Betula_nigra,ATLASG-0088,Betula nigra,Betula nigra,L.,SPECIES,individual_taxa/atlas_pages/Betula_nigra.pdf,Betula_nigra,2132,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
21535,Betula occidentalis,SINGLE_SPECIES_LAYER,0,1,Betula_occidentalis,ATLASG-0089,Betula occidentalis,Betula occidentalis,Hook.,SPECIES,individual_taxa/atlas_pages/Betula_occidentalis.pdf,Betula_occidentalis,1091,Little (1976),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
21557,Betula papyrifera,SINGLE_SPECIES_LAYER,0,1,Betula_papyrifera,ATLASG-0090,Betula papyrifera,Betula papyrifera,Marshall,SPECIES,individual_taxa/atlas_pages/Betula_papyrifera.pdf,Betula_papyrifera,10090,Little (1971); Viereck and Little (1975),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
21620,Betula populifolia,SINGLE_SPECIES_LAYER,0,1,Betula_populifolia,ATLASG-0091,Betula populifolia,Betula populifolia,Marshall,SPECIES,individual_taxa/atlas_pages/Betula_populifolia.pdf,Betula_populifolia,639,Little (1971),,,redigitized,1,,CANONICAL_SINGLE_LAYER,
