fia_species_code,fia_name_raw,fia_official_full_name,fia_author,fia_common_name,fia_identity_source,wcvp_matched_name,wcvp_matched_author,wcvp_matched_id,wcvp_taxon_status,wcvp_taxon_rank,accepted_name,accepted_author,accepted_id,accepted_rank,hybrid_or_nothotaxon_flag,orthographic_correction_flag,synonym_path,identity_resolution_status,resolution_reason,evidence_source_1,evidence_source_2,evidence_quote_or_field,mainline_note,powo_native_distribution_aux
363,Arbutus xalapensis,Arbutus xalapensis,NOT PROVIDED IN FIA REF_SPECIES,Texas madrone,"FIA code 0363 = Texas madrone, Arbutus xalapensis; standard REF_SPECIES schema does not expose author.",Arbutus xalapensis Kunth,Kunth,WCVP accepted id 2646755; POWO/IPNI 309483-2,Accepted,Species,Arbutus xalapensis,Kunth,WCVP 2646755; POWO/IPNI 309483-2,Species,FALSE,FALSE,Direct accepted concept. Homonymous Arbutus xalapensis Andrews ex Hook. is a synonym leading to Comarostaphylis polifolia subsp. polifolia (WCVP accepted id 3262971).,RESOLVED,"FIA code concept is North American Texas madrone, selecting the Kunth accepted taxon rather than the Andrews ex Hook. homonym leading to a Mexican Comarostaphylis subspecies.",USDA Forest Service FIA official species-code list / REF_SPECIES concept,POWO/WCVP Arbutus xalapensis Kunth and Andrews ex Hook.,FIA code/common-name concept; POWO author/status/stable-id and synonym target.,Additive correction may change D08B AMBIGUOUS to RESOLVED; frozen D08B files were not modified.,Southern New Mexico to western Texas and Nicaragua.
372,Betula lenta,Betula lenta,NOT PROVIDED IN FIA REF_SPECIES,sweet birch,"FIA code 0372 = sweet birch, Betula lenta; standard REF_SPECIES schema does not expose author.",Betula lenta L.,L.,D08B/WCVP accepted alternative id 21443; POWO/IPNI 295125-1,Accepted,Species,Betula lenta,L.,WCVP 21443; POWO/IPNI 295125-1,Species,FALSE,FALSE,Direct accepted concept. Betula lenta Du Roi is a synonym leading to Betula pubescens var. pubescens (D08B/WCVP alternative accepted id 21658).,RESOLVED,"FIA sweet-birch concept is eastern North American Betula lenta L., not the Du Roi homonym resolving to B. pubescens var. pubescens.",USDA Forest Service FIA official species-code list / REF_SPECIES concept,POWO/WCVP Betula lenta L. and Betula lenta Du Roi,FIA code/common-name concept; POWO author/status and synonym target.,Additive correction may change D08B AMBIGUOUS to RESOLVED.,Eastern Canada to eastern United States.
744,Populus heterophylla,Populus heterophylla,NOT PROVIDED IN FIA REF_SPECIES,swamp cottonwood,"FIA code 0744 = swamp cottonwood, Populus heterophylla; FIA separately codes 0745 plains cottonwood, Populus deltoides.",Populus heterophylla L.,L.,WCVP 2917593; POWO/IPNI 776712-1,Accepted,Species,Populus heterophylla,L.,WCVP 2917593; POWO/IPNI 776712-1,Species,FALSE,FALSE,Direct accepted concept. Populus heterophylla Du Roi is a synonym of Populus deltoides subsp. monilifera (D08B/WCVP accepted alternative id 2917429).,RESOLVED,"FIA explicitly separates swamp cottonwood 0744 from plains cottonwood 0745, excluding the Du Roi concept that resolves into P. deltoides.",USDA Forest Service FIA official species-code list / national field-guide species list,POWO/WCVP Populus heterophylla L. and Du Roi,FIA adjacent-code/common-name distinction; POWO author and accepted/synonym status.,Additive correction may change D08B AMBIGUOUS to RESOLVED.,Eastern Canada to southeastern United States.
820,Quercus laurifolia,Quercus laurifolia,NOT PROVIDED IN FIA REF_SPECIES,laurel oak,"FIA code 0820 = laurel oak, Quercus laurifolia.",Quercus laurifolia Michx.,Michx.,WCVP 173587; POWO/IPNI 296368-1,Accepted,Species,Quercus laurifolia,Michx.,WCVP 173587; POWO/IPNI 296368-1,Species,FALSE,FALSE,Direct accepted concept. Quercus laurifolia Miq. is a different homonym/synonym leading to Lithocarpus korthalsii (D08B/WCVP accepted alternative id 114563).,RESOLVED,FIA southeastern-U.S. laurel oak uniquely fits Q. laurifolia Michx.; the Miq. homonym is an Asian Lithocarpus concept.,USDA Forest Service FIA official species-code list,POWO/WCVP Quercus laurifolia Michx. and Miq.,FIA code/common-name concept; POWO author/geography and synonym target.,Additive correction may change D08B AMBIGUOUS to RESOLVED.,Southeastern United States to Texas.
822,Quercus lyrata,Quercus lyrata,NOT PROVIDED IN FIA REF_SPECIES,overcup oak,"FIA code list separates 0821 California white oak, Quercus lobata, from 0822 overcup oak, Quercus lyrata.",Quercus lyrata Walter,Walter,WCVP 173795; POWO/IPNI 324855-2,Accepted,Species,Quercus lyrata,Walter,WCVP 173795; POWO/IPNI 324855-2,Species,FALSE,FALSE,Direct accepted concept. Quercus lyrata Spreng. is a synonym of Quercus lobata Née (D08B/WCVP accepted alternative id 173674).,RESOLVED,"FIA itself keeps Q. lobata at 0821 and overcup oak Q. lyrata at 0822, selecting the Walter concept.",USDA Forest Service FIA official species-code list,POWO/WCVP Quercus lyrata Walter and Quercus lobata synonymy,FIA adjacent-code distinction; POWO author/status and synonym list.,Additive correction may change D08B AMBIGUOUS to RESOLVED.,Eastern and central United States.
840,Quercus margarettiae,Quercus margarettiae [current FIA spelling]; official Forest Service material also uses Quercus margaretta for code 840,NOT PROVIDED IN FIA REF_SPECIES,dwarf post oak / sand post oak,"FIA code 0840 concept continuity is documented across Quercus margarettiae, Quercus margaretta, and older Q. stellata var. margaretta usage.",Quercus margaretta (Ashe) Small,(Ashe) Small,POWO/IPNI 216046-2,Accepted,Species,Quercus margaretta,(Ashe) Small,POWO/IPNI 216046-2,Species,FALSE,TRUE,FIA legacy/current spelling Quercus margarettiae -> same code/common-name concept documented as Quercus margaretta -> WCVP/POWO accepted Q. margaretta (Ashe) Small.,RESOLVED,Code 840 and common-name continuity establish the concept; POWO supplies current accepted spelling and author.,USDA Forest Service FIA species list and official FIA/Forest Service reports for code 840,POWO/WCVP Quercus margaretta (Ashe) Small,Code/common-name continuity; POWO accepted spelling/author/stable identifier.,Use only as an additive accepted-name correction; preserve FIA raw name.,East-central and southeastern United States.
6511,Persea palustris,Persea palustris (Raf.) Sarg. [USDA Forest Service taxon concept],(Raf.) Sarg.,swamp bay,USDA Forest Service identifies swamp bay as Persea palustris (Raf.) Sarg.; D08B frozen FIA code is 6511.,Persea palustris (Raf.) Sarg.,(Raf.) Sarg.,WCVP 2531614; POWO/IPNI 190715-2,Synonym,Species,"NONE — target Tamala palustris Raf. is currently Unplaced, not Accepted",N/A (target author Raf.),D08B/WCVP target 2442487; POWO/IPNI 468689-1 [Unplaced],N/A as accepted taxon; target rank Species,FALSE,FALSE,Persea palustris (Raf.) Sarg. -> Tamala palustris Raf.; POWO currently treats the target as Unplaced rather than Accepted.,RESOLVED,"FIA/USFS identity and WCVP/POWO synonym path are closed, but the chain does not produce a current Accepted taxon because the target is Unplaced.",USDA Forest Service swamp-bay taxon source,POWO/WCVP Persea palustris and Tamala palustris,USFS author/common-name concept; POWO synonym target and Unplaced status.,"Identity is resolved, but mainline must decide how an additive patch encodes an Unplaced target; do not invent an Accepted name.",Target Tamala palustris distribution includes southeastern U.S. and Bahamas; auxiliary only because target is Unplaced.
6955,Salix fragilis,Salix fragilis [code-specific author not recovered from accessible FIA official references],UNKNOWN FOR FIA CODE 6955,UNKNOWN FOR FIA CODE 6955; USDA Forest Service generally uses crack willow for Salix fragilis L.,D08B frozen code/name plus bounded FIA/Forest Service search; no code-6955 official author/common-name/PLANTS-symbol record was recovered.,Salix fragilis — multiple incompatible concepts,Host (misapplied records); L. for separate accepted Salix × fragilis,"D08B WCVP misapplied ids 2917719;2921957; POWO/IPNI candidates 777613-1, 2921957-4, 777611-1",Misapplied candidates plus separate Accepted hybrid,Species / hybrid species concept,UNKNOWN FOR FIA CODE 6955,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,Candidate A: Salix fragilis Host male-use -> Salix euxina. Candidate B: Salix fragilis Host female-use -> Salix pentandra. Separate accepted nothotaxon: Salix × fragilis L. = S. alba × S. euxina.,UNKNOWN,Special-rule requirement is unmet: accessible FIA evidence did not recover code 6955 author/reference concept. General Forest Service use of Salix fragilis L. cannot replace code-specific evidence.,D08B frozen queue/master and FIA REF_SPECIES schema,POWO/WCVP Salix fragilis Host concepts and Salix × fragilis L.; USDA Forest Service context only,No code-specific FIA author/concept recovered; POWO has incompatible candidate concepts.,"Keep code 6955 UNKNOWN. Do not force to S. euxina, S. pentandra, or Salix × fragilis without code-specific FIA identity evidence.",Salix × fragilis L. is an accepted hybrid with Türkiye native in POWO; auxiliary only and does not resolve code 6955.
8355,Psidium cattleianum,Psidium cattleianum Sabine [USDA Forest Service usage],Sabine,strawberry guava,USDA Forest Service uses Psidium cattleianum Sabine for strawberry guava; D08B frozen FIA code/name is 8355.,Psidium cattleyanum Sabine,Sabine,POWO/IPNI 600760-1,Accepted,Species,Psidium cattleyanum,Sabine,POWO/IPNI 600760-1,Species,FALSE,TRUE,FIA/USFS spelling Psidium cattleianum Sabine -> WCVP/POWO accepted spelling Psidium cattleyanum Sabine.,RESOLVED,"Author and common-name concept match; discrepancy is spelling standardization, not a competing taxonomic concept.",USDA Forest Service strawberry-guava sources,POWO/WCVP Psidium cattleyanum Sabine,USFS name+author/common-name concept; POWO accepted spelling/status.,Eligible for additive spelling correction; preserve FIA raw spelling.,Eastern/southern Brazil through Uruguay; introduced elsewhere including Hawaii.
8563,Schinus terebinthifolius,Schinus terebinthifolius [current FIA spelling; USDA Forest Service taxon literature gives Raddi],Raddi,Brazilian peppertree,"Current FIA field guide lists code 8563 Brazilian peppertree, Schinus terebinthifolius, PLANTS symbol SCTE; USFS FEIS supplies Raddi.",Schinus terebinthifolia Raddi,Raddi,POWO/IPNI 71069-1,Accepted,Species,Schinus terebinthifolia,Raddi,POWO/IPNI 71069-1,Species,FALSE,TRUE,FIA/USFS legacy spelling Schinus terebinthifolius Raddi -> WCVP/POWO accepted spelling Schinus terebinthifolia Raddi.,RESOLVED,FIA code/common name/PLANTS symbol fix the concept; POWO accepts the same author under corrected epithet.,USDA Forest Service FIA 2026 urban field guide + USFS FEIS,POWO/WCVP Schinus terebinthifolia Raddi,FIA code/common-name/PLANTS-symbol row; POWO accepted spelling and author.,Eligible for additive spelling correction; preserve FIA raw name.,Brazil to northeastern Argentina; introduced in United States.
