analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,analysis_species_rank,analysis_species_status,analysis_species_hybrid_flag,ordinary_core_class,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,ipni_id,powo_id,wcvp_reviewed_flag,component_fia_code_count,component_fia_codes,component_fia_names,component_mapping_classes,contains_synonym_component_flag,contains_infraspecific_component_flag,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,taxonomy_ambiguity_flag,distribution_query_plant_name_id,distribution_query_taxon_name,source_code_map_version
6364,Alnus glutinosa,(L.) Gaertn.,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,30036759-2,30036759-2,Y,1,355,Alnus glutinosa,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,6364,Alnus glutinosa,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
6544,Alnus oblongifolia,Torr.,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,294968-1,294968-1,Y,1,353,Alnus oblongifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,6544,Alnus oblongifolia,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
6578,Alnus rhombifolia,Nutt.,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,294983-1,294983-1,Y,1,352,Alnus rhombifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,6578,Alnus rhombifolia,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
6584,Alnus rubra,Bong.,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,294986-1,294986-1,Y,1,351,Alnus rubra,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,6584,Alnus rubra,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
18443,Avicennia germinans,(L.) L.,Acanthaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,861125-1,861125-1,N,1,986,Avicennia germinans,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,18443,Avicennia germinans,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
21135,Betula alleghaniensis,Britton,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,32106-2,32106-2,Y,1,371,Betula alleghaniensis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21135,Betula alleghaniensis,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
21443,Betula lenta,L.,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295125-1,295125-1,Y,1,372,Betula lenta,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21443,Betula lenta,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
21527,Betula nigra,L.,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295155-1,295155-1,Y,1,373,Betula nigra,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21527,Betula nigra,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
21535,Betula occidentalis,Hook.,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295159-1,295159-1,Y,1,374,Betula occidentalis,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21535,Betula occidentalis,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
21557,Betula papyrifera,Marshall,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,32197-2,32197-2,Y,1,375,Betula papyrifera,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21557,Betula papyrifera,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
21620,Betula populifolia,Marshall,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,107861-1,107861-1,Y,1,379,Betula populifolia,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,21620,Betula populifolia,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
34302,Carpinus caroliniana,Walter,Betulaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295249-1,295249-1,Y,1,391,Carpinus caroliniana,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,34302,Carpinus caroliniana,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
34965,Castanea dentata,(Marshall) Borkh.,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295320-1,295320-1,Y,1,421,Castanea dentata,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,34965,Castanea dentata,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
35016,Castanea mollissima,Blume,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,295338-1,295338-1,Y,1,424,Castanea mollissima,ACCEPTED_SPECIES,0,0,1,0,DBH_ONLY,1,1,1,0,35016,Castanea mollissima,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
35021,Castanea ozarkensis,Ashe,Fagaceae,Species,Accepted,0,ORDINARY_ACCEPTED_SPECIES,,0,274190-2,274190-2,Y,1,423,Castanea pumila var. ozarkensis,SYNONYM_TO_ACCEPTED_SPECIES,1,0,1,0,DBH_ONLY,1,1,1,0,35021,Castanea ozarkensis,Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02
