fia_species_code,fia_name_raw,fia_scientific_name,fia_concept_author,fia_author_evidence_status,matched_wcvp_plant_name_id,matched_wcvp_taxon_name,matched_wcvp_taxon_authors,matched_wcvp_taxon_status,matched_wcvp_taxon_rank,accepted_taxon_id,accepted_taxon_name,accepted_taxon_authors,accepted_taxon_status,accepted_taxon_rank,terminal_target_taxon_id,terminal_target_taxon_name,terminal_target_taxon_authors,terminal_target_taxon_status,terminal_target_taxon_rank,analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_rank,mapping_class,taxonomy_resolution_status,hybrid_or_nothotaxon_flag,ordinary_analysis_species_flag,no_analysis_species_reason,distribution_query_plant_name_id,terminal_target_hybrid_formula,analysis_species_hybrid_formula,wcvp_hybrid_formula_present_flag,distribution_query_taxon_name,diameter_measurement_basis,woodland_indicator,dia_threshold_inches,main_analysis_candidate_retained_flag,dbh_only_sensitivity_component_flag,supplementary_sensitivity_candidate_flag,d08b1_correction_applied_flag,d08b1_correction_case_class,d08b1_authority_source,v01_mapping_class,v01_taxonomy_resolution_status
11,Abies amabilis,Abies amabilis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381632,Abies amabilis,Douglas ex J.Forbes,Accepted,Species,381632,Abies amabilis,Douglas ex J.Forbes,Accepted,Species,381632,Abies amabilis,Douglas ex J.Forbes,Accepted,Species,381632,Abies amabilis,Douglas ex J.Forbes,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381632,,,0,Abies amabilis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
12,Abies balsamea,Abies balsamea,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381647,Abies balsamea,(L.) Mill.,Accepted,Species,381647,Abies balsamea,(L.) Mill.,Accepted,Species,381647,Abies balsamea,(L.) Mill.,Accepted,Species,381647,Abies balsamea,(L.) Mill.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381647,,,0,Abies balsamea,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
15,Abies concolor,Abies concolor,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Accepted,Species,381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Accepted,Species,381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Accepted,Species,381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381713,,,0,Abies concolor,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
16,Abies fraseri,Abies fraseri,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381792,Abies fraseri,(Pursh) Poir.,Accepted,Species,381792,Abies fraseri,(Pursh) Poir.,Accepted,Species,381792,Abies fraseri,(Pursh) Poir.,Accepted,Species,381792,Abies fraseri,(Pursh) Poir.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381792,,,0,Abies fraseri,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
17,Abies grandis,Abies grandis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381804,Abies grandis,(Douglas ex D.Don) Lindl.,Accepted,Species,381804,Abies grandis,(Douglas ex D.Don) Lindl.,Accepted,Species,381804,Abies grandis,(Douglas ex D.Don) Lindl.,Accepted,Species,381804,Abies grandis,(Douglas ex D.Don) Lindl.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381804,,,0,Abies grandis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
18,Abies lasiocarpa var. arizonica,Abies lasiocarpa var. arizonica,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381854,Abies lasiocarpa var. arizonica,(Merriam) Lemmon,Accepted,Variety,381854,Abies lasiocarpa var. arizonica,(Merriam) Lemmon,Accepted,Variety,381854,Abies lasiocarpa var. arizonica,(Merriam) Lemmon,Accepted,Variety,381853,Abies lasiocarpa,(Hook.) Nutt.,Species,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,0,1,,381853,,,0,Abies lasiocarpa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED
19,Abies lasiocarpa,Abies lasiocarpa,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381853,Abies lasiocarpa,(Hook.) Nutt.,Accepted,Species,381853,Abies lasiocarpa,(Hook.) Nutt.,Accepted,Species,381853,Abies lasiocarpa,(Hook.) Nutt.,Accepted,Species,381853,Abies lasiocarpa,(Hook.) Nutt.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381853,,,0,Abies lasiocarpa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
20,Abies magnifica,Abies magnifica,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381868,Abies magnifica,A.Murray bis,Accepted,Species,381868,Abies magnifica,A.Murray bis,Accepted,Species,381868,Abies magnifica,A.Murray bis,Accepted,Species,381868,Abies magnifica,A.Murray bis,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381868,,,0,Abies magnifica,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
21,Abies shastensis,Abies shastensis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381999,Abies shastensis,(Lemmon) Lemmon,Synonym,Species,381872,Abies magnifica var. shastensis,Lemmon,Accepted,Variety,381872,Abies magnifica var. shastensis,Lemmon,Accepted,Variety,381868,Abies magnifica,A.Murray bis,Species,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,0,1,,381868,,,0,Abies magnifica,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED
22,Abies procera,Abies procera,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,381974,Abies procera,Rehder,Accepted,Species,381974,Abies procera,Rehder,Accepted,Species,381974,Abies procera,Rehder,Accepted,Species,381974,Abies procera,Rehder,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,381974,,,0,Abies procera,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
41,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,382830,Chamaecyparis lawsoniana,(A.Murray bis) Oerst.,Accepted,Species,382830,Chamaecyparis lawsoniana,(A.Murray bis) Oerst.,Accepted,Species,382830,Chamaecyparis lawsoniana,(A.Murray bis) Oerst.,Accepted,Species,382830,Chamaecyparis lawsoniana,(A.Murray bis) Oerst.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,382830,,,0,Chamaecyparis lawsoniana,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
42,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,382839,Chamaecyparis nootkatensis,(D.Don) Spach,Synonym,Species,456789,Callitropsis nootkatensis,(D.Don) Oerst.,Accepted,Species,456789,Callitropsis nootkatensis,(D.Don) Oerst.,Accepted,Species,456789,Callitropsis nootkatensis,(D.Don) Oerst.,Species,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,0,1,,456789,,,0,Callitropsis nootkatensis,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED
43,Chamaecyparis thyoides,Chamaecyparis thyoides,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,382860,Chamaecyparis thyoides,(L.) Oerst.,Accepted,Species,382860,Chamaecyparis thyoides,(L.) Oerst.,Accepted,Species,382860,Chamaecyparis thyoides,(L.) Oerst.,Accepted,Species,382860,Chamaecyparis thyoides,(L.) Oerst.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,382860,,,0,Chamaecyparis thyoides,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
51,Cupressus arizonica,Cupressus arizonica,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,383039,Cupressus arizonica,Greene,Synonym,Species,457902,Hesperocyparis arizonica,(Greene) Bartel,Accepted,Species,457902,Hesperocyparis arizonica,(Greene) Bartel,Accepted,Species,457902,Hesperocyparis arizonica,(Greene) Bartel,Species,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,0,1,,457902,,,0,Hesperocyparis arizonica,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED
52,Cupressus bakeri,Cupressus bakeri,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,383062,Cupressus bakeri,Jeps.,Synonym,Species,457903,Hesperocyparis bakeri,(Jeps.) Bartel,Accepted,Species,457903,Hesperocyparis bakeri,(Jeps.) Bartel,Accepted,Species,457903,Hesperocyparis bakeri,(Jeps.) Bartel,Species,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,0,1,,457903,,,0,Hesperocyparis bakeri,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED
54,Cupressus macrocarpa,Cupressus macrocarpa,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,383187,Cupressus macrocarpa,Hartw.,Synonym,Species,457913,Hesperocyparis macrocarpa,(Hartw.) Bartel,Accepted,Species,457913,Hesperocyparis macrocarpa,(Hartw.) Bartel,Accepted,Species,457913,Hesperocyparis macrocarpa,(Hartw.) Bartel,Species,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,0,1,,457913,,,0,Hesperocyparis macrocarpa,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED
55,Cupressus sargentii,Cupressus sargentii,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,383229,Cupressus sargentii,Jeps.,Synonym,Species,457918,Hesperocyparis sargentii,(Jeps.) Bartel,Accepted,Species,457918,Hesperocyparis sargentii,(Jeps.) Bartel,Accepted,Species,457918,Hesperocyparis sargentii,(Jeps.) Bartel,Species,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,0,1,,457918,,,0,Hesperocyparis sargentii,DBH_BREAST_HEIGHT,N,5.0,1,1,0,0,,D08B_V01_FROZEN,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED
58,Juniperus pinchotii,Juniperus pinchotii,,NOT_AVAILABLE_IN_FROZEN_FIA_INPUT,377678,Juniperus pinchotii,Sudw.,Accepted,Species,377678,Juniperus pinchotii,Sudw.,Accepted,Species,377678,Juniperus pinchotii,Sudw.,Accepted,Species,377678,Juniperus pinchotii,Sudw.,Species,ACCEPTED_SPECIES,RESOLVED,0,1,,377678,,,0,Juniperus pinchotii,DRC_ROOT_COLLAR,Y,5.0,1,0,0,0,,D08B_V01_FROZEN,ACCEPTED_SPECIES,RESOLVED
