fia_species_code,fia_name_raw,mainline_case_class,v01_mapping_class,v01_analysis_species_id,v01_analysis_species_name,v02_mapping_class,v02_taxonomy_resolution_status,v02_matched_wcvp_name,v02_matched_wcvp_author,v02_matched_wcvp_id,v02_terminal_target_name,v02_terminal_target_author,v02_terminal_target_id,v02_terminal_target_status,v02_analysis_species_id,v02_analysis_species_name,v02_analysis_species_author,hybrid_or_nothotaxon_flag,ordinary_analysis_species_flag,no_analysis_species_reason,authority_resolution_reason,authority_evidence_source_1,authority_evidence_source_2,application_status
363,Arbutus xalapensis,ORDINARY_ACCEPTED,AMBIGUOUS,,,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,Arbutus xalapensis,Kunth,2646755,Arbutus xalapensis,Kunth,2646755,Accepted,2646755,Arbutus xalapensis,Kunth,0,1,,"FIA code concept is North American Texas madrone, selecting the Kunth accepted taxon rather than the Andrews ex Hook. homonym leading to a Mexican Comarostaphylis subspecies.",USDA Forest Service FIA official species-code list / REF_SPECIES concept,POWO/WCVP Arbutus xalapensis Kunth and Andrews ex Hook.,APPLIED_EXACTLY_AS_AUTHORIZED
372,Betula lenta,ORDINARY_ACCEPTED,AMBIGUOUS,,,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,Betula lenta,L.,21443,Betula lenta,L.,21443,Accepted,21443,Betula lenta,L.,0,1,,"FIA sweet-birch concept is eastern North American Betula lenta L., not the Du Roi homonym resolving to B. pubescens var. pubescens.",USDA Forest Service FIA official species-code list / REF_SPECIES concept,POWO/WCVP Betula lenta L. and Betula lenta Du Roi,APPLIED_EXACTLY_AS_AUTHORIZED
744,Populus heterophylla,ORDINARY_ACCEPTED,AMBIGUOUS,,,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,Populus heterophylla,L.,2917593,Populus heterophylla,L.,2917593,Accepted,2917593,Populus heterophylla,L.,0,1,,"FIA explicitly separates swamp cottonwood 0744 from plains cottonwood 0745, excluding the Du Roi concept that resolves into P. deltoides.",USDA Forest Service FIA official species-code list / national field-guide species list,POWO/WCVP Populus heterophylla L. and Du Roi,APPLIED_EXACTLY_AS_AUTHORIZED
820,Quercus laurifolia,ORDINARY_ACCEPTED,AMBIGUOUS,,,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,Quercus laurifolia,Michx.,173587,Quercus laurifolia,Michx.,173587,Accepted,173587,Quercus laurifolia,Michx.,0,1,,FIA southeastern-U.S. laurel oak uniquely fits Q. laurifolia Michx.; the Miq. homonym is an Asian Lithocarpus concept.,USDA Forest Service FIA official species-code list,POWO/WCVP Quercus laurifolia Michx. and Miq.,APPLIED_EXACTLY_AS_AUTHORIZED
822,Quercus lyrata,ORDINARY_ACCEPTED,AMBIGUOUS,,,AUTHOR_QUALIFIED_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,Quercus lyrata,Walter,173795,Quercus lyrata,Walter,173795,Accepted,173795,Quercus lyrata,Walter,0,1,,"FIA itself keeps Q. lobata at 0821 and overcup oak Q. lyrata at 0822, selecting the Walter concept.",USDA Forest Service FIA official species-code list,POWO/WCVP Quercus lyrata Walter and Quercus lobata synonymy,APPLIED_EXACTLY_AS_AUTHORIZED
840,Quercus margarettiae,ORDINARY_ACCEPTED,UNRESOLVED,,,AUTHORITATIVE_ORTHOGRAPHIC_TO_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,Quercus margaretta,(Ashe) Small,173863,Quercus margaretta,(Ashe) Small,173863,Accepted,173863,Quercus margaretta,(Ashe) Small,0,1,,Code 840 and common-name continuity establish the concept; POWO supplies current accepted spelling and author.,USDA Forest Service FIA species list and official FIA/Forest Service reports for code 840,POWO/WCVP Quercus margaretta (Ashe) Small,APPLIED_EXACTLY_AS_AUTHORIZED
6511,Persea palustris,TARGET_UNPLACED,UNRESOLVED,,,IDENTITY_RESOLVED_TARGET_UNPLACED,IDENTITY_RESOLVED_NO_ACCEPTED_ANALYSIS_SPECIES,Persea palustris,(Raf.) Sarg.,2531614,Tamala palustris,Raf.,2442487,Unplaced,,,,0,0,Terminal target Tamala palustris Raf. is frozen-WCVP Unplaced; no Accepted replacement is fabricated.,"FIA/USFS identity and WCVP/POWO synonym path are closed, but the chain does not produce a current Accepted taxon because the target is Unplaced.",USDA Forest Service swamp-bay taxon source,POWO/WCVP Persea palustris and Tamala palustris,APPLIED_EXACTLY_AS_AUTHORIZED
6955,Salix fragilis,UNKNOWN,UNRESOLVED,,,UNRESOLVED,UNKNOWN_MAINLINE_AUTHORIZED,,,,,,,,,,,0,0,FIA code 6955 remains UNKNOWN; no forced Salix mapping is permitted.,Special-rule requirement is unmet: accessible FIA evidence did not recover code 6955 author/reference concept. General Forest Service use of Salix fragilis L. cannot replace code-specific evidence.,D08B frozen queue/master and FIA REF_SPECIES schema,POWO/WCVP Salix fragilis Host concepts and Salix × fragilis L.; USDA Forest Service context only,APPLIED_EXACTLY_AS_AUTHORIZED
8355,Psidium cattleianum,ORDINARY_ACCEPTED,UNRESOLVED,,,AUTHORITATIVE_ORTHOGRAPHIC_TO_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,Psidium cattleyanum,Sabine,166659,Psidium cattleyanum,Sabine,166659,Accepted,166659,Psidium cattleyanum,Sabine,0,1,,"Author and common-name concept match; discrepancy is spelling standardization, not a competing taxonomic concept.",USDA Forest Service strawberry-guava sources,POWO/WCVP Psidium cattleyanum Sabine,APPLIED_EXACTLY_AS_AUTHORIZED
8563,Schinus terebinthifolius,ORDINARY_ACCEPTED,UNRESOLVED,,,AUTHORITATIVE_ORTHOGRAPHIC_TO_ACCEPTED_SPECIES,RESOLVED_MAINLINE_AUTHORIZED,Schinus terebinthifolia,Raddi,2480191,Schinus terebinthifolia,Raddi,2480191,Accepted,2480191,Schinus terebinthifolia,Raddi,0,1,,FIA code/common name/PLANTS symbol fix the concept; POWO accepts the same author under corrected epithet.,USDA Forest Service FIA 2026 urban field guide + USFS FEIS,POWO/WCVP Schinus terebinthifolia Raddi,APPLIED_EXACTLY_AS_AUTHORIZED
143,Pinus monophylla var. fallax,ACCEPTED_HYBRID_NONCORE,SYNONYM_TO_ACCEPTED_SPECIES,3317681,Pinus × kohae,ACCEPTED_HYBRID_NONCORE,RESOLVED_ACCEPTED_HYBRID_NONCORE,Pinus monophylla var. fallax,(Little) Silba,380213,Pinus × kohae,Frankis,3317681,Accepted,,,,1,0,Accepted hybrid/non-core object; excluded from ordinary accepted-species master.,FIA code/common-name concept matches the WCVP synonym; frozen WCVP IDs and POWO both resolve to Pinus × kohae.,USDA Forest Service FIA official species list / national species appendix,D08B frozen WCVP chain + POWO Pinus × kohae Frankis,APPLIED_EXACTLY_AS_AUTHORIZED
