evidence_id,evidence_scope,fia_species_code,analysis_species_id,source_path,source_sha256,source_record_ids,claim,transformation_rule
E00001,D08B1_TAXONOMY_CORRECTION,363,2646755,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,363,AUTHOR_QUALIFIED_ACCEPTED_SPECIES -> Arbutus xalapensis,Apply mainline-authorized 11-case additive correction exactly.
E00002,D08B1_TAXONOMY_CORRECTION,372,21443,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,372,AUTHOR_QUALIFIED_ACCEPTED_SPECIES -> Betula lenta,Apply mainline-authorized 11-case additive correction exactly.
E00003,D08B1_TAXONOMY_CORRECTION,744,2917593,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,744,AUTHOR_QUALIFIED_ACCEPTED_SPECIES -> Populus heterophylla,Apply mainline-authorized 11-case additive correction exactly.
E00004,D08B1_TAXONOMY_CORRECTION,820,173587,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,820,AUTHOR_QUALIFIED_ACCEPTED_SPECIES -> Quercus laurifolia,Apply mainline-authorized 11-case additive correction exactly.
E00005,D08B1_TAXONOMY_CORRECTION,822,173795,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,822,AUTHOR_QUALIFIED_ACCEPTED_SPECIES -> Quercus lyrata,Apply mainline-authorized 11-case additive correction exactly.
E00006,D08B1_TAXONOMY_CORRECTION,840,173863,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,840,AUTHORITATIVE_ORTHOGRAPHIC_TO_ACCEPTED_SPECIES -> Quercus margaretta,Apply mainline-authorized 11-case additive correction exactly.
E00007,D08B1_TAXONOMY_CORRECTION,6511,,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,6511,IDENTITY_RESOLVED_TARGET_UNPLACED -> Tamala palustris,Apply mainline-authorized 11-case additive correction exactly.
E00008,D08B1_TAXONOMY_CORRECTION,6955,,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,6955,UNRESOLVED -> ,Apply mainline-authorized 11-case additive correction exactly.
E00009,D08B1_TAXONOMY_CORRECTION,8355,166659,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,8355,AUTHORITATIVE_ORTHOGRAPHIC_TO_ACCEPTED_SPECIES -> Psidium cattleyanum,Apply mainline-authorized 11-case additive correction exactly.
E00010,D08B1_TAXONOMY_CORRECTION,8563,2480191,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,8563,AUTHORITATIVE_ORTHOGRAPHIC_TO_ACCEPTED_SPECIES -> Schinus terebinthifolia,Apply mainline-authorized 11-case additive correction exactly.
E00011,D08B1_TAXONOMY_CORRECTION,143,,03_doc/D08B1_TAXONOMY_CORRECTION_INPUTS_v02/correction_delivery_extracted/D08B_TAXONOMY_CORRECTION_EVIDENCE_v01.csv,ca71c7bb6cd4e647b06a82f604b6b472ecd54f0f01cac88f9d04a4fc9785b9fd,143,ACCEPTED_HYBRID_NONCORE -> Pinus × kohae,Apply mainline-authorized 11-case additive correction exactly.
E00012,WCVP_DISTRIBUTION_ADDITION,,21443,02_raw/WCVP/wcvp.zip::wcvp_distribution.csv,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,21443,22 frozen Level-3 rows added for newly resolved ordinary accepted species.,Query by final accepted analysis-species ID only; preserve introduced/extinct/doubtful semantics.
E00013,WCVP_DISTRIBUTION_ADDITION,,166659,02_raw/WCVP/wcvp.zip::wcvp_distribution.csv,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,166659,62 frozen Level-3 rows added for newly resolved ordinary accepted species.,Query by final accepted analysis-species ID only; preserve introduced/extinct/doubtful semantics.
E00014,WCVP_DISTRIBUTION_ADDITION,,173587,02_raw/WCVP/wcvp.zip::wcvp_distribution.csv,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,173587,10 frozen Level-3 rows added for newly resolved ordinary accepted species.,Query by final accepted analysis-species ID only; preserve introduced/extinct/doubtful semantics.
E00015,WCVP_DISTRIBUTION_ADDITION,,173795,02_raw/WCVP/wcvp.zip::wcvp_distribution.csv,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,173795,19 frozen Level-3 rows added for newly resolved ordinary accepted species.,Query by final accepted analysis-species ID only; preserve introduced/extinct/doubtful semantics.
E00016,WCVP_DISTRIBUTION_ADDITION,,173863,02_raw/WCVP/wcvp.zip::wcvp_distribution.csv,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,173863,14 frozen Level-3 rows added for newly resolved ordinary accepted species.,Query by final accepted analysis-species ID only; preserve introduced/extinct/doubtful semantics.
E00017,WCVP_DISTRIBUTION_ADDITION,,2480191,02_raw/WCVP/wcvp.zip::wcvp_distribution.csv,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,2480191,61 frozen Level-3 rows added for newly resolved ordinary accepted species.,Query by final accepted analysis-species ID only; preserve introduced/extinct/doubtful semantics.
E00018,WCVP_DISTRIBUTION_ADDITION,,2646755,02_raw/WCVP/wcvp.zip::wcvp_distribution.csv,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,2646755,12 frozen Level-3 rows added for newly resolved ordinary accepted species.,Query by final accepted analysis-species ID only; preserve introduced/extinct/doubtful semantics.
E00019,WCVP_DISTRIBUTION_ADDITION,,2917593,02_raw/WCVP/wcvp.zip::wcvp_distribution.csv,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,2917593,23 frozen Level-3 rows added for newly resolved ordinary accepted species.,Query by final accepted analysis-species ID only; preserve introduced/extinct/doubtful semantics.
E00020,USGS_CROSS_STAGE_DIAGNOSTIC,6511,,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00021,USGS_CROSS_STAGE_DIAGNOSTIC,6955,,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00022,USGS_CROSS_STAGE_DIAGNOSTIC,143,,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00023,USGS_CROSS_STAGE_DIAGNOSTIC,355,6364,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00024,USGS_CROSS_STAGE_DIAGNOSTIC,372,21443,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,372,PRIOR_EXACT_NONZERO_TAXONOMY_BLOCKED_IN_V01,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00025,USGS_CROSS_STAGE_DIAGNOSTIC,424,35016,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00026,USGS_CROSS_STAGE_DIAGNOSTIC,422,35028,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,422,PRIOR_EXACT_NONZERO_D08B_V01_REVIEW_ONLY,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00027,USGS_CROSS_STAGE_DIAGNOSTIC,492,47451,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,492,D08B1_BRIDGE_STATUS_CHANGED,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00028,USGS_CROSS_STAGE_DIAGNOSTIC,511,73008,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00029,USGS_CROSS_STAGE_DIAGNOSTIC,513,73044,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00030,USGS_CROSS_STAGE_DIAGNOSTIC,655,117583,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,655,PRIOR_EXACT_NONZERO_D08B_V01_REVIEW_ONLY,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00031,USGS_CROSS_STAGE_DIAGNOSTIC,992,123857,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00032,USGS_CROSS_STAGE_DIAGNOSTIC,694,136191,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00033,USGS_CROSS_STAGE_DIAGNOSTIC,692,136212,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,692,D08B1_BRIDGE_STATUS_CHANGED,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00034,USGS_CROSS_STAGE_DIAGNOSTIC,8355,166659,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00035,USGS_CROSS_STAGE_DIAGNOSTIC,8427,171430,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00036,USGS_CROSS_STAGE_DIAGNOSTIC,8513,171890,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00037,USGS_CROSS_STAGE_DIAGNOSTIC,8441,172866,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00038,USGS_CROSS_STAGE_DIAGNOSTIC,851,172964,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00039,USGS_CROSS_STAGE_DIAGNOSTIC,8449,173053,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00040,USGS_CROSS_STAGE_DIAGNOSTIC,842,173316,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,842,PRIOR_EXACT_NONZERO_BUT_D08B_V01_UNRESOLVED,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00041,USGS_CROSS_STAGE_DIAGNOSTIC,820,173587,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,820,PRIOR_EXACT_NONZERO_TAXONOMY_BLOCKED_IN_V01,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
E00042,USGS_CROSS_STAGE_DIAGNOSTIC,822,173795,05_qc/elig_v02/USGS_RANGE_AUDIT.csv,bdc8a43411f648ab72c4d294f846d0688e436dcc035817cbc1de593e87c28312,822,PRIOR_EXACT_NONZERO_TAXONOMY_BLOCKED_IN_V01,Diagnostic only; prior mapping is not authority and no Little layer is unioned.
