issue_id,issue_scope,issue_class,fia_species_code,fia_scientific_name,analysis_species_id,analysis_species_name,usgs_atlas_row_id,evidence,reason,mainline_action_required
TAX-0001,TAXONOMY,ACCEPTED_HYBRID_NONCORE,143,Pinus monophylla var. fallax,,,,Pinus × kohae,Accepted hybrid/non-core object; excluded from ordinary accepted-species master.,Retain explicit non-core/no-analysis status; no forced mapping.
TAX-0002,TAXONOMY,HYBRID_OR_NOTHOTAXON,929,Salix x sepulcralis,,,,,Hybrid marker or WCVP artificial-hybrid evidence; no ordinary accepted-species assignment.,Retain explicit non-core/no-analysis status; no forced mapping.
TAX-0003,TAXONOMY,IDENTITY_RESOLVED_TARGET_UNPLACED,6511,Persea palustris,,,,Tamala palustris,Terminal target Tamala palustris Raf. is frozen-WCVP Unplaced; no Accepted replacement is fabricated.,Retain explicit non-core/no-analysis status; no forced mapping.
TAX-0004,TAXONOMY,UNRESOLVED,6955,Salix fragilis,,,,,FIA code 6955 remains UNKNOWN; no forced Salix mapping is permitted.,Retain explicit non-core/no-analysis status; no forced mapping.
TAX-0005,TAXONOMY,HYBRID_OR_NOTHOTAXON,8313,Populus x canadensis,,,,,Hybrid marker or WCVP artificial-hybrid evidence; no ordinary accepted-species assignment.,Retain explicit non-core/no-analysis status; no forced mapping.
USGS-0006,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,35028,Castanea pumila,ATLASG-0120,Castanea alnifolia,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0007,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,35028,Castanea pumila,ATLASG-0123,Castanea pumila,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0008,USGS_LAYER_MAPPING,UNRESOLVED,,,47451,Cornus nuttallii,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0009,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,117583,Magnolia fraseri,ATLASG-0356,Magnolia fraseri,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0010,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,117583,Magnolia fraseri,ATLASG-0359,Magnolia pyramidata,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0011,USGS_LAYER_MAPPING,UNRESOLVED,,,136191,Nyssa biflora,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0012,USGS_LAYER_MAPPING,UNRESOLVED,,,136212,Nyssa ogeche,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0013,USGS_LAYER_MAPPING,UNRESOLVED,,,171890,Quercus buckleyi,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0014,USGS_LAYER_MAPPING,UNRESOLVED,,,172866,Quercus geminata,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0015,USGS_LAYER_MAPPING,UNRESOLVED,,,172964,Quercus graciliformis,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0016,USGS_LAYER_MAPPING,UNRESOLVED,,,173053,Quercus hemisphaerica,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0017,USGS_LAYER_MAPPING,UNRESOLVED,,,173817,Quercus macrocarpa,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0018,USGS_LAYER_MAPPING,UNRESOLVED,,,173863,Quercus margaretta,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0019,USGS_LAYER_MAPPING,UNRESOLVED,,,173929,Quercus michauxii,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0020,USGS_LAYER_MAPPING,UNRESOLVED,,,173948,Quercus minima,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0021,USGS_LAYER_MAPPING,UNRESOLVED,,,174226,Quercus pagoda,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0022,USGS_LAYER_MAPPING,UNRESOLVED,,,174518,Quercus prinoides,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0023,USGS_LAYER_MAPPING,UNRESOLVED,,,175172,Quercus similis,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0024,USGS_LAYER_MAPPING,UNRESOLVED,,,320352,Catalpa bignonioides,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0025,USGS_LAYER_MAPPING,UNRESOLVED,,,320410,Catalpa speciosa,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0026,USGS_LAYER_MAPPING,UNRESOLVED,,,351387,Leucothrinax morrisii,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0027,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,377287,Juniperus virginiana,ATLASG-0325,Juniperus silicicola,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0028,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,377287,Juniperus virginiana,ATLASG-0326,Juniperus virginiana,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0029,USGS_LAYER_MAPPING,UNRESOLVED,,,377397,Juniperus flaccida,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0030,USGS_LAYER_MAPPING,UNRESOLVED,,,379433,Tsuga mertensiana,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0031,USGS_LAYER_MAPPING,SINGLE_SPECIES_LAYER,,,379762,Pinus longaeva,ATLASG-0431,Pinus longaeva,ATLAS_NOTES_NONBLANK,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0032,USGS_LAYER_MAPPING,UNRESOLVED,,,379837,Pinus discolor,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0033,USGS_LAYER_MAPPING,UNRESOLVED,,,379852,Pinus coulteri,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0034,USGS_LAYER_MAPPING,UNRESOLVED,,,379871,Pinus clausa,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0035,USGS_LAYER_MAPPING,UNRESOLVED,,,379971,Pinus flexilis,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0036,USGS_LAYER_MAPPING,UNRESOLVED,,,380011,Pinus sabiniana,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0037,USGS_LAYER_MAPPING,UNRESOLVED,,,380297,Pinus radiata,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0038,USGS_LAYER_MAPPING,UNRESOLVED,,,380317,Pinus remota,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0039,USGS_LAYER_MAPPING,UNRESOLVED,,,380358,Pinus ponderosa,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0040,USGS_LAYER_MAPPING,SINGLE_SPECIES_LAYER,,,380484,Pinus cembroides,ATLASG-0418,Pinus cembroides,ATLAS_NOTES_NONBLANK,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0041,USGS_LAYER_MAPPING,UNRESOLVED,,,380503,Pinus arizonica,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0042,USGS_LAYER_MAPPING,UNRESOLVED,,,380614,Picea engelmannii,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0043,USGS_LAYER_MAPPING,SINGLE_SPECIES_LAYER,,,380723,Pinus aristata,ATLASG-0414,Pinus aristata,ATLAS_NOTES_NONBLANK,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0044,USGS_LAYER_MAPPING,UNRESOLVED,,,382830,Chamaecyparis lawsoniana,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0045,USGS_LAYER_MAPPING,UNRESOLVED,,,382860,Chamaecyparis thyoides,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0046,USGS_LAYER_MAPPING,UNRESOLVED,,,456789,Callitropsis nootkatensis,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0047,USGS_LAYER_MAPPING,AMBIGUOUS,,,457902,Hesperocyparis arizonica,ATLASG-0199,Cupressus arizonica,AMBIGUOUS;SHARED_OR_MULTI_TAXON_LAYER,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0048,USGS_LAYER_MAPPING,UNRESOLVED,,,457903,Hesperocyparis bakeri,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0049,USGS_LAYER_MAPPING,UNRESOLVED,,,457913,Hesperocyparis macrocarpa,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0050,USGS_LAYER_MAPPING,UNRESOLVED,,,2329229,Juglans hindsii,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0051,USGS_LAYER_MAPPING,SINGLE_OFFICIAL_ALIAS_LAYER,,,2383853,Neltuma glandulosa,ATLASG-0462,Prosopis glandulosa,ATLAS_NOTES_NONBLANK,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0052,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,2469375,Zanthoxylum clava-herculis,ATLASG-0687,Zanthoxylum clava-herculis,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0053,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,2469375,Zanthoxylum clava-herculis,ATLASG-0689,Zanthoxylum hirsutum,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0054,USGS_LAYER_MAPPING,UNRESOLVED,,,2518218,Tilia americana,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0055,USGS_LAYER_MAPPING,UNRESOLVED,,,2540278,Piscidia piscipula,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0056,USGS_LAYER_MAPPING,UNRESOLVED,,,2601502,Swietenia mahagoni,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0057,USGS_LAYER_MAPPING,UNRESOLVED,,,2701748,Carya aquatica,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0058,USGS_LAYER_MAPPING,UNRESOLVED,,,2701789,Carya laciniosa,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0059,USGS_LAYER_MAPPING,UNRESOLVED,,,2701803,Carya myristiciformis,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0060,USGS_LAYER_MAPPING,UNRESOLVED,,,2701846,Carya pallida,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0061,USGS_LAYER_MAPPING,UNRESOLVED,,,2701867,Carya tomentosa,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0062,USGS_LAYER_MAPPING,UNRESOLVED,,,2830846,Gordonia lasianthus,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0063,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,2838104,Halesia carolina,ATLASG-0277,Halesia carolina,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0064,USGS_LAYER_MAPPING,MULTIPLE_OTHER_LAYERS,,,2838104,Halesia carolina,ATLASG-0279,Halesia parviflora,MULTIPLE_OTHER_LAYERS,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0065,USGS_LAYER_MAPPING,UNRESOLVED,,,2838115,Halesia diptera,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0066,USGS_LAYER_MAPPING,SINGLE_SPECIES_LAYER,,,2917269,Populus fremontii,ATLASG-0457,Populus fremontii,ATLAS_NOTES_NONBLANK,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0067,USGS_LAYER_MAPPING,UNRESOLVED,,,2917437,Populus tristis,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0068,USGS_LAYER_MAPPING,AMBIGUOUS,,,2919837,Salix nigra,ATLASG-0590,Salix nigra,AMBIGUOUS;UNRESOLVED_ACCEPTED_NAME_COMPONENT,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0069,USGS_LAYER_MAPPING,UNRESOLVED,,,2940246,Amelanchier laevis,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0070,USGS_LAYER_MAPPING,UNRESOLVED,,,2945308,Crataegus crus-galli,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0071,USGS_LAYER_MAPPING,UNRESOLVED,,,2946180,Crataegus mollis,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0072,USGS_LAYER_MAPPING,UNRESOLVED,,,2950658,Malus fusca,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0073,USGS_LAYER_MAPPING,UNRESOLVED,,,2959716,Prunus emarginata,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
USGS-0074,USGS_LAYER_MAPPING,UNRESOLVED,,,2961630,Prunus serrulata,,,No Atlas row resolved by exact name plus author to this accepted ordinary species.,"Review evidence; do not union, select, or reconstruct layers in D08B.1."
