analysis_species_id,analysis_species_name,analysis_species_authors,component_fia_codes,d08b_v01_usgs_mapping_class,d08b_v01_review_required_flag,d08b_v01_atlas_row_ids,d08b_v01_atlas_original_names,eligibility_v02_row_present_flag,eligibility_v02_fia_codes,eligibility_v02_mapping_types,eligibility_v02_original_map_names,eligibility_v02_accepted_names,eligibility_v02_layer_name_proxy,eligibility_v02_n_US_cells_by_code,eligibility_v02_n_CONUS_cells_by_code,eligibility_v02_n_US_plus_Canada_cells_by_code,eligibility_prior_exact_or_official_nonzero_flag,v02_atlas_row_ids,v02_atlas_original_names,candidate_atlas_match_status,candidate_atlas_row_ids,candidate_atlas_original_names,candidate_atlas_current_names,candidate_atlas_authors,candidate_atlas_layer_keys,candidate_atlas_resolution_statuses,candidate_atlas_resolution_reasons,v02_wcvp_concept_evidence,conflict_type,v02_explicit_cause,proposed_v02_status,resolution_disposition,mainline_review_required_flag,no_silent_loss_accounting
,Tamala palustris,Raf.,6511,NO_V01_ANALYSIS_SPECIES_TAXONOMY_BLOCK,0,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,Tamala palustris Raf.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,IDENTITY_RESOLVED_TARGET_UNPLACED,NO_ORDINARY_ANALYSIS_SPECIES,0,EXPLICITLY_ACCOUNTED
,Salix fragilis,,6955,NO_V01_ANALYSIS_SPECIES_TAXONOMY_BLOCK,0,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,Salix fragilis ,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,NO_ORDINARY_ANALYSIS_SPECIES,0,EXPLICITLY_ACCOUNTED
,Pinus × kohae,Frankis,143,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,Pinus × kohae Frankis,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,ACCEPTED_HYBRID_NONCORE,MACHINE_CLASSIFIED_NONCORE,0,EXPLICITLY_ACCOUNTED
6364,Alnus glutinosa,(L.) Gaertn.,355,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,6364:Alnus glutinosa (L.) Gaertn.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
21443,Betula lenta,L.,372,NO_V01_ANALYSIS_SPECIES_TAXONOMY_BLOCK,0,,,1,372,exact,Betula lenta,Betula lenta,Betula lenta,372:749,372:749,372:757,1,ATLASG-0086,Betula lenta,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0086,Betula lenta,Betula lenta,L.,Betula_lenta,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,21443:Betula lenta L.,PRIOR_EXACT_NONZERO_TAXONOMY_BLOCKED_IN_V01,Losslessly canonical author matching repaired the v01 conservative false negative and yielded one no-Notes species layer.,SINGLE_SPECIES_LAYER,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
35016,Castanea mollissima,Blume,424,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,35016:Castanea mollissima Blume,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
35028,Castanea pumila,(L.) Mill.,422,MULTIPLE_OTHER_LAYERS,1,ATLASG-0120;ATLASG-0123,Castanea alnifolia | Castanea pumila,1,422,exact,Castanea pumila,Castanea pumila,Castanea pumila,422:1340,422:1340,422:1340,1,ATLASG-0120;ATLASG-0123,Castanea alnifolia | Castanea pumila,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0120;ATLASG-0123,Castanea alnifolia | Castanea pumila,Castanea pumila,(L.) Mill.,Castanea_alnifolia;Castanea_pumila,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,35028:Castanea pumila (L.) Mill.,PRIOR_EXACT_NONZERO_D08B_V01_REVIEW_ONLY,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MULTIPLE_OTHER_LAYERS,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
47451,Cornus nuttallii,Audubon ex Torr. & A.Gray,492,SINGLE_SPECIES_LAYER,0,ATLASG-0183,Cornus nuttallii,1,492,exact,Cornus nuttallii,Cornus nuttallii,Cornus nuttallii,492:291,492:291,492:375,1,,,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0183,Cornus nuttallii,Cornus nuttallii,Audubon,Cornus_nuttallii,UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,47451:Cornus nuttallii Audubon ex Torr. & A.Gray,D08B1_BRIDGE_STATUS_CHANGED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
73008,Eucalyptus globulus,Labill.,511,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,73008:Eucalyptus globulus Labill.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
73044,Eucalyptus grandis,W.Hill ex Maiden,513,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,73044:Eucalyptus grandis W.Hill ex Maiden,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
