analysis_species_id,analysis_species_name,analysis_species_authors,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,atlas_resolved_species_ids,atlas_resolved_species_names,atlas_component_names,atlas_component_authors_canonical,atlas_component_wcvp_match_ids,atlas_component_wcvp_match_authors,atlas_component_wcvp_match_statuses,atlas_component_resolution_statuses,atlas_component_resolution_reasons,decision_status,review_reason
35028,Castanea pumila,(L.) Mill.,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0120,Castanea alnifolia,Castanea pumila,(L.) Mill.,SPECIES,individual_taxa/atlas_pages/Castanea_alnifolia.pdf,Castanea_alnifolia,74,Little (1977),,,redigitized,1,,35028,Castanea pumila,Castanea pumila,(L.)Mill.,35028,(L.) Mill.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
35028,Castanea pumila,(L.) Mill.,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0123,Castanea pumila,Castanea pumila,(L.) Mill.,SPECIES,individual_taxa/atlas_pages/Castanea_pumila.pdf,Castanea_pumila,1340,Little (1977),,,redigitized,1,,35028,Castanea pumila,Castanea pumila,(L.)Mill.,35028,(L.) Mill.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
47451,Cornus nuttallii,Audubon ex Torr. & A.Gray,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
117583,Magnolia fraseri,Walter,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0356,Magnolia fraseri,Magnolia fraseri,Walter,SPECIES,individual_taxa/atlas_pages/Magnolia_fraseri.pdf,Magnolia_fraseri,117,Little (1977),,,redigitized,1,,117583,Magnolia fraseri,Magnolia fraseri,Walter,117583,Walter,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
117583,Magnolia fraseri,Walter,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0359,Magnolia pyramidata,Magnolia pyramidata,W. Bartram,SPECIES,individual_taxa/atlas_pages/Magnolia_pyramidata.pdf,Magnolia_pyramidata,60,Little (1977),,,redigitized,1,,117583,Magnolia fraseri,Magnolia pyramidata,W.Bartram,117798,W.Bartram,Synonym,RESOLVED,Exact authored infraspecific component resolved through explicit parent to WCVP Accepted species.,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
136191,Nyssa biflora,Walter,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
136212,Nyssa ogeche,W.Bartram ex Marshall,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
171890,Quercus buckleyi,Nixon & Dorr,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
172866,Quercus geminata,Small,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
172964,Quercus graciliformis,C.H.Mull.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
173053,Quercus hemisphaerica,W.Bartram ex Willd.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
173817,Quercus macrocarpa,Michx.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
173863,Quercus margaretta,(Ashe) Small,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
173929,Quercus michauxii,Nutt.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
173948,Quercus minima,(Sarg.) Small,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
174226,Quercus pagoda,Raf.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
174518,Quercus prinoides,Willd.,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
175172,Quercus similis,Ashe,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
320352,Catalpa bignonioides,Walter,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
320410,Catalpa speciosa,Warder ex Teas,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
351387,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,,,,,,,,,,MAINLINE_REVIEW_REQUIRED,No Atlas row resolved by exact name plus author to this accepted ordinary species.
