analysis_species_id,analysis_species_name,analysis_species_authors,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,atlas_resolved_species_ids,atlas_resolved_species_names,atlas_component_names,atlas_component_authors_canonical,atlas_component_wcvp_match_ids,atlas_component_wcvp_match_authors,atlas_component_wcvp_match_statuses,atlas_component_resolution_statuses,atlas_component_resolution_reasons,decision_status,review_reason
6364,Alnus glutinosa,(L.) Gaertn.,NOT_APPLICABLE_CONUS_NONNATIVE,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,NOT_APPLICABLE_CONUS_NONNATIVE,WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.
6544,Alnus oblongifolia,Torr.,SINGLE_SPECIES_LAYER,0,1,Alnus_oblongifolia,ATLASG-0042,Alnus oblongifolia,Alnus oblongifolia,Torr.,SPECIES,individual_taxa/atlas_pages/Alnus_oblongifolia.pdf,Alnus_oblongifolia,42,Little (1976),,,redigitized,1,,6544,Alnus oblongifolia,Alnus oblongifolia,Torr.,6544,Torr.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
6578,Alnus rhombifolia,Nutt.,SINGLE_SPECIES_LAYER,0,1,Alnus_rhombifolia,ATLASG-0043,Alnus rhombifolia,Alnus rhombifolia,Nutt.,SPECIES,individual_taxa/atlas_pages/Alnus_rhombifolia.pdf,Alnus_rhombifolia,210,Little (1976),,,redigitized,1,,6578,Alnus rhombifolia,Alnus rhombifolia,Nutt.,6578,Nutt.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
6584,Alnus rubra,Bong.,SINGLE_SPECIES_LAYER,0,1,Alnus_rubra,ATLASG-0044,Alnus rubra,Alnus rubra,Bong.,SPECIES,individual_taxa/atlas_pages/Alnus_rubra.pdf,Alnus_rubra,441,Little (1971); Viereck and Little (1975),,,redigitized,1,,6584,Alnus rubra,Alnus rubra,Bong.,6584,Bong.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
18443,Avicennia germinans,(L.) L.,SINGLE_SPECIES_LAYER,0,1,Avicennia_germinans,ATLASG-0078,Avicennia germinans,Avicennia germinans,(L.) L.,SPECIES,individual_taxa/atlas_pages/Avicennia_germinans.pdf,Avicennia_germinans,16,"Little (1977, 1978)",,,redigitized,1,,18443,Avicennia germinans,Avicennia germinans,(L.)L.,18443,(L.) L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
21135,Betula alleghaniensis,Britton,SINGLE_SPECIES_LAYER,0,1,Betula_alleghaniensis,ATLASG-0085,Betula alleghaniensis,Betula alleghaniensis,Britton,SPECIES,individual_taxa/atlas_pages/Betula_alleghaniensis.pdf,Betula_alleghaniensis,2270,Little (1971),,,redigitized,1,,21135,Betula alleghaniensis,Betula alleghaniensis,Britton,21135,Britton,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
21443,Betula lenta,L.,SINGLE_SPECIES_LAYER,0,1,Betula_lenta,ATLASG-0086,Betula lenta,Betula lenta,L.,SPECIES,individual_taxa/atlas_pages/Betula_lenta.pdf,Betula_lenta,757,Little (1971),,,redigitized,1,,21443,Betula lenta,Betula lenta,L.,21443,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
21527,Betula nigra,L.,SINGLE_SPECIES_LAYER,0,1,Betula_nigra,ATLASG-0088,Betula nigra,Betula nigra,L.,SPECIES,individual_taxa/atlas_pages/Betula_nigra.pdf,Betula_nigra,2132,Little (1971),,,redigitized,1,,21527,Betula nigra,Betula nigra,L.,21527,L.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
21535,Betula occidentalis,Hook.,SINGLE_SPECIES_LAYER,0,1,Betula_occidentalis,ATLASG-0089,Betula occidentalis,Betula occidentalis,Hook.,SPECIES,individual_taxa/atlas_pages/Betula_occidentalis.pdf,Betula_occidentalis,1091,Little (1976),,,redigitized,1,,21535,Betula occidentalis,Betula occidentalis,Hook.,21535,Hook.,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
21557,Betula papyrifera,Marshall,SINGLE_SPECIES_LAYER,0,1,Betula_papyrifera,ATLASG-0090,Betula papyrifera,Betula papyrifera,Marshall,SPECIES,individual_taxa/atlas_pages/Betula_papyrifera.pdf,Betula_papyrifera,10090,Little (1971); Viereck and Little (1975),,,redigitized,1,,21557,Betula papyrifera,Betula papyrifera,Marshall,21557,Marshall,Accepted,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,CANONICAL_SINGLE_LAYER,
