analysis_species_id,analysis_species_name,analysis_species_authors,component_fia_codes,component_fia_names,dbh_component_code_count,drc_component_code_count,diameter_basis_composition,diameter_measurement_bases,woodland_indicators,dia_threshold_inches,official_large_tree_subplot_ge5_flag,main_analysis_candidate_retained_flag,dbh_only_sensitivity_flag,regional_manual_exception_status,drc_scientific_inclusion_status
6364,Alnus glutinosa,(L.) Gaertn.,355,Alnus glutinosa,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
6544,Alnus oblongifolia,Torr.,353,Alnus oblongifolia,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
6578,Alnus rhombifolia,Nutt.,352,Alnus rhombifolia,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
6584,Alnus rubra,Bong.,351,Alnus rubra,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
18443,Avicennia germinans,(L.) L.,986,Avicennia germinans,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
21135,Betula alleghaniensis,Britton,371,Betula alleghaniensis,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
21443,Betula lenta,L.,372,Betula lenta,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
21527,Betula nigra,L.,373,Betula nigra,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
21535,Betula occidentalis,Hook.,374,Betula occidentalis,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
21557,Betula papyrifera,Marshall,375,Betula papyrifera,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
21620,Betula populifolia,Marshall,379,Betula populifolia,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
34302,Carpinus caroliniana,Walter,391,Carpinus caroliniana,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
34965,Castanea dentata,(Marshall) Borkh.,421,Castanea dentata,1,0,DBH_ONLY,DBH_BREAST_HEIGHT,N,5.0,1,1,1,PRESERVE_PROTOCOL_VARIABLES_NO_REINTERPRETATION,RETAINED_AS_PRIMARY_CANDIDATE_PER_D08B
