analysis_species_id,analysis_species_name,wcvp_distribution_record_count,confirmed_current_native_record_count,native_historical_extinct_record_count,native_location_doubtful_record_count,introduced_audit_record_count,all_distribution_flags_valid_binary,confirmed_native_CONUS,confirmed_native_Canada,confirmed_native_Alaska,confirmed_native_Mexico,confirmed_native_Central_America,confirmed_native_outside_USA_Canada,confirmed_native_outside_North_America,transcontinental_circumboreal_global_extension_flag,introduced_in_CONUS_audit_flag,extinct_native_outside_primary_CONUS_domain_flag,doubtful_native_outside_primary_CONUS_domain_flag,confirmed_native_level3_areas,confirmed_native_outside_USA_Canada_level3_areas,confirmed_native_outside_North_America_level3_areas,introduced_CONUS_level3_areas,extinct_native_outside_domain_level3_areas,doubtful_native_outside_domain_level3_areas,macro_region_rule_version
6364,Alnus glutinosa,73,46,0,0,27,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,ALB:Albania;ALG:Algeria;AUT:Austria;BGM:Belgium;BLR:Belarus;BLT:Baltic States;BUL:Bulgaria;COR:Corse;CZE:Czechia-Slovakia;DEN:Denmark;FIN:Finland;FRA:France;GER:Germany;GRB:Great Britain;GRC:Greece;HUN:Hungary;IRE:Ireland;IRN:Iran;ITA:Italy;KAZ:Kazakhstan;KRY:Krym;LBY:Libya;MOR:Morocco;NCS:North Caucasus;NET:Netherlands;NOR:Norway;POL:Poland;POR:Portugal;ROM:Romania;RUC:Central European Russia;RUE:East European Russia;RUN:North European Russia;RUS:South European Russia;RUW:Northwest European Russia;SAR:Sardegna;SIC:Sicilia;SPA:Spain;SWE:Sweden;SWI:Switzerland;TCS:Transcaucasus;TUE:Türkiye-in-Europe;TUN:Tunisia;TUR:Türkiye;UKR:Ukraine;WSB:West Siberia;YUG:NW. Balkan Pen.,ALB:Albania;ALG:Algeria;AUT:Austria;BGM:Belgium;BLR:Belarus;BLT:Baltic States;BUL:Bulgaria;COR:Corse;CZE:Czechia-Slovakia;DEN:Denmark;FIN:Finland;FRA:France;GER:Germany;GRB:Great Britain;GRC:Greece;HUN:Hungary;IRE:Ireland;IRN:Iran;ITA:Italy;KAZ:Kazakhstan;KRY:Krym;LBY:Libya;MOR:Morocco;NCS:North Caucasus;NET:Netherlands;NOR:Norway;POL:Poland;POR:Portugal;ROM:Romania;RUC:Central European Russia;RUE:East European Russia;RUN:North European Russia;RUS:South European Russia;RUW:Northwest European Russia;SAR:Sardegna;SIC:Sicilia;SPA:Spain;SWE:Sweden;SWI:Switzerland;TCS:Transcaucasus;TUE:Türkiye-in-Europe;TUN:Tunisia;TUR:Türkiye;UKR:Ukraine;WSB:West Siberia;YUG:NW. Balkan Pen.,ALB:Albania;ALG:Algeria;AUT:Austria;BGM:Belgium;BLR:Belarus;BLT:Baltic States;BUL:Bulgaria;COR:Corse;CZE:Czechia-Slovakia;DEN:Denmark;FIN:Finland;FRA:France;GER:Germany;GRB:Great Britain;GRC:Greece;HUN:Hungary;IRE:Ireland;IRN:Iran;ITA:Italy;KAZ:Kazakhstan;KRY:Krym;LBY:Libya;MOR:Morocco;NCS:North Caucasus;NET:Netherlands;NOR:Norway;POL:Poland;POR:Portugal;ROM:Romania;RUC:Central European Russia;RUE:East European Russia;RUN:North European Russia;RUS:South European Russia;RUW:Northwest European Russia;SAR:Sardegna;SIC:Sicilia;SPA:Spain;SWE:Sweden;SWI:Switzerland;TCS:Transcaucasus;TUE:Türkiye-in-Europe;TUN:Tunisia;TUR:Türkiye;UKR:Ukraine;WSB:West Siberia;YUG:NW. Balkan Pen.,CNT:Connecticut;ILL:Illinois;INI:Indiana;IOW:Iowa;KTY:Kentucky;MAS:Massachusetts;MIC:Michigan;MIN:Minnesota;MRY:Maryland;NWJ:New Jersey;NWY:New York;OHI:Ohio;PEN:Pennsylvania;RHO:Rhode I.;VER:Vermont;WIS:Wisconsin,,,TAXON_RANGE_BUILD_CONTRACT_v01
6544,Alnus oblongifolia,4,4,0,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ARI:Arizona;MXE:Mexico Northeast;MXN:Mexico Northwest;NWM:New Mexico,MXE:Mexico Northeast;MXN:Mexico Northwest,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
6578,Alnus rhombifolia,6,6,0,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,CAL:California;IDA:Idaho;MNT:Montana;MXN:Mexico Northwest;ORE:Oregon;WAS:Washington,MXN:Mexico Northwest,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
6584,Alnus rubra,10,8,0,0,2,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ASK:Alaska;BRC:British Columbia;CAL:California;IDA:Idaho;MNT:Montana;ORE:Oregon;WAS:Washington;YUK:Yukon,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
18443,Avicennia germinans,65,65,0,0,0,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,ALA:Alabama;ANG:Angola;ARU:Aruba;BAH:Bahamas;BEN:Benin;BER:Bermuda;BLZ:Belize;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CAY:Cayman Is.;CLM:Colombia;CMN:Cameroon;CON:Congo;COS:Costa Rica;CUB:Cuba;DOM:Dominican Republic;ECU:Ecuador;ELS:El Salvador;EQG:Equatorial Guinea;FLA:Florida;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GEO:Georgia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUA:Guatemala;GUI:Guinea;GUY:Guyana;HAI:Haiti;HON:Honduras;IVO:Ivory Coast;JAM:Jamaica;LBR:Liberia;LEE:Leeward Is.;LOU:Louisiana;MSI:Mississippi;MTN:Mauritania;MXE:Mexico Northeast;MXG:Mexico Gulf;MXN:Mexico Northwest;MXS:Mexico Southwest;MXT:Mexico Southeast;NGA:Nigeria;NIC:Nicaragua;NLA:Netherlands Antilles;PAN:Panamá;PER:Peru;PUE:Puerto Rico;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TEX:Texas;TOG:Togo;TRT:Trinidad-Tobago;VEN:Venezuela;VNA:Venezuelan Antilles;WIN:Windward Is.;ZAI:DR Congo,ANG:Angola;ARU:Aruba;BAH:Bahamas;BEN:Benin;BER:Bermuda;BLZ:Belize;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CAY:Cayman Is.;CLM:Colombia;CMN:Cameroon;CON:Congo;COS:Costa Rica;CUB:Cuba;DOM:Dominican Republic;ECU:Ecuador;ELS:El Salvador;EQG:Equatorial Guinea;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUA:Guatemala;GUI:Guinea;GUY:Guyana;HAI:Haiti;HON:Honduras;IVO:Ivory Coast;JAM:Jamaica;LBR:Liberia;LEE:Leeward Is.;MTN:Mauritania;MXE:Mexico Northeast;MXG:Mexico Gulf;MXN:Mexico Northwest;MXS:Mexico Southwest;MXT:Mexico Southeast;NGA:Nigeria;NIC:Nicaragua;NLA:Netherlands Antilles;PAN:Panamá;PER:Peru;PUE:Puerto Rico;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TOG:Togo;TRT:Trinidad-Tobago;VEN:Venezuela;VNA:Venezuelan Antilles;WIN:Windward Is.;ZAI:DR Congo,ANG:Angola;BEN:Benin;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CLM:Colombia;CMN:Cameroon;CON:Congo;ECU:Ecuador;EQG:Equatorial Guinea;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUI:Guinea;GUY:Guyana;IVO:Ivory Coast;LBR:Liberia;MTN:Mauritania;NGA:Nigeria;PER:Peru;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;TOG:Togo;VEN:Venezuela;ZAI:DR Congo,,,,TAXON_RANGE_BUILD_CONTRACT_v01
21135,Betula alleghaniensis,31,31,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;CNT:Connecticut;GEO:Georgia;ILL:Illinois;INI:Indiana;IOW:Iowa;KTY:Kentucky;MAI:Maine;MAS:Massachusetts;MIC:Michigan;MIN:Minnesota;MRY:Maryland;NBR:New Brunswick;NCA:North Carolina;NFL:Newfoundland;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;VER:Vermont;VRG:Virginia;WIS:Wisconsin;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
21443,Betula lenta,22,21,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;CNT:Connecticut;GEO:Georgia;KTY:Kentucky;MAI:Maine;MAS:Massachusetts;MRY:Maryland;MSI:Mississippi;NCA:North Carolina;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEN:Pennsylvania;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;VER:Vermont;VRG:Virginia;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01_SEMANTICS_UNCHANGED
21527,Betula nigra,30,30,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ALA:Alabama;ARK:Arkansas;CNT:Connecticut;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;IOW:Iowa;KAN:Kansas;KTY:Kentucky;LOU:Louisiana;MAS:Massachusetts;MIN:Minnesota;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWJ:New Jersey;NWY:New York;OHI:Ohio;OKL:Oklahoma;PEN:Pennsylvania;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VRG:Virginia;WDC:District of Columbia;WIS:Wisconsin;WVA:West Virginia,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
21535,Betula occidentalis,22,22,0,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ABT:Alberta;ARI:Arizona;ASK:Alaska;BRC:British Columbia;CAL:California;COL:Colorado;IDA:Idaho;MAN:Manitoba;MNT:Montana;NDA:North Dakota;NEB:Nebraska;NEV:Nevada;NWM:New Mexico;NWT:Northwest Territories;ONT:Ontario;ORE:Oregon;SAS:Saskatchewan;SDA:South Dakota;UTA:Utah;WAS:Washington;WYO:Wyoming;YUK:Yukon,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
21557,Betula papyrifera,43,41,0,0,2,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ABT:Alberta;ASK:Alaska;BRC:British Columbia;CNT:Connecticut;COL:Colorado;IDA:Idaho;ILL:Illinois;INI:Indiana;IOW:Iowa;LAB:Labrador;MAI:Maine;MAN:Manitoba;MAS:Massachusetts;MIC:Michigan;MIN:Minnesota;MNT:Montana;NBR:New Brunswick;NDA:North Dakota;NEB:Nebraska;NFL:Newfoundland;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWT:Northwest Territories;NWY:New York;OHI:Ohio;ONT:Ontario;ORE:Oregon;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SAS:Saskatchewan;SDA:South Dakota;VER:Vermont;VRG:Virginia;WAS:Washington;WIS:Wisconsin;WVA:West Virginia;WYO:Wyoming;YUK:Yukon,,,,,,TAXON_RANGE_BUILD_CONTRACT_v01
