stratum,state,P2PANEL,n_lineages_total,n_A,n_B,abs_balance_diff,missing_P2PANEL_count,duplicate_lineage_across_AB,duplicate_primary_measurement,split_seed,split_rule_id,status
AL|1,AL,1,748,374,374,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AL|2,AL,2,854,427,427,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AL|3,AL,3,844,422,422,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AL|4,AL,4,845,423,422,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AL|5,AL,5,814,407,407,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AR|1,AR,1,709,355,354,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AR|2,AR,2,709,355,354,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AR|3,AR,3,723,362,361,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AR|4,AR,4,719,360,359,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AR|5,AR,5,732,366,366,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AZ|1,AZ,1,327,164,163,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AZ|2,AZ,2,329,165,164,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AZ|3,AZ,3,393,197,196,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AZ|4,AZ,4,664,332,332,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
AZ|5,AZ,5,593,297,296,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CA|1,CA,1,544,272,272,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CA|2,CA,2,566,283,283,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CA|3,CA,3,1084,542,542,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CA|4,CA,4,547,274,273,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CA|5,CA,5,545,273,272,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CO|1,CO,1,420,210,210,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CO|2,CO,2,398,199,199,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CO|3,CO,3,403,202,201,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CO|4,CO,4,757,379,378,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CO|5,CO,5,719,360,359,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CT|1,CT,1,71,36,35,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CT|2,CT,2,56,28,28,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CT|3,CT,3,56,28,28,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CT|4,CT,4,56,28,28,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
CT|5,CT,5,67,34,33,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
DE|1,DE,1,23,12,11,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
DE|2,DE,2,19,10,9,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
DE|3,DE,3,29,15,14,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
DE|4,DE,4,26,13,13,0,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
DE|5,DE,5,25,13,12,1,0,0,0,D04_FIA_GEOMETRY_RECOVERABILITY_V1,D04_SHA256_STATE_P2PANEL_ALTERNATION_V1,PASS
