fia_species_code,fia_name_raw,analysis_species_id,analysis_species_name,analysis_species_authors,mapping_class,diameter_measurement_basis,pooling_group_component_code_count,pooling_group_component_codes,pooling_applied_flag,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,confirmed_native_state_tree_rows,explicit_introduced_state_tree_rows,unclassified_state_tree_rows,component_positive_primary_plots,pooled_species_positive_primary_plots,sum_component_positive_plots_before_dedup,plot_overlap_removed_by_species_pooling,aggregation_rule
11,Abies amabilis,381632,Abies amabilis,Douglas ex J.Forbes,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,11,0,13059,6649,6410,13059,0,0,1001,1001,1001,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
12,Abies balsamea,381647,Abies balsamea,(L.) Mill.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,12,0,53601,27193,26408,53601,0,0,7186,7186,7186,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
15,Abies concolor,381713,Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,15,0,17848,8995,8853,17815,0,33,1809,1809,1809,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
16,Abies fraseri,381792,Abies fraseri,(Pursh) Poir.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,16,0,95,73,22,86,0,9,11,11,11,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
17,Abies grandis,381804,Abies grandis,(Douglas ex D.Don) Lindl.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,17,0,18236,9262,8974,18236,0,0,2272,2272,2272,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
18,Abies lasiocarpa var. arizonica,381853,Abies lasiocarpa,(Hook.) Nutt.,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,18;19,1,1581,668,913,1581,0,0,221,3317,3329,12,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
19,Abies lasiocarpa,381853,Abies lasiocarpa,(Hook.) Nutt.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,18;19,1,29486,14721,14765,27984,0,1502,3108,3317,3329,12,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
20,Abies magnifica,381868,Abies magnifica,A.Murray bis,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,20;21,1,2957,1956,1001,2957,0,0,238,410,410,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
21,Abies shastensis,381868,Abies magnifica,A.Murray bis,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,20;21,1,2291,1076,1215,2291,0,0,172,410,410,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
22,Abies procera,381974,Abies procera,Rehder,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,22,0,2116,1001,1115,2116,0,0,351,351,351,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
41,Chamaecyparis lawsoniana,382830,Chamaecyparis lawsoniana,(A.Murray bis) Oerst.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,41,0,438,249,189,438,0,0,90,90,90,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
42,Chamaecyparis nootkatensis,456789,Callitropsis nootkatensis,(D.Don) Oerst.,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,42,0,665,354,311,665,0,0,114,114,114,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
43,Chamaecyparis thyoides,382860,Chamaecyparis thyoides,(L.) Oerst.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,43,0,1084,644,440,1084,0,0,108,108,108,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
51,Cupressus arizonica,457902,Hesperocyparis arizonica,(Greene) Bartel,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,51,0,28,2,26,28,0,0,5,5,5,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
52,Cupressus bakeri,457903,Hesperocyparis bakeri,(Jeps.) Bartel,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,52,0,11,11,0,11,0,0,1,1,1,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
54,Cupressus macrocarpa,457913,Hesperocyparis macrocarpa,(Hartw.) Bartel,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,54,0,4,4,0,4,0,0,2,2,2,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
55,Cupressus sargentii,457918,Hesperocyparis sargentii,(Jeps.) Bartel,SYNONYM_TO_ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,55,0,24,4,20,24,0,0,2,2,2,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
58,Juniperus pinchotii,377678,Juniperus pinchotii,Sudw.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,58,0,3317,1680,1637,3317,0,0,536,536,536,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
59,Juniperus coahuilensis,377511,Juniperus coahuilensis,(Martínez) Gaussen ex R.P.Adams,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,59,0,1058,501,557,438,0,620,227,227,227,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
60,Juniperus flaccida,377397,Juniperus flaccida,Schltdl.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,60,0,1,1,0,1,0,0,1,1,1,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
61,Juniperus ashei,377454,Juniperus ashei,J.Buchholz,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,61,0,10774,5050,5724,10774,0,0,880,880,880,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
62,Juniperus californica,377520,Juniperus californica,Carrière,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,62,0,300,207,93,300,0,0,58,58,58,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
63,Juniperus deppeana,377371,Juniperus deppeana,Steud.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,63,0,3939,1893,2046,3939,0,0,764,764,764,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
64,Juniperus occidentalis,377592,Juniperus occidentalis,Hook.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,64,0,4700,2371,2329,4700,0,0,834,834,834,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
65,Juniperus osteosperma,377597,Juniperus osteosperma,(Torr.) Little,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,65,0,32310,15912,16398,32310,0,0,3342,3342,3342,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
66,Juniperus scopulorum,377330,Juniperus scopulorum,Sarg.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,66,0,7675,4002,3673,7675,0,0,1460,1460,1460,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
67,Juniperus virginiana var. silicicola,377287,Juniperus virginiana,L.,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,DBH_BREAST_HEIGHT,2,67;68,1,130,58,72,130,0,0,38,6556,6560,4,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
68,Juniperus virginiana,377287,Juniperus virginiana,L.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,2,67;68,1,30214,15108,15106,30214,0,0,6522,6556,6560,4,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
69,Juniperus monosperma,377543,Juniperus monosperma,(Engelm.) Sarg.,ACCEPTED_SPECIES,DRC_ROOT_COLLAR,1,69,0,10818,5345,5473,10818,0,0,1385,1385,1385,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
71,Larix laricina,379072,Larix laricina,(Du Roi) K.Koch,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,71,0,12399,6537,5862,12399,0,0,1831,1831,1831,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
72,Larix lyallii,379089,Larix lyallii,Parl.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,72,0,243,174,69,243,0,0,37,37,37,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
73,Larix occidentalis,379096,Larix occidentalis,Nutt.,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,73,0,6788,3569,3219,6788,0,0,1549,1549,1549,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
81,Calocedrus decurrens,382424,Calocedrus decurrens,(Torr.) Florin,ACCEPTED_SPECIES,DBH_BREAST_HEIGHT,1,81,0,5615,2884,2731,5614,0,1,997,997,997,0,POOL_BOTTOM_LEVEL_TREE_RECORDS_BY_ACCEPTED_ANALYSIS_SPECIES_BEFORE_PLOT_CELL_SUMMARY
