file_role,path,size_bytes,sha256,expected_size,expected_sha256,status
FORMAL_FIA_RAW_COMPUTATION_SOURCE,C:\range_paper\02_raw\FIA\SQLite_FIADB_ENTIRE.zip,15351832599,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,15351832599,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,PASS
FORMAL_RAW_CONTROL,C:\range_paper\02_raw\USGS\Thompson_and_others_2023_Atlas_data_release_csv_files.zip,3843561,7586164e4a08f746ca0b3960016a88d4a7254d4fb7c89340a84be741b493b0e4,3843561,7586164e4a08f746ca0b3960016a88d4a7254d4fb7c89340a84be741b493b0e4,PASS
FORMAL_RAW_CONTROL,C:\range_paper\02_raw\USGS\Thompson_and_others_2023_Atlas_data_release_netCDF_files.zip,12790836,2ad5c19db5fdcfebe6bae10719d7414de92aaa284ece4c6670aa961d22b7ebe9,12790836,2ad5c19db5fdcfebe6bae10719d7414de92aaa284ece4c6670aa961d22b7ebe9,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\00_control\RAW_FREEZE_v02.md,2345,878bfeb09d474cd6e69ec787eac8bb69d7c14d802620c3d7b653d27f6b3470ce,2345,878bfeb09d474cd6e69ec787eac8bb69d7c14d802620c3d7b653d27f6b3470ce,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\00_control\raw_manifest_v02.csv,1774,ed3dead2cb0e516f95ec51c417ffa221e0f22f8dbfe695fac1d1f533ea0b0dc1,1774,ed3dead2cb0e516f95ec51c417ffa221e0f22f8dbfe695fac1d1f533ea0b0dc1,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\00_control\sha256_raw_v02.txt,379,fec418fcbd714f7d856e5791001a68a49e72b771900543aac70ef4141e04eb94,379,fec418fcbd714f7d856e5791001a68a49e72b771900543aac70ef4141e04eb94,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\00_control\D08C1_FIA_ACCEPTED_SPECIES_ELIGIBILITY_CONTRACT_v01.md,6203,46da3382ae7cd650569440e3cdf0b6406af6f82a4b72fb3767ccaf6cc06ec22c,6203,46da3382ae7cd650569440e3cdf0b6406af6f82a4b72fb3767ccaf6cc06ec22c,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\00_control\D08C1_STATE_ALIAS_FREEZE_v01.csv,373,d450e7b9b635c34db7e60ec0964a7f4ca3f24e4e7e58f8f1725691bcff3f7dda,373,d450e7b9b635c34db7e60ec0964a7f4ca3f24e4e7e58f8f1725691bcff3f7dda,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\06_src\d08c1_v01\parameters_d08c1_v01.json,2370,22c0c8a5b3cdfa9194d527ed9381fdf6680338652d486ee045e1aa8d2253e608,2370,22c0c8a5b3cdfa9194d527ed9381fdf6680338652d486ee045e1aa8d2253e608,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\03_doc\D08C1_FIA_ELIGIBILITY_INPUTS_v01\Q1_WORK_REQUEST_D08C1_FIA_ACCEPTED_SPECIES_ELIGIBILITY_v01_20260902.md,4344,8b8aaa99cc121f23c0f9ffa87998ceb43200b0cf8ed76d4a452e61ee7e5036c1,4344,8b8aaa99cc121f23c0f9ffa87998ceb43200b0cf8ed76d4a452e61ee7e5036c1,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\03_doc\D08C1_FIA_ELIGIBILITY_INPUTS_v01\Q1_D08C1_MAINLINE_DECISION_RHODE_ISLAND_ALIAS_v01_20260902.md,2237,72111e6d9a7340256f7a7008a9f275614653f7e1aa25aed0745a1f9dc903e8c8,2237,72111e6d9a7340256f7a7008a9f275614653f7e1aa25aed0745a1f9dc903e8c8,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\06_src\elig_v02\D04_extract_FIA_pilot.py,41057,4604e4e288881a89cc0c98476a40a806c8e14005ec50815c95a79c2becd63683,41057,4604e4e288881a89cc0c98476a40a806c8e14005ec50815c95a79c2becd63683,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\06_src\elig_v02\parameters.json,2231,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe,2231,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe,PASS
