analysis_species_id,analysis_species_name,confirmed_native_CONUS,core_eligibility_status,all_view_detected_cells_fold_A,all_view_detected_cells_fold_B,native_view_detected_cells_fold_A,native_view_detected_cells_fold_B,passes_ge10_each_fold_all_view,passes_ge10_each_fold_native_view,union_queue_flag,queue_role,little_information_used
381632,Abies amabilis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,43,44,43,44,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
381647,Abies balsamea,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,219,218,219,218,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
381713,Abies concolor,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,172,185,169,181,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
381804,Abies grandis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,130,138,130,138,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
381853,Abies lasiocarpa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,285,279,256,250,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
381868,Abies magnifica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,42,42,42,42,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
381974,Abies procera,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,29,34,29,34,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2615689,Acer grandidentatum,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,23,29,23,29,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2615900,Acer macrophyllum,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,95,100,95,100,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2616024,Acer negundo,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,662,667,662,667,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2616060,Acer nigrum,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,32,36,32,36,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2616210,Acer pensylvanicum,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,108,120,108,120,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2616254,Acer platanoides,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,40,40,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2616329,Acer rubrum,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,1083,1090,1083,1090,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2616367,Acer saccharinum,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,328,306,328,306,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2616387,Acer saccharum,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,788,790,787,787,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2624481,Aesculus californica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,20,17,20,17,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2624500,Aesculus flava,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,78,87,78,87,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2624506,Aesculus glabra,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,66,69,65,69,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2626815,Ailanthus altissima,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,177,180,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2627374,Albizia julibrissin,FALSE,CONUS_NONNATIVE_CORE_INELIGIBLE,88,65,0,0,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
6578,Alnus rhombifolia,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,21,23,21,23,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
6584,Alnus rubra,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,88,83,88,83,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2646696,Arbutus menziesii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,49,53,49,53,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2655435,Asimina triloba,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,20,11,20,11,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
21135,Betula alleghaniensis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,310,312,310,312,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
21443,Betula lenta,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,198,192,197,191,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
21527,Betula nigra,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,217,232,217,232,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
21557,Betula papyrifera,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,321,312,321,312,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
21620,Betula populifolia,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,70,75,69,75,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
456789,Callitropsis nootkatensis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,18,19,18,19,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
382424,Calocedrus decurrens,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,73,74,73,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
34302,Carpinus caroliniana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,434,452,434,452,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701748,Carya aquatica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,122,101,122,101,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701766,Carya cordiformis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,624,597,624,597,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701775,Carya glabra,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,604,600,602,596,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701784,Carya illinoinensis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,207,236,170,189,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701789,Carya laciniosa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,68,74,66,73,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701831,Carya ovata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,599,609,599,609,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701846,Carya pallida,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,37,45,37,45,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701863,Carya texana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,175,167,172,167,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2701867,Carya tomentosa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,630,641,629,639,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
320352,Catalpa bignonioides,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,11,11,6,9,1,0,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
320410,Catalpa speciosa,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,24,28,22,25,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2708323,Celtis laevigata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,405,394,403,394,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2708380,Celtis occidentalis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,535,533,532,529,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2708432,Celtis reticulata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,31,29,31,29,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2711403,Cercis canadensis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,231,236,231,236,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2943367,Cercocarpus ledifolius,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,105,102,105,102,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
382830,Chamaecyparis lawsoniana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,12,10,12,10,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
382860,Chamaecyparis thyoides,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,31,27,31,27,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
39927,Chrysolepis chrysophylla,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,28,35,28,35,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2733979,Condalia hookeri,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,29,29,29,29,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
47363,Cornus florida,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,335,334,335,334,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
47451,Cornus nuttallii,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,20,26,20,26,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
384904,Diospyros texana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,44,48,44,48,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
385000,Diospyros virginiana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,402,397,402,397,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
83824,Fagus grandifolia,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,642,640,642,640,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
369466,Fraxinus albicans,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,12,14,12,14,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
369468,Fraxinus americana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,763,749,763,749,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
369591,Fraxinus caroliniana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,29,28,29,28,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
369836,Fraxinus latifolia,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,19,21,19,21,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
369888,Fraxinus nigra,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,223,226,223,225,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
370006,Fraxinus pennsylvanica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,1020,1001,1020,1001,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
370051,Fraxinus profunda,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,21,28,21,28,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
370075,Fraxinus quadrangulata,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,43,42,43,42,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2826455,Gleditsia aquatica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,17,13,17,13,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2826513,Gleditsia triacanthos,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,369,378,369,378,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2830846,Gordonia lasianthus,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,64,56,64,56,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2835921,Gymnocladus dioicus,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,34,38,34,38,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2838104,Halesia carolina,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,24,19,24,19,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2861190,Ilex opaca,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,284,277,284,277,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2331793,Juglans cinerea,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,60,73,60,73,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
2331834,Juglans nigra,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,632,624,632,624,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
377454,Juniperus ashei,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,72,80,72,80,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
377520,Juniperus californica,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,19,16,19,16,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
377511,Juniperus coahuilensis,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,51,48,24,23,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
377371,Juniperus deppeana,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,77,71,77,71,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
377543,Juniperus monosperma,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,148,136,148,136,1,1,1,LATER_RANGE_SOURCE_REVIEW_NOT_FINAL_COHORT,0
