analysis_species_id,analysis_species_name,fia_state_code,fia_state_ab,fia_state_name,wcvp_area_code_l3,wcvp_area_name,state_identity_mapping_type,wcvp_level3_rows,confirmed_current_native_rows,explicit_introduced_rows,native_historical_extinct_rows,native_location_doubtful_rows,state_evidence_class,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,positive_primary_plots,positive_primary_plots_fold_A,positive_primary_plots_fold_B,confirmed_native_CONUS,core_eligibility_status,status_inference_from_alias
381632,Abies amabilis,1,AL,Alabama,ALA,Alabama,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,4,AZ,Arizona,ARI,Arizona,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,5,AR,Arkansas,ARK,Arkansas,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,6,CA,California,CAL,California,EXACT_FULL_STATE_NAME,1,1,0,0,0,CONFIRMED_CURRENT_NATIVE,13,0,13,1,0,1,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,8,CO,Colorado,COL,Colorado,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,9,CT,Connecticut,CNT,Connecticut,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,10,DE,Delaware,DEL,Delaware,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,12,FL,Florida,FLA,Florida,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,13,GA,Georgia,GEO,Georgia,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,16,ID,Idaho,IDA,Idaho,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,17,IL,Illinois,ILL,Illinois,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,18,IN,Indiana,INI,Indiana,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,19,IA,Iowa,IOW,Iowa,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,20,KS,Kansas,KAN,Kansas,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,21,KY,Kentucky,KTY,Kentucky,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,22,LA,Louisiana,LOU,Louisiana,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,23,ME,Maine,MAI,Maine,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,24,MD,Maryland,MRY,Maryland,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,25,MA,Massachusetts,MAS,Massachusetts,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
381632,Abies amabilis,26,MI,Michigan,MIC,Michigan,EXACT_FULL_STATE_NAME,0,0,0,0,0,NO_CONFIRMED_NATIVE_OR_INTRODUCED_ROW,0,0,0,0,0,0,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,0
