fia_species_code,fia_name_raw,d08b1_mapping_class,taxonomy_resolution_status,hybrid_or_nothotaxon_flag,no_analysis_species_reason,observed_exclusion_reasons,observed_mapping_classes,qualifying_tree_rows,qualifying_tree_rows_fold_A,qualifying_tree_rows_fold_B,positive_primary_plots,state_codes_with_records,ordinary_census_included_flag,audit_status
70,Larix spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,311,208,103,38,17;23;26;34;36;42;55,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
143,Pinus monophylla var. fallax,ACCEPTED_HYBRID_NONCORE,RESOLVED_ACCEPTED_HYBRID_NONCORE,1,Accepted hybrid/non-core object; excluded from ordinary accepted-species master.,Accepted hybrid/non-core object; excluded from ordinary accepted-species master.,ACCEPTED_HYBRID_NONCORE,1004,506,498,199,4;35,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
350,Alnus spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,6,6,0,1,51,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
356,Amelanchier spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,1735,936,799,1049,1;5;9;10;13;18;19;21;23;24;25;26;27;28;29;33;34;36;37;39;40;42;47;50;51;54;55,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
500,Crataegus spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,878,510,368,411,1;5;12;13;17;18;19;22;26;27;28;29;34;36;37;39;40;42;45;47;48;50;51;54;55,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
660,Malus spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,1317,645,672,513,5;9;17;18;19;21;23;24;25;26;27;29;31;33;34;36;37;38;39;42;44;50;51;54;55,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
760,Prunus spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,6,4,2,6,5;17;20;28;29;37,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
860,Citrus spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,3,1,2,2,12,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
909,Roystonea spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,1,1,0,1,12,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
915,Areca spp.,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,0,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,FIA name is a genus/non-species aggregate or unknown object; no species assignment permitted.,GENUS_OR_NON_SPECIES_AGGREGATE,3,2,1,2,12,0,REPORTED_SEPARATELY_NOT_IN_ORDINARY_ACCEPTED_SPECIES_CENSUS
