check,status,observed,expected,detail
all_input_hashes_and_db_member_integrity,PASS,0,0,
d08b1_code_map_396_unique,PASS,"[396, 396]","[396, 396]",
analysis_species_authority_361,PASS,"[361, 361, 361]","[361, 361, 361]",
state_crosswalk_47_exact_plus_one_alias,PASS,"[47, 1, 48]","[47, 1, 48]",
no_fuzzy_state_matching,PASS,0,0,
lineage_reproduces_frozen_eligibility_v02,PASS,"[128714, 115725, 0, 115725, 115725]","['128714', '115725', '0', '115725', '115725']",
ab_split_reproduces_frozen_eligibility_v02,PASS,240,240,
domain_grid_reproduces_frozen_eligibility_v02,PASS,"[10051, 2970, 1441]","['10051', '2970', '1441']",
qualifying_tree_cn_nonblank,PASS,0,0,
qualifying_tree_cn_unique,PASS,"[0, 2483143, 2483143]","[0, 2483143, 2483143]",
tree_record_category_reconciliation,PASS,2483143,2483143,
ordinary_code_aggregation_reconciliation,PASS,2477511,2477511,
nonanalysis_code_reconciliation,PASS,5632,5632,
complete_species_grain_view_fold_census,PASS,6498,6498,
native_view_subset_of_all_view,PASS,0,0,
native_view_contains_only_confirmed_native_state_records,PASS,0,0,
complete_species_state_audit,PASS,17328,17328,
frontier_grid_complete_unselected,PASS,"[30, 0]","[30, 0]",
survivor_queue_union_rule,PASS,0,0,
dbh_drc_record_composition_reconciles,PASS,2477511,2477511,
all_build_qc_inputs_status_pass,PASS,0,0,
no_little_information_used,PASS,0,0,No USGS/Little file opened by build script
no_real_q1_outcome_computed,PASS,0,0,Census uses only sampling/detection/state-evidence counts
