analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_rank,component_fia_code_count,component_fia_codes,component_fia_names,diameter_basis_composition,confirmed_native_CONUS,core_eligibility_status,grain_km,census_view,fold_scope,n_unique_physical_plot_lineages,n_primary_measurements,n_sampled_cells,n_positive_plots,n_detected_cells,n_qualifying_tree_rows,n_dbh_tree_rows,n_drc_tree_rows,n_unclassified_diameter_basis_tree_rows,n_confirmed_native_state_tree_rows,n_explicit_introduced_state_tree_rows,n_no_confirmed_native_or_introduced_state_tree_rows,n_connected_components_detection_support,largest_component_fraction,spatial_span_km,sampling_frame_note,threshold_role
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,ALL,115725,115725,10051,1001,120,13059,13059,0,0,13059,0,0,6,0.8,816.2413858657254,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,A,57920,57920,9235,523,107,6649,6649,0,0,6649,0,0,4,0.822429906542056,694.6221994724903,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,ALL_CONUS_OBSERVED,B,57805,57805,9171,478,108,6410,6410,0,0,6410,0,0,10,0.7777777777777778,816.2413858657254,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,ALL,115725,115725,2970,1001,47,13059,13059,0,0,13059,0,0,4,0.7659574468085106,782.6237921249265,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,A,57920,57920,2846,523,43,6649,6649,0,0,6649,0,0,3,0.7906976744186046,694.6221994724903,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,50,ALL_CONUS_OBSERVED,B,57805,57805,2830,478,44,6410,6410,0,0,6410,0,0,5,0.7727272727272727,782.6237921249265,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,ALL,115725,115725,1441,1001,28,13059,13059,0,0,13059,0,0,1,1.0,772.172260574025,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,A,57920,57920,1411,523,25,6649,6649,0,0,6649,0,0,1,1.0,670.820393249937,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,75,ALL_CONUS_OBSERVED,B,57805,57805,1397,478,28,6410,6410,0,0,6410,0,0,1,1.0,772.172260574025,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
381632,Abies amabilis,Douglas ex J.Forbes,Species,1,11,Abies amabilis,DBH_ONLY,TRUE,CORE_ELIGIBLE_CONFIRMED_NATIVE_CONUS,25,WCVP_CONFIRMED_NATIVE_STATE,ALL,13613,13613,986,1001,120,13059,13059,0,0,13059,0,0,6,0.8,816.2413858657254,cells with >=1 qualifying primary FIA measurement; unsampled political cells are not zeros,CENSUS_ONLY_NOT_FINAL_SELECTION
