detection_band,analysis_species_id,analysis_species_name,physical_plot_lineage_id,selected_primary_measurement_id,measurement_year,fia_state_code,fia_state_ab,fia_state_name,P2PANEL,AB_fold,public_projected_x_m,public_projected_y_m,cell_25km,cell_50km,cell_75km,species_detected,qualifying_tree_rows_for_species,state_evidence_class,selection_rule
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,56925609010478,946080027290487,2023,13,GA,Georgia,4,B,1106020.5130771045,1387083.207203498,25km_44_55,50km_22_27,75km_14_18,1,4,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,43038519010478,1143018308290487,2023,1,AL,Alabama,5,B,850328.4706206328,1307755.381802937,25km_34_52,50km_17_26,75km_11_17,1,3,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,44677184010478,708740836290487,2021,45,SC,South Carolina,2,A,1404147.4777704193,1227252.8907529488,25km_56_49,50km_28_24,75km_18_16,1,3,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,44685518010478,946051334290487,2022,45,SC,South Carolina,4,B,1482379.6467452298,1340109.7910206132,25km_59_53,50km_29_26,75km_19_17,1,1,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,47432912010478,461362966489998,2017,1,AL,Alabama,2,B,758440.8799374055,1203527.5816327203,25km_30_48,50km_15_24,75km_10_16,1,2,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,66431037010661,815219500290487,2022,29,MO,Missouri,2,B,380990.0072577646,1609454.562199953,25km_15_64,50km_7_32,75km_5_21,1,1,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,122560190010661,465275810489998,2018,54,WV,West Virginia,4,A,1338186.9091669298,1833944.3838228723,25km_53_73,50km_26_36,75km_17_24,1,8,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,90705238010661,722612971290487,2021,55,WI,Wisconsin,1,A,538988.9217043186,2406054.9149453696,25km_21_96,50km_10_48,75km_7_32,1,14,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,59846814010538,721926571290487,2021,39,OH,Ohio,5,A,973516.705014602,2006451.7162507866,25km_38_80,50km_19_40,75km_12_26,1,10,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
HIGH_NATIVE_DETECTION,2616329,Acer rubrum,85140002010478,679276504126144,2020,28,MS,Mississippi,5,A,692061.2827026589,882486.4586259834,25km_27_35,50km_13_17,75km_9_11,1,6,CONFIRMED_CURRENT_NATIVE,LOWEST_SHA256_D08C1_TRACE_WITHIN_DETECTION_BAND_AND_STATUS
