"TASK_ID","ENTRY_TYPE","AUTHORITY_IDENTITY","COMMIT_OR_VERSION","LOCAL_PATH","SHA256","BYTES","TASK_STATUS","SCIENTIFIC_OUTPUT_CHANGED","PUBLICATION_CANDIDATE","ROLE","NOTES"
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","TASK","D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","v01","C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01","","","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","YES_COMPACT_EVIDENCE","QC","Data Search Line observational acquisition/authority closure; central Registry not modified."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","INPUT_AUTHORITY","Q1-D08C2-PREFLIGHT-OBS-AUTHORITY-v01-20260904","0cfbc033e9fc49fdba4d8823df113b7862e172ea","","","","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","YES","Methods/QC","Accepted preflight authority; not recomputed."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","INPUT_AUTHORITY","Q1-FIA-T2-2023-RAW-DESIGN-FREEZE-v01-20260903","4bdec2bfc27a0b2de9a64abfc491e6dfea9f07eb","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01","","","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","YES","Data/QC","Frozen CA/OR/WA PLOT + design authority; no re-download."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","INPUT_AUTHORITY","Q1_D09C_T2_FINAL_CORRECTION_v02","0ec3fce71258e38958ecbb7534f3635e2eb05a63","","07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f","","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","YES","Methods/QC","Accepted F0/D09C final identity; F0 not rebuilt."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","CODE","Q1_D08C2_CAORWA_OBS_GAP_CLOSURE_v01.ps1","v01","C:\Users\bug_g\Downloads\Q1_D08C2_CAORWA_OBS_GAP_CLOSURE_v01_TOOLKIT_v02\Q1_D08C2_CAORWA_OBS_GAP_CLOSURE_v01.ps1","91937d44a8cf30a4e0a856ddaed7123d01ac8d91f56593a643b2c8d7de55f2cb","52259","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","YES","Code","Local acquisition/species-blind structural verification code; no scientific analysis."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","NEW_RAW_ASSET","FIA_DATAMART_CA_TREE","2026-09-03T18:40:11.8713615Z","C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_TREE.zip","47dffdd7b366a70bff05034f6dc1005050f06ed4e95890ad81b809a45373f3ff","73216041","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","NO_LOCAL_CANONICAL_RAW","Data","Exact official URL: https://apps.fs.usda.gov/fia/datamart/CSV/CA_TREE.zip; immutable original ZIP; 99_tmp/working copies are not canonical."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","NEW_RAW_ASSET","FIA_DATAMART_CA_COND","2026-09-03T18:41:15.5155188Z","C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_COND.zip","acb6fa7269882846467a53678f39c23f1bc48710f18b879822539be5ff5d9625","2450836","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","NO_LOCAL_CANONICAL_RAW","Data","Exact official URL: https://apps.fs.usda.gov/fia/datamart/CSV/CA_COND.zip; immutable original ZIP; 99_tmp/working copies are not canonical."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","NEW_RAW_ASSET","FIA_DATAMART_CA_SUBPLOT","2026-09-03T18:41:19.0380508Z","C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_SUBPLOT.zip","0d8623bbc9bc4dd81cbdde32e4eee3cf1b31b49b409eb8a7dd727aaf98dd93d3","2032729","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","NO_LOCAL_CANONICAL_RAW","Data","Exact official URL: https://apps.fs.usda.gov/fia/datamart/CSV/CA_SUBPLOT.zip; immutable original ZIP; 99_tmp/working copies are not canonical."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","NEW_RAW_ASSET","FIA_DATAMART_OR_TREE","2026-09-03T18:41:22.2285477Z","C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\OR_TREE.zip","4a1c225208c30f3e27b0976797cdd07acef52a8defae32a745098707e2147629","130963119","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","NO_LOCAL_CANONICAL_RAW","Data","Exact official URL: https://apps.fs.usda.gov/fia/datamart/CSV/OR_TREE.zip; immutable original ZIP; 99_tmp/working copies are not canonical."
"D08C2_CAORWA_OBSERVATIONAL_GAP_CLOSURE_v01","NEW_RAW_ASSET","FIA_DATAMART_OR_COND","2026-09-03T18:43:22.7985981Z","C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\OR_COND.zip","58f1a9dfe77761c219464dc6c6ee738df3d33d0f63769bf36a13ce557048b8cd","3529265","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","NO","NO_LOCAL_CANONICAL_RAW","Data","Exact official URL: https://apps.fs.usda.gov/fia/datamart/CSV/OR_COND.zip; immutable original ZIP; 99_tmp/working copies are not canonical."
