"FILE","BYTES","SHA256","ROLE"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\CA_COND.headers.txt","569","885fc91f96a1c7171460663554f6a30b728251fa2a66d5f74affeafc307263a8","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\CA_SUBPLOT.headers.txt","575","b44f69f67e1d2c617c62f1c62ec17bc661b2a5d37e037a7753cff5777a19b260","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\CA_TREE.headers.txt","571","1fe3fe2946c1dc6e21db1ae8b58c59cfbc20488cd935debb49f4e5cb8277fd5b","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\OR_COND.headers.txt","570","8efabfbce7e1c6ebada9f2f9915a9b604893303dc44aceebb5d4fd76d4768c5f","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\OR_SUBPLOT.headers.txt","576","b8acb5e1ef197407d325f941654ac2247f8de96e2c6601984dc0743a912e4d92","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\OR_TREE.headers.txt","572","a8f11ae759e02ead2c05eebf586c1b55276a3934b45c016ac7b4e64dff270c34","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\WA_COND.headers.txt","570","2bb07fee925bd42509b50576980e5090b2ed737f63f55580d762452794aed227","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\WA_SUBPLOT.headers.txt","575","3471cf3153c3dc81e4910f5c67297fa267e3d08288ad423967110f7dcc2f2a5a","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\http_headers\WA_TREE.headers.txt","569","04ece603a244c60ee0b7095a19a77476d39afc79ca6db516177fa56f1f54a69e","HTTP_HEADERS"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\logs\D08C2_CAORWA_OBS_GAP_CLOSURE_20260904T024008_7fa884dff808.log","6016","f3b28ea72d23ec9ff30b0c27ff252d0a12b3694d4d6a20929848988b6542b2ee","LOG"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\manifests\Q1_D08C2_CAORWA_OBS_DOWNLOAD_STATUS_v01.csv","2533","bdfc8d7a94ed15c6d9fd3623841f2988a836f81264d768d31ef36adb0a981cf8","MANIFEST"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\manifests\Q1_D08C2_CAORWA_OBS_RAW_ASSET_MANIFEST_v01.csv","7519","350d5f70ae34729475fa6889d98d6cf9aec994129d681f76c3fd854ec62b40e1","MANIFEST"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\manifests\REGISTRY_DELTA_v01.csv","6589","13662399c784de3ffedb7c1ec7dfb9d2defb091c1803b2e7589cf46ca8b9db81","REGISTRY_DELTA"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\outputs\Q1_D08C2_CAORWA_OBS_F0_LINKAGE_CHECK_v01.csv","3249","b8909b6009612398976d72c948ca3063cdb626517aa5beb9b8b74897b68b7d6a","COMPACT_EVIDENCE"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\outputs\Q1_D08C2_CAORWA_OBS_RESULT_NOTE_v01.md","1979","2473ca496bcd03c9027776a39b020d68a53d1a9205339266763dcf36417c4182","COMPACT_EVIDENCE"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\outputs\Q1_D08C2_CAORWA_OBS_SCHEMA_CHECK_v01.csv","1958","4085c2627499336c0d95930733b44974e4afa4693476bdadf47adedd7bbd4ab0","COMPACT_EVIDENCE"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\qc\Q1_D08C2_CAORWA_OBS_GAP_CLOSURE_QC_v01.csv","1187","1d8656226e881dc6840497965804f06fd7f8af49904225ca84c48f77446bc7b7","QC"
