"STATE","F0_EVALID","TABLE","F0_PLOT_COUNT","F0_PLOT_ROWS_IN_PPSA","FROZEN_PLOT_AUTHORITY_ROWS","F0_PLOTS_MISSING_FROM_FROZEN_PLOT","F0_PLOTS_INVYR_2023","OBS_ROWS","OBS_ROWS_INVYR_2023","OBS_F0_LINKED_ROWS","OBS_F0_LINKED_UNIQUE_PLOTS","OBS_F0_LINKED_2023_UNIQUE_PLOTS","OBS_2023_ORPHAN_TO_FROZEN_PLOT","LINKAGE_STATUS","NOTES"
"CA","62301","FROZEN_F0_AUTHORITY","16750","16750","47339","0","1687","","","","","","","PASS","F0 identity derives only from frozen component EVALID + frozen official POP_PLOT_STRATUM_ASSGN -> frozen PLOT. Accepted F0/D09C package is not rebuilt."
"CA","62301","TREE","16750","16750","47339","0","1687","482768","36293","189289","5467","554","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated. Missing TREE rows for individual F0 plots are not treated as failure/non-detection is allowed; only positive legal linkage and current temporal coverage are required."
"CA","62301","COND","16750","16750","47339","0","1687","57068","4212","19860","16750","1687","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated."
"CA","62301","SUBPLOT","16750","16750","47339","0","1687","193017","14084","67000","16750","1687","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated."
"OR","412301","FROZEN_F0_AUTHORITY","15819","15819","42895","0","1596","","","","","","","PASS","F0 identity derives only from frozen component EVALID + frozen official POP_PLOT_STRATUM_ASSGN -> frozen PLOT. Accepted F0/D09C package is not rebuilt."
"OR","412301","TREE","15819","15819","42895","0","1596","832221","40713","381399","10630","1094","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated. Missing TREE rows for individual F0 plots are not treated as failure/non-detection is allowed; only positive legal linkage and current temporal coverage are required."
"OR","412301","COND","15819","15819","42895","0","1596","57553","2380","21798","15819","1596","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated."
"OR","412301","SUBPLOT","15819","15819","42895","0","1596","177434","6804","63276","15819","1596","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated."
"WA","532301","FROZEN_F0_AUTHORITY","9507","9507","24116","0","946","","","","","","","PASS","F0 identity derives only from frozen component EVALID + frozen official POP_PLOT_STRATUM_ASSGN -> frozen PLOT. Accepted F0/D09C package is not rebuilt."
"WA","532301","TREE","9507","9507","24116","0","946","557722","26167","257332","5932","582","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated. Missing TREE rows for individual F0 plots are not treated as failure/non-detection is allowed; only positive legal linkage and current temporal coverage are required."
"WA","532301","COND","9507","9507","24116","0","946","31918","1428","13082","9507","946","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated."
"WA","532301","SUBPLOT","9507","9507","24116","0","946","92704","4068","38028","9507","946","0","PASS","Legal PLT_CN overlap with frozen F0 and 2023 temporal coverage demonstrated."
