"CHECK_ID","STATUS","DETAILS"
"AUTHORIZED_DOWNLOAD_PLAN_EXACT_9","PASS","Exactly CA/OR/WA x TREE/COND/SUBPLOT."
"NO_PLOT_REDOWNLOAD","PASS","PLOT appears only as previously frozen local authority; no PLOT URL exists in acquisition plan."
"NO_NATIONAL_SQLITE_OR_OTHER_SOURCE","PASS","No national SQLite, Little, GBIF, or other FIA state tables requested."
"RAW_ASSETS_9_FROZEN","PASS","verified_frozen=9/9"
"FROZEN_PLOT_PPSA_AUTHORITY_HASH_VERIFIED","PASS","CA/OR/WA prior raw-design PLOT and POP_PLOT_STRATUM_ASSGN read only after prior manifest SHA verification."
"OBS_SCHEMA_REQUIRED_KEYS","PASS","schema_pass=9/9; values of species identity fields not read."
"OBS_2023_TEMPORAL_AND_F0_PLT_CN_LINKAGE","PASS","linkage_pass=12/12 (3 frozen F0 authority rows + 9 observational table rows); does not require TREE on every F0 plot."
"SPECIES_BLIND_SCOPE","PASS","No species filtering, eligibility/survivor counts, grids, abundance/support/occupancy/detection, or D08C2 execution."
"SCIENTIFIC_OUTPUT_CHANGED","PASS","NO. Acquisition/authority closure only."
"FINAL_TASK_STATUS","GAP_CLOSED_READY_FOR_MAINLINE_D08C2_CONTRACT_FREEZE","Only authorized terminal status emitted."
