index,estimator_name,target_quantity,original_source,equation_reference,symbol,symbol_plain_Chinese_meaning,unit,FIADB_field_or_source,aggregation_level,evidence_class
0,Post-stratified domain mean,domain mean per unit total-population area,S04; S12,S04 Eq.1; S12 Eq.1,ŷ̄_d = Σ_h W_h ȳ_hd,域 d 的总体单位面积均值等于各后分层域均值按已知层权重 W_h 加权求和。,attribute per acre,W_h from Phase-1/poststratum; plot-level y_hid,population/domain,OFFICIAL
1,Post-stratified domain mean,within-stratum domain mean,S04; S12,S04 Eq.2; S12 Eq.2,ȳ_hd = n_h^-1 Σ_i y_hid,在层 h 中，用该层全部 n_h 个样地的域响应 y_hid 求平均；不在域内的样地响应为 0，而不是从设计样本分母中消失。,attribute per acre,plot-level response assembled from COND/TREE,stratum,OFFICIAL
2,Post-stratified domain mean,stratum weight,S04,Chapter 2 Post-Stratified Estimation,W_h,总体（estimation unit）中属于后分层 h 的 Phase-1 像元比例，作为已知权重。,proportion,POP_STRATUM phase-1 information,stratum,OFFICIAL
3,Post-stratified domain variance,variance of domain mean,S04; S12,S04 Eq.3–4; S12 Eq.3–4,v̂(ŷ̄_d),官方后分层域均值方差；包含常规分层抽样项和后分层随机层样本量附加项。,attribute^2 per acre^2,"n, n_h, W_h, plot-level y_hid",population/domain,OFFICIAL
4,Post-stratified domain variance,within-stratum variance term,S12,Eq.4,v̂(ȳ_hd)=n_h^-1[Σ_i(y_hid-ȳ_hd)^2/(n_h-1)],层 h 中域响应的样本方差贡献；域外样地以 0 响应参与。,attribute^2 per acre^2,plot-level y_hid; n_h,stratum,OFFICIAL
5,Population total,domain population total,S04; S12,S04 Eq.5; S12 Eq.5,Ŷ_d = A_T ŷ̄_d,把域单位总面积均值乘以已知 parent population 面积 A_T，得到域总量。,attribute total,POP_ESTN_UNIT area / known population area,population/domain,OFFICIAL
6,Population total variance,variance of domain total,S04; S12,S04 Eq.6; S12 Eq.6,v̂(Ŷ_d)=A_T^2 v̂(ŷ̄_d),总量方差按已知总体面积平方放大。,attribute^2,A_T; variance inputs,population/domain,OFFICIAL
7,Sampling error,standard error,S04,Eq.7,SE(Ŷ_d)=sqrt[v̂(Ŷ_d)],标准误是总量方差平方根。,attribute total,variance result,population/domain,OFFICIAL
8,Multi-estimation-unit total,domain total across G estimation units,S04,Eq.20,Ŷ_d = Σ_g Ŷ_gd,跨多个 estimation unit 时，先在各 unit 内估计域总量，再相加。,attribute total,POP_ESTN_UNIT + stratum estimators,multi-EU / State / multi-State,OFFICIAL
9,Multi-estimation-unit variance,variance across independent estimation units,S04,Eq.21,v̂(Ŷ_d)=Σ_g v̂(Ŷ_gd),FIA 把 estimation units 视为独立，总量方差相加；跨 State 亦据此逐 State/单位组合。,attribute^2,per-EU variance,multi-EU,OFFICIAL
10,FIADB live-tree total implementation,number of live trees,S03,"Example 3-3, pp. 3-6–3-7",Σ_tree [TPA_UNADJ × ADJ_FACTOR_j × EXPNS],每棵符合条件的样木先以 TPA_UNADJ 转为每英亩代表树数，再按其实际采样元件乘非响应调整因子，最后乘 EXPNS 变成总体树数贡献，并对树求和。,trees,TREE.TPA_UNADJ; POP_STRATUM.ADJ_FACTOR_{MICR/SUBP/MACR}; POP_STRATUM.EXPNS,tree -> plot/stratum -> population,OFFICIAL
