state_abbr,state_name,state_fips,target_reporting_year,official_eval_group,resource_tree_evalid,resource_evalid_resolution_basis,evaluation_type,evaluation_group_member_years,member_year_count,growth_accounting_flag,candidate_status,fia_rscd,panel_schedule_class,p2panel_values,panel_year_mapping_status,source,notes
AL,Alabama,01,2023,012023,012301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2015;2016;2017;2018;2019;2020;2021;2022;2023,9,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
AZ,Arizona,04,2023,042023,042301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,10,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,22,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
AR,Arkansas,05,2023,052023,052301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2019;2020;2021;2022;2023,5,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
CA,California,06,2023,062023,062301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,11,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,26,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
CO,Colorado,08,2023,082023,082301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,10,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,22,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
CT,Connecticut,09,2023,092023,092301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
DE,Delaware,10,2023,102023,102301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
FL,Florida,12,2023,122023,122301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2016;2017;2018;2019;2020;2021;2022;2023,8,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
GA,Georgia,13,2023,132023,132301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2016;2017;2018;2019;2020;2021;2022;2023,8,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
ID,Idaho,16,2023,162023,162301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,10,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,22,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
