source_id,authority,title,year,version,document_type,URL_or_DOI,section_or_locator,fact_supported,retrieved_date
S01,USDA Forest Service FIA,FIADB-API & EVALIDator User Documentation,2026,API v2.1.7; rev. 2026-07-30,official web/API documentation,https://apps.fs.usda.gov/fiadb-api,fullreport; wc parameter,Defines wc as evaluation-group code; current API entry point.,2026-09-02
S02,USDA Forest Service FIA,EVALIDator wc Table,2026,current live metadata retrieved 2026-09-02,official live metadata,https://apps.fs.usda.gov/fiadb-api/fullreport/parameters/wc,all CONUS State rows,"2023 evaluation-group existence, member years, growth-account flag, most-recent flag; proves MT/NM/UT lack 2023 whole-State groups.",2026-09-02
S03,USDA Forest Service FIA,FIADB Database Description/User Guide (NFI),2025,v9.4 August 2025,official database guide,https://research.fs.usda.gov/sites/default/files/2025-08/wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,PLOT.P2PANEL; PLOT.SUBPANEL,Current P2PANEL and SUBPANEL definitions and affected work units.,2026-09-02
S04,USDA Forest Service FIA,Combining panels for Forest Inventory and Analysis estimation,2005,SRS-GTR-80 Chapter 5,official methods chapter,https://research.fs.usda.gov/treesearch/20380,"5.1; 5.2.1; 5.2.2, pp.69-74",Complete panel spatial coverage; single-panel estimation; MA and TI methods; no single prescribed core combination procedure.,2026-09-02
S05,USDA Forest Service FIA,Sampling and Estimation Documentation for the Enhanced FIA Program,2022,NRS-GTR-207,official General Technical Report,https://doi.org/10.2737/NRS-GTR-207,Post-Stratified Estimation pp.7-9; Temporally Specific Estimation pp.85-87; Appendix 1 expansion factors,Post-stratification objects/repetition; TI temporal interpretation; single-panel year-specific precision; expansion factor A_h/n_h.,2026-09-02
S06,USDA Forest Service FIA,The enhanced FIA program—national sampling design and estimation procedures,2005,SRS-GTR-80,official General Technical Report,https://doi.org/10.2737/SRS-GTR-80,sampling frame; panels; plot design; Ch.4 estimators,One plot assigned to a panel; five interpenetrating panels; design-based estimator foundation.,2026-09-02
S07,USDA Forest Service FIA,FIA Glossary: Standard Terminology,2022,rev. 2022-10-27,official glossary,https://research.fs.usda.gov/sites/default/files/2023-08/wo-fia_glossary_standardterms20221102.pdf,EVALID; Evaluation,Defines EVALID composition and evaluation as statistical sample + target population + stratification.,2026-09-02
S08,USDA Forest Service FIA,FIADB Population Estimation User Guide,2018,November 2018,official user guide,https://research.fs.usda.gov/sites/default/files/2024-05/wo-nov2018_ug_population_estimation.pdf,POP_EVAL_TYP; EXPNS; Appendix A,EXPVOL is the required evaluation type for current live-tree number/resource attributes; FIADB population join/weight semantics.,2026-09-02
S09,USDA Forest Service FIA,The hexagon/panel system for selecting FIA plots under an annual inventory,2000,NC-GTR-213,FIA methods proceedings,https://research.fs.usda.gov/treesearch/14368,panel allocation design,Spatially balanced interpenetrating panel assignment.,2026-09-02
S10,FIA-related statistical literature,Issues related to panel creep,2002,NC-GTR-230,FIA Symposium methods paper,https://research.fs.usda.gov/treesearch/14424,panel creep,Shows scheduled panel and measurement year can diverge when a panel is not completed in one field season.,2026-09-02
S11,USDA Forest Service FIA,Current EVALIDator generated report examples,2026,current web application,official implementation evidence,https://apps.fs.usda.gov/fiadb-api/evalidator,generated SQL / EVALID grouping,Generated reports confirm the standard current/resource EVALID suffix convention in ordinary cases; this convention must not replace actual POP_EVAL_TYP group membership in exceptional groups.,2026-09-02
S12,USDA Forest Service FIA,FIADB Update History,2026,current live update history retrieved 2026-09-02,official live metadata/change log,https://apps.fs.usda.gov/fiadb-api/fiadb_update_history,Texas East/West 2023 data additions and West sampled-area correction,Texas 482023 data were loaded/revised as separate East and West components; public whole-State wc group therefore requires actual component EVALID membership audit rather than a guessed single EVALID.,2026-09-02
