candidate_id,frame_id,state_fips,state_abbr,state_name,fold,estimator_family,selected_panels,parent_design_block_count,represented_design_block_count,missing_design_block_count,parent_area_acres,constant_response_recovered_area_acres,full_area_recovery_ratio,missing_parent_area_acres,max_represented_stratum_calibration_relative_error,constant_identity_status,full_design_coverage_status,variance_estimable_block_count_n_ge2,full_evaluation_expns_reused_as_final_fold_weight,final_estimator_selected
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,TI_POOLED_SELECTED_PANELS,4-5,25,25,0,33548846.19,33548846.19,1.0,0.0,0.0,PASS,PASS,25,0,0
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,4-5,50,50,0,33548846.19,33548846.19,1.0,0.0,1.4809821746192775e-16,PASS,PASS,50,0,0
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,B,TI_POOLED_SELECTED_PANELS,1-2-3,25,25,0,33548846.19,33548846.19,1.0,0.0,1.5585628347401722e-16,PASS,PASS,25,0,0
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-3,75,75,0,33548846.19,33548846.189999998,0.9999999999999999,3.725290298461914e-09,1.3577839961175143e-16,PASS,PASS,75,0,0
T1_AZ_A2-4_B1-3-5,T1,04,AZ,Arizona,A,TI_POOLED_SELECTED_PANELS,2-4,75,75,0,72958623.0,72958623.0,1.0,0.0,1.9347342897844748e-16,PASS,PASS,75,0,0
T1_AZ_A2-4_B1-3-5,T1,04,AZ,Arizona,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-4,150,149,1,72958623.0,72905240.5,0.9992683181534279,53382.5,1.9173238659463842e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,144,0,0
T1_AZ_A2-4_B1-3-5,T1,04,AZ,Arizona,B,TI_POOLED_SELECTED_PANELS,1-3-5,75,75,0,72958623.0,72958623.0,1.0,0.0,1.3296155117146085e-16,PASS,PASS,75,0,0
T1_AZ_A2-4_B1-3-5,T1,04,AZ,Arizona,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-3-5,225,224,1,72958623.0,72923034.66666666,0.9995122121022851,35588.33333334327,1.9347342897844748e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,219,0,0
T1_AR_A1-2_B3-4-5,T1,05,AR,Arkansas,A,TI_POOLED_SELECTED_PANELS,1-2,28,28,0,34034243.04,34034243.04,1.0,0.0,1.4275331305414895e-16,PASS,PASS,28,0,0
T1_AR_A1-2_B3-4-5,T1,05,AR,Arkansas,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2,56,56,0,34034243.04,34034243.04,1.0,0.0,1.4275331305414895e-16,PASS,PASS,56,0,0
T1_AR_A1-2_B3-4-5,T1,05,AR,Arkansas,B,TI_POOLED_SELECTED_PANELS,3-4-5,28,28,0,34034243.04,34034243.04,1.0,0.0,1.8707476712592184e-16,PASS,PASS,28,0,0
T1_AR_A1-2_B3-4-5,T1,05,AR,Arkansas,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-4-5,84,84,0,34034243.04,34034243.04,1.0,0.0,1.4275331305414895e-16,PASS,PASS,84,0,0
T1_CO_A2-4_B1-3-5,T1,08,CO,Colorado,A,TI_POOLED_SELECTED_PANELS,2-4,222,222,0,66619618.0,66619618.0,1.0,0.0,1.7477247275431372e-16,PASS,PASS,221,0,0
T1_CO_A2-4_B1-3-5,T1,08,CO,Colorado,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,2-4,444,438,6,66619618.0,66355871.9690965,0.9960410155623602,263746.0309035033,1.918142253723198e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,415,0,0
T1_CO_A2-4_B1-3-5,T1,08,CO,Colorado,B,TI_POOLED_SELECTED_PANELS,1-3-5,222,222,0,66619618.0,66619618.0,1.0,0.0,1.6722206843558031e-16,PASS,PASS,222,0,0
T1_CO_A2-4_B1-3-5,T1,08,CO,Colorado,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-3-5,666,655,11,66619618.0,66288853.322504595,0.9950350259064018,330764.6774954051,1.601346933601708e-16,PASS,CONDITIONAL_MISSING_PANEL_STRATA,625,0,0
T1_CT_A4-5_B1-2-3,T1,09,CT,Connecticut,A,TI_POOLED_SELECTED_PANELS,4-5,8,8,0,3203694.5,3203694.5,1.0,0.0,2.0119214585958582e-16,PASS,PASS,8,0,0
T1_CT_A4-5_B1-2-3,T1,09,CT,Connecticut,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,4-5,16,16,0,3203694.5,3203694.5,1.0,0.0,2.0119214585958582e-16,PASS,PASS,14,0,0
T1_CT_A4-5_B1-2-3,T1,09,CT,Connecticut,B,TI_POOLED_SELECTED_PANELS,1-2-3,8,8,0,3203694.5,3203694.5,1.0,0.0,0.0,PASS,PASS,8,0,0
T1_CT_A4-5_B1-2-3,T1,09,CT,Connecticut,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-3,24,24,0,3203694.5,3203694.4999999995,0.9999999999999999,4.656612873077393e-10,1.2333516845566375e-16,PASS,PASS,23,0,0
T1_DE_A3-5_B1-2-4,T1,10,DE,Delaware,A,TI_POOLED_SELECTED_PANELS,3-5,7,7,0,1296281.3,1296281.3,1.0,0.0,0.0,PASS,PASS,7,0,0
T1_DE_A3-5_B1-2-4,T1,10,DE,Delaware,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-5,14,14,0,1296281.3,1296281.3,1.0,0.0,0.0,PASS,PASS,13,0,0
T1_DE_A3-5_B1-2-4,T1,10,DE,Delaware,B,TI_POOLED_SELECTED_PANELS,1-2-4,7,7,0,1296281.3,1296281.3,1.0,0.0,0.0,PASS,PASS,7,0,0
T1_DE_A3-5_B1-2-4,T1,10,DE,Delaware,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-4,21,21,0,1296281.3,1296281.3,1.0,0.0,0.0,PASS,PASS,20,0,0
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,A,TI_POOLED_SELECTED_PANELS,3-4,24,24,0,42084580.29,42084580.29,1.0,0.0,1.3640360293005026e-16,PASS,PASS,24,0,0
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-4,48,48,0,42084580.29,42084580.29,1.0,0.0,1.6890784596701813e-16,PASS,PASS,48,0,0
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,B,TI_POOLED_SELECTED_PANELS,1-2-5,24,24,0,42084580.29,42084580.29,1.0,0.0,1.6119751097437059e-16,PASS,PASS,24,0,0
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,B,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,1-2-5,72,72,0,42084580.29,42084580.29,1.0,0.0,1.6061670185682367e-16,PASS,PASS,72,0,0
T1_GA_A3-5_B1-2-4,T1,13,GA,Georgia,A,TI_POOLED_SELECTED_PANELS,3-5,23,23,0,38032097.81,38032097.81,1.0,0.0,1.5851538209500678e-16,PASS,PASS,23,0,0
T1_GA_A3-5_B1-2-4,T1,13,GA,Georgia,A,MA_EQUAL_WEIGHT_COMPLETE_PANELS_AUDIT,3-5,46,46,0,38032097.81,38032097.81,1.0,0.0,1.5856719294974407e-16,PASS,PASS,45,0,0
T1_GA_A3-5_B1-2-4,T1,13,GA,Georgia,B,TI_POOLED_SELECTED_PANELS,1-2-4,23,23,0,38032097.81,38032097.81,1.0,0.0,1.6122144430752599e-16,PASS,PASS,23,0,0
