frame_id,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,eval_grp_cn,eval_typ,eval_typ_cn,component_evalid,eval_cn,eval_descr,location_nm,report_year_nm,start_invyr,end_invyr,estn_method,n_estimation_units,estimation_unit_ids,estimation_unit_descriptions,texas_east_west_preservation_note,membership_source,evalid_membership_guessed,status
T1,01,AL,Alabama,2022,012022,1263005816290487,EXPVOL,1263004985290487,12201,1263004974290487,"ALABAMA 2022: 2015-2022: CURRENT AREA, CURRENT VOLUME",Alabama,2015;2016;2017;2018;2019;2020;2021;2022,2015,2022,Post-Stratification,7,1;4;6;2;3;5;801,Southwest-South - excluding national forest;West Central - excluding national forest;North - excluding national forest;Southwest-North;Southeast - excluding national forest;North Central - excluding national forest;NFS in Alabama,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,04,AZ,Arizona,2022,042022,1882829816290487,EXPVOL,1882828960290487,42201,1882828730290487,"ARIZONA 2022: 2013-2022: CURRENT AREA, CURRENT VOLUME",Arizona,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,Post-Stratification,15,3;13;17;27;5;19;11;25;15;21;23;9;12;1;7,County 003;County 013;County 017;County 027;County 005;County 019;County 011;County 025;County 015;County 021;County 023;County 009;County 012;County 001;County 007,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,05,AR,Arkansas,2022,052022,1532165084290487,EXPVOL,1532570850290487,52201,1532570839290487,"ARKANSAS 2022: 2018-2022: CURRENT AREA, CURRENT VOLUME",Arkansas,2018;2019;2020;2021;2022,2018,2022,Post-Stratification,7,1;809;4;2;3;5;810,South Delta - excluding national forest;Ouchita NF in Arkansas;Ouachita - excluding national forest;North Delta;Southwest - excluding national forest;Ozark - excluding national forest;NFS in Arkansas,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,06,CA,California,2022,062022,,EXPVOL,,,,,,,,,,0,,,,ACTUAL_DATABASE_LOOKUP__NO_MATCH,0,FAIL_MISSING_EXPVOL_GROUP_MEMBERSHIP
T1,08,CO,Colorado,2022,082022,1882832320290487,EXPVOL,1891787832290487,82201,1891787818290487,"COLORADO 2022: 2013-2022: CURRENT AREA, CURRENT VOLUME",Colorado,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,Post-Stratification,63,99;115;121;15;21;23;65;73;9;35;53;111;1;7;33;51;101;103;109;85;89;95;105;107;123;29;43;49;63;71;75;83;113;5;19;67;69;91;125;11;25;31;37;45;47;59;81;97;117;39;41;61;77;87;93;3;13;17;27;55;57;79;119,County 099;County 115;County 121;County 015;County 021;County 023;County 065;County 073;County 009;County 035;County 053;County 111;County 001;County 007;County 033;County 051;County 101;County 103;County 109;County 085;County 089;County 095;County 105;County 107;County 123;County 029;County 043;County 049;County 063;County 071;County 075;County 083;County 113;County 005;County 019;County 067;County 069;County 091;County 125;County 011;County 025;County 031;County 037;County 045;County 047;County 059;County 081;County 097;County 117;County 039;County 041;County 061;County 077;County 087;County 093;County 003;County 013;County 017;County 027;County 055;County 057;County 079;County 119,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,09,CT,Connecticut,2022,092022,1654381509290487,EXPVOL,1654336770290487,92201,1654269845290487,"CONNECTICUT 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Connecticut,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,3,1;2;3,Inland Census Water Unit 1;Private Unit 1;Public Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,10,DE,Delaware,2022,102022,1683728467290487,EXPVOL,1683727711290487,102201,1683727692290487,"DELAWARE 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Delaware,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,3,1;2;3,Inland Census Water Unit 1;Private Unit 1;Public Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,12,FL,Florida,2022,122022,1690496094290487,EXPVOL,1690494462290487,122201,1690494449290487,"FLORIDA 2022: 2014-2022: CURRENT AREA, CURRENT VOLUME",Florida,2014;2015;2016;2017;2018;2019;2020;2021;2022,2014,2022,Post-Stratification,5,1;805;4;2;3,Northeast - excluding national forest;NFS in Florida;South;Northwest - excluding national forest;Central - excluding national forest,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,13,GA,Georgia,2022,132022,1541817710290487,EXPVOL,1541816763290487,132201,1541816336290487,"GEORGIA 2022: 2015-2022: CURRENT AREA, CURRENT VOLUME",Georgia,2015;2016;2017;2018;2019;2020;2021;2022,2015,2022,Post-Stratification,6,1;4;803;2;3;5,Southeast;North Central - excluding national forest;NFS in Georgia;Southwest;Central - excluding national forest;North - excluding national forest,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,16,ID,Idaho,2022,162022,1882839535290487,EXPVOL,1882838504290487,162201,1882838492290487,"IDAHO 2022: 2013-2022: CURRENT AREA, CURRENT VOLUME",Idaho,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,Post-Stratification,44,65;73;9;35;53;1;7;33;51;3;13;17;27;55;57;79;85;29;43;49;63;71;75;83;5;19;67;69;11;25;31;37;45;47;59;81;39;41;61;77;87;15;21;23,County 065;County 073;County 009;County 035;County 053;County 001;County 007;County 033;County 051;County 003;County 013;County 017;County 027;County 055;County 057;County 079;County 085;County 029;County 043;County 049;County 063;County 071;County 075;County 083;County 005;County 019;County 067;County 069;County 011;County 025;County 031;County 037;County 045;County 047;County 059;County 081;County 039;County 041;County 061;County 077;County 087;County 015;County 021;County 023,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,17,IL,Illinois,2022,172022,1559704428290487,EXPVOL,1559702944290487,172201,1559702920290487,"ILLINOIS 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Illinois,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,11,6;9;4;11;1;7;2;3;8;5;10,Private Unit 2;Public Unit 2;Midewin Tallgrass Prairie NGL;Shawnee NF;Inland Census Water Unit 1;Private Unit 3;Inland Census Water Unit 2;Inland Census Water Unit 3;Public Unit 1;Private Unit 1;Public Unit 3,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,18,IN,Indiana,2022,182022,1661302338290487,EXPVOL,1661249533290487,182201,1661216794290487,"INDIANA 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Indiana,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,13,6;9;12;4;11;1;13;7;2;3;8;5;10,Private Unit 1;Private Unit 4;Public Unit 3;Inland Census Water Unit 3;Public Unit 2;Hoosier NF;Public Unit 4;Private Unit 2;Inland Census Water Unit 1;Inland Census Water Unit 2;Private Unit 3;Inland Census Water Unit 4;Public Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,19,IA,Iowa,2022,192022,1558765315290487,EXPVOL,1558762978290487,192201,1558762962290487,"IOWA 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Iowa,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,12,6;9;12;4;11;1;7;2;8;5;10;3,Private Unit 2;Public Unit 1;Public Unit 4;Inland Census Water Unit 4;Public Unit 3;Inland Census Water Unit 1;Private Unit 3;Inland Census Water Unit 2;Private Unit 4;Private Unit 1;Public Unit 2;Inland Census Water Unit 3,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
