candidate_id,frame_id,state_fips,state_abbr,state_name,fold,panel,panel_combination_weight,component_evalid,estn_unit_cn,estn_unit,stratum_cn,stratumcd,parent_stratum_area_acres,parent_p1pointcnt,parent_p2pointcnt,full_evaluation_expns_comparator,panel_plot_count_n_hp,ma_panel_expns_acres_per_plot,full_evaluation_expns_reused_as_final_panel_weight,weighted_synthetic_constant_recovered_area_acres,calibration_relative_error_represented_stratum_panel,calibration_status,variance_df_n_minus_1,within_stratum_panel_variance_estimable_flag,adj_factor_macr,adj_factor_subp,adj_factor_micr,adjustment_treatment,variance_inputs_treatment,estimator_role
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005017290487,1,1262928060290487,10,860238.5887326968,3868069,145,5932.679922294461,33,26067.836022202933,0,430119.2943663484,0.0,PASS,32,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005017290487,1,1262928061290487,47,786068.352624583,3534562,136,5779.914357533699,23,34176.884896721,0,393034.1763122915,1.4809821746192775e-16,PASS,22,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005017290487,1,1262928062290487,84,767710.3257165528,3452015,131,5860.384165775212,36,21325.2868254598,0,383855.1628582764,0.0,PASS,35,1,0.0,1.0019120458891013,1.0019120458891013,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005017290487,1,1262928063290487,100,1826366.0329261674,8212268,300,6087.886776420558,49,37272.77618216668,0,913183.0164630837,0.0,PASS,48,1,0.0,1.0003568673088437,1.0008340283569641,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005020290487,2,1262928064290487,10,249989.36939355836,1124079,47,5318.922753054433,8,31248.671174194795,0,124994.68469677918,0.0,PASS,7,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005020290487,2,1262928065290487,47,653112.4866066332,2936725,110,5937.386241878484,24,27213.020275276383,0,326556.2433033166,0.0,PASS,23,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005020290487,2,1262928066290487,84,727093.6869087054,3269382,105,6924.701780082908,20,36354.68434543527,0,363546.8434543527,0.0,PASS,19,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005020290487,2,1262928067290487,100,2762754.387091103,12422745,465,5941.407284066889,92,30029.938990120685,0,1381377.1935455515,0.0,PASS,91,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005021290487,3,1262928068290487,10,1258939.6274719276,5660831,218,5774.952419595998,48,26227.908905665157,0,629469.8137359638,0.0,PASS,47,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005021290487,3,1262928069290487,47,1711356.124365825,7695125,283,6047.194785744965,36,47537.67012127292,0,855678.0621829125,0.0,PASS,35,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005021290487,3,1262928070290487,84,1643945.8007891905,7392014,281,5850.340928075411,57,28841.15439981036,0,821972.9003945952,0.0,PASS,56,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005021290487,3,1262928071290487,100,4494987.8773730565,20211745,740,6074.307942396023,165,27242.350771957917,0,2247493.9386865282,0.0,PASS,164,1,0.0,1.0003379520108144,1.0003379520108144,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4,0.5,12201,1263005018290487,4,1262928072290487,10,373470.0944743829,1679311,69,5412.610064846129,12,31122.50787286524,0,186735.04723719144,0.0,PASS,11,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PANEL_VARIANCE_THEN_EQUAL_WEIGHT_SQUARED_COMBINATION_AUDIT_ONLY,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
