frame_id,frame_definition,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,actual_group_row_count,actual_expvol_component_count,actual_component_evalids,actual_evaluation_member_year_strings,actual_start_invyr_min,actual_end_invyr_max,n_estimation_units,n_parent_strata,n_unique_plot_visits,n_unique_primary_lineages,observed_p2panel_values,invalid_or_null_p2panel_visit_count,multi_panel_lineage_exception_count,noncomplete_lineage_resolution_visit_count,missing_public_coordinate_visit_count,top_diagnostic_candidate_id,top_missing_parent_area_any_acres,top_temporal_center_abs_diff_years,status,hard_failure_codes,conditional_design_codes,texas_component_closure,evalid_membership_guessed,measyear_used_to_define_frame
T1,uniform 2022 whole-State,01,AL,Alabama,2022,012022,1,1,12201,2015;2016;2017;2018;2019;2020;2021;2022,2015,2022,7,25,5607,5607,1-2-3-4-5,0,0,1,0,T1_AL_A4-5_B1-2-3,0.0,0.6191396361225543,PASS,,,,0,0
T1,uniform 2022 whole-State,04,AZ,Arizona,2022,042022,1,1,42201,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,15,75,11895,11895,1-2-3-4-5,0,0,0,0,T1_AZ_A2-4_B1-3-5,0.0,1.6953563259403381,PASS,,,,0,0
T1,uniform 2022 whole-State,05,AR,Arkansas,2022,052022,1,1,52201,2018;2019;2020;2021;2022,2018,2022,7,28,5671,5671,1-2-3-4-5,0,0,0,0,T1_AR_A1-2_B3-4-5,0.0,0.830056640652856,PASS,,,,0,0
T1,uniform 2022 whole-State,06,CA,California,2022,062022,0,0,,,,,0,0,0,0,,0,0,0,0,,,,FAIL,MISSING_GROUP,,,0,0
T1,uniform 2022 whole-State,08,CO,Colorado,2022,082022,1,1,82201,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,63,222,10812,10812,1-2-3-4-5,0,0,0,0,T1_CO_A2-4_B1-3-5,0.0,1.6820061718956367,PASS,,,,0,0
T1,uniform 2022 whole-State,09,CT,Connecticut,2022,092022,1,1,92201,2016;2017;2018;2019;2020;2021;2022,2016,2022,3,8,480,480,1-2-3-4-5,0,0,0,0,T1_CT_A4-5_B1-2-3,0.0,0.16168713839874727,PASS,,,,0,0
T1,uniform 2022 whole-State,10,DE,Delaware,2022,102022,1,1,102201,2016;2017;2018;2019;2020;2021;2022,2016,2022,3,7,388,388,1-2-3-4-5,0,0,0,0,T1_DE_A3-5_B1-2-4,0.0,1.1534576534577354,PASS,,,,0,0
T1,uniform 2022 whole-State,12,FL,Florida,2022,122022,1,1,122201,2014;2015;2016;2017;2018;2019;2020;2021;2022,2014,2022,5,24,7034,7034,1-2-3-4-5,0,0,0,0,T1_FL_A3-4_B1-2-5,0.0,0.919172235841188,PASS,,,,0,0
T1,uniform 2022 whole-State,13,GA,Georgia,2022,132022,1,1,132201,2015;2016;2017;2018;2019;2020;2021;2022,2015,2022,6,23,6589,6589,1-2-3-4-5,0,0,0,0,T1_GA_A3-5_B1-2-4,0.0,0.8002796418643356,PASS,,,,0,0
T1,uniform 2022 whole-State,16,ID,Idaho,2022,162022,1,1,162201,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,44,148,8748,8748,1-2-3-4-5,0,0,0,0,T1_ID_A1-4_B2-3-5,0.0,0.7819404999688686,PASS,,,,0,0
