candidate_id,frame_id,state_fips,state_abbr,state_name,fold,selected_panels,component_evalid,estn_unit_cn,estn_unit,stratum_cn,stratumcd,parent_stratum_area_acres,parent_p1pointcnt,parent_p2pointcnt,full_evaluation_expns_comparator,fold_selected_plot_count_n_h,ti_fold_expns_acres_per_plot,fold_to_full_expns_ratio,full_evaluation_expns_reused_as_final_fold_weight,synthetic_constant_recovered_area_acres,calibration_relative_error_represented_stratum,calibration_status,variance_df_n_minus_1,within_stratum_variance_estimable_flag,adj_factor_macr,adj_factor_subp,adj_factor_micr,adjustment_treatment,variance_inputs_treatment,estimator_role
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005017290487,1,1262928060290487,10,860238.5887326968,3868069,145,5932.679922294461,61,14102.271946437653,2.377049180327869,0,860238.5887326968,0.0,PASS,60,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005017290487,1,1262928061290487,47,786068.352624583,3534562,136,5779.914357533699,49,16042.211278052715,2.775510204081632,0,786068.352624583,0.0,PASS,48,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005017290487,1,1262928062290487,84,767710.3257165528,3452015,131,5860.384165775212,58,13236.384926147462,2.2586206896551726,0,767710.3257165528,0.0,PASS,57,1,0.0,1.0019120458891013,1.0019120458891013,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005017290487,1,1262928063290487,100,1826366.0329261674,8212268,300,6087.886776420558,113,16162.53126483334,2.6548672566371683,0,1826366.0329261674,0.0,PASS,112,1,0.0,1.0003568673088437,1.0008340283569641,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005020290487,2,1262928064290487,10,249989.36939355836,1124079,47,5318.922753054433,20,12499.468469677919,2.35,0,249989.36939355836,0.0,PASS,19,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005020290487,2,1262928065290487,47,653112.4866066332,2936725,110,5937.386241878484,52,12559.855511666023,2.1153846153846154,0,653112.4866066332,0.0,PASS,51,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005020290487,2,1262928066290487,84,727093.6869087054,3269382,105,6924.701780082908,36,20197.04685857515,2.916666666666667,0,727093.6869087054,0.0,PASS,35,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005020290487,2,1262928067290487,100,2762754.387091103,12422745,465,5941.407284066889,185,14933.807497789747,2.5135135135135136,0,2762754.387091103,0.0,PASS,184,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005021290487,3,1262928068290487,10,1258939.6274719276,5660831,218,5774.952419595998,94,13392.974760339655,2.3191489361702127,0,1258939.6274719276,0.0,PASS,93,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,A,4-5,12201,1263005021290487,3,1262928069290487,47,1711356.124365825,7695125,283,6047.194785744965,101,16944.12004322599,2.801980198019802,0,1711356.124365825,0.0,PASS,100,1,0.0,1.0,1.0,RETAIN_EVALUATION_STRATUM_FIELDS_FOR_FUTURE_RESPONSE_ONLY,PARENT_AREA_W_H_AND_FOLD_N_NH_PLUS_FIA_POSTSTRAT_RANDOM_N_TERM_REQUIRED,AUDIT_ONLY_NOT_FINAL_Q1_ESTIMATOR
