candidate_id,frame_id,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,component_evalids,fold_A_panels,fold_B_panels,fold_A_panel_count,fold_B_panel_count,p2panel_split_count,parent_design_block_count,parent_design_area_acres,missing_parent_blocks_fold_A,missing_parent_blocks_fold_B,missing_parent_blocks_either_fold,missing_parent_area_fold_A_acres,missing_parent_area_fold_B_acres,missing_parent_area_any_acres,design_block_representation_imbalance,fold_A_plot_count,fold_B_plot_count,plot_rate_imbalance,fold_A_50km_cell_count,fold_B_50km_cell_count,overlap_50km_cell_count,union_50km_cell_count,cell_jaccard,cell_rate_imbalance,plot_cell_imbalance,fold_A_measyear_n,fold_B_measyear_n,fold_A_measyear_mean,fold_B_measyear_mean,fold_A_measyear_median,fold_B_measyear_median,fold_A_measyear_min,fold_A_measyear_max,fold_B_measyear_min,fold_B_measyear_max,fold_A_measyear_sd,fold_B_measyear_sd,temporal_center_abs_diff_years,fold_A_missing_public_coordinate_count,fold_B_missing_public_coordinate_count,crossfold_lineage_overlap_count,crossfold_lineage_roots,candidate_audit_status,eligible_for_ranking,rank_within_state_frame,top_diagnostic_candidate,selected_as_final_partition,not_a_final_partition_note
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,2022,012022,12201,4-5,1-2-3,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.07271659733711813,2246,3361,0.002377979906069861,70,71,70,71,0.9859154929577465,0.4018912529550827,0.40426923286115257,2246,3361,2018.8214603739982,2018.2023207378757,2020.0,2018.0,2014,2022,2015,2021,2.798297733424354,1.263548232709109,0.6191396361225543,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_AZ_A2-4_B1-3-5,T1,04,AZ,Arizona,2022,042022,42201,2-4,1-3-5,2,3,0,75,72958623.0,0,0,0,0.0,0.0,0.0,0.08631257820659852,4781,7114,0.008056606417262092,140,141,139,142,0.9788732394366197,0.40925266903914587,0.41730927545640795,4781,7114,2018.5866973436518,2016.8913410177115,2017.0,2017.0,2015,2024,2013,2024,2.7923728287722125,2.816497726148879,1.6953563259403381,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_AR_A1-2_B3-4-5,T1,05,AR,Arkansas,2022,052022,52201,1-2,3-4-5,2,3,0,28,34034243.04,0,0,0,0.0,0.0,0.0,0.07314300344846761,2261,3410,0.005437018750367432,72,73,71,74,0.9594594594594594,0.4022988505747127,0.40773586932508016,2261,3410,2019.5409111012825,2020.3709677419354,2020.0,2021.0,2019,2020,2018,2022,0.4984337074050991,1.6610498122769355,0.830056640652856,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
,T1,06,CA,California,2022,062022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_RANKABLE_CANDIDATE,,,0,0,Frame or lineage/design closure failed; mainline must decide
T1_CO_A2-4_B1-3-5,T1,08,CO,Colorado,2022,082022,82201,2-4,1-3-5,2,3,0,222,66619618.000000015,0,0,0,0.0,0.0,0.0,0.1489539660265376,4339,6473,0.005472314712048411,127,128,127,128,0.9921875,0.40849673202614384,0.41396904673819224,4339,6473,2018.5457478681724,2016.8637416962767,2017.0,2018.0,2015,2024,2013,2024,2.718194635520356,2.7934625965169264,1.6820061718956367,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_CT_A4-5_B1-2-3,T1,09,CT,Connecticut,2022,092022,92201,4-5,1-2-3,2,3,0,8,3203694.5,0,0,0,0.0,0.0,0.0,0.12780054470381472,187,293,0.043402777777777825,12,12,12,12,1.0,0.4166666666666667,0.46006944444444453,187,293,2019.2299465240642,2019.0682593856654,2019.0,2018.0,2018,2021,2016,2022,0.9478677243853181,2.4694259303812593,0.16168713839874727,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_DE_A3-5_B1-2-4,T1,10,DE,Delaware,2022,102022,102201,3-5,1-2-4,2,3,0,7,1296281.3,0,0,0,0.0,0.0,0.0,0.11816714572692552,154,234,0.012886597938144331,6,6,6,6,1.0,0.4166666666666667,0.429553264604811,154,234,2018.3636363636363,2019.517094017094,2019.0,2019.0,2016,2021,2016,2023,1.4986625053069267,2.269816524633771,1.1534576534577354,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_FL_A3-4_B1-2-5,T1,12,FL,Florida,2022,122022,122201,3-4,1-2-5,2,3,0,24,42084580.29,0,0,0,0.0,0.0,0.0,0.04894382689505907,2793,4241,0.012202634821344002,102,103,101,104,0.9711538461538461,0.40650406504065034,0.4187066998619943,2793,4241,2020.5574650912997,2019.6382928554585,2020.0,2019.0,2014,2024,2015,2024,1.356168499438948,2.2216314993563704,0.919172235841188,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_GA_A3-5_B1-2-4,T1,13,GA,Georgia,2022,132022,132201,3-5,1-2-4,2,3,0,23,38032097.809999995,0,0,0,0.0,0.0,0.0,0.06238219007597883,2617,3972,0.011762027621793899,80,80,79,81,0.9753086419753086,0.41666666666666663,0.42842869428846053,2617,3972,2019.9847153228889,2020.7849949647532,2021.0,2020.0,2016,2023,2015,2023,1.5564540352861516,1.4450730559275682,0.8002796418643356,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_ID_A1-4_B2-3-5,T1,16,ID,Idaho,2022,162022,162201,1-4,2-3-5,2,3,0,148,53484642.0,0,0,0,0.0,0.0,0.0,0.12621588322756794,3552,5196,0.025148605395518976,116,117,114,119,0.957983193277311,0.407725321888412,0.432873927283931,3552,5196,2018.0419481981983,2017.2600076982294,2018.0,2018.0,2013,2024,2011,2024,2.988890992650012,2.9021159715884894,0.7819404999688686,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_IL_A1-4_B2-3-5,T1,17,IL,Illinois,2022,172022,172201,1-4,2-3-5,2,3,0,27,36057165.09999998,0,0,0,0.0,0.0,0.0,0.0510572407611392,2408,3542,0.01960784313725484,78,79,78,79,0.9873417721518988,0.40339702760084933,0.42300487073810417,2408,3542,2019.8326411960134,2018.3833992094862,2019.5,2018.0,2017,2022,2015,2022,1.517048169411455,2.1105659257255156,1.4492419865271131,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
