candidate_id,frame_id,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,component_evalids,fold_A_panels,fold_B_panels,fold_A_panel_count,fold_B_panel_count,p2panel_split_count,parent_design_block_count,parent_design_area_acres,missing_parent_blocks_fold_A,missing_parent_blocks_fold_B,missing_parent_blocks_either_fold,missing_parent_area_fold_A_acres,missing_parent_area_fold_B_acres,missing_parent_area_any_acres,design_block_representation_imbalance,fold_A_plot_count,fold_B_plot_count,plot_rate_imbalance,fold_A_50km_cell_count,fold_B_50km_cell_count,overlap_50km_cell_count,union_50km_cell_count,cell_jaccard,cell_rate_imbalance,plot_cell_imbalance,fold_A_measyear_n,fold_B_measyear_n,fold_A_measyear_mean,fold_B_measyear_mean,fold_A_measyear_median,fold_B_measyear_median,fold_A_measyear_min,fold_A_measyear_max,fold_B_measyear_min,fold_B_measyear_max,fold_A_measyear_sd,fold_B_measyear_sd,temporal_center_abs_diff_years,fold_A_missing_public_coordinate_count,fold_B_missing_public_coordinate_count,crossfold_lineage_overlap_count,crossfold_lineage_roots,candidate_audit_status,eligible_for_ranking,rank_within_state_frame,top_diagnostic_candidate,selected_as_final_partition,not_a_final_partition_note
T1_AL_A1-2_B3-4-5,T1,01,AL,Alabama,2022,012022,12201,1-2,3-4-5,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.07715734568441293,2240,3367,0.0020807324178110016,71,70,70,71,0.9859154929577465,0.43144208037825066,0.43352281279606164,2240,3367,2017.513392857143,2019.0736560736561,2017.0,2020.0,2015,2019,2014,2022,0.8473478088684454,2.349304475633484,1.560263216513249,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,3,0,0,D09C diagnostic only; mainline must decide
T1_AL_A1-3_B2-4-5,T1,01,AL,Alabama,2022,012022,12201,1-3,2-4-5,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.0853372028271189,2238,3369,0.0035669698591046903,70,71,70,71,0.9859154929577465,0.4018912529550827,0.4054582228141874,2238,3369,2018.2774798927614,2018.5651528643514,2019.0,2018.0,2015,2021,2014,2022,1.4575938351869953,2.349757969183117,0.28767297158992733,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,5,0,0,D09C diagnostic only; mainline must decide
T1_AL_A1-4_B2-3-5,T1,01,AL,Alabama,2022,012022,12201,1-4,2-3-5,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.12638846265700238,2241,3366,0.001337613697164259,70,71,70,71,0.9859154929577465,0.4018912529550827,0.403228866652247,2241,3366,2019.0356983489514,2018.060606060606,2020.0,2018.0,2015,2022,2014,2022,2.1610538240392336,1.866227282122888,0.9750922883454223,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,10,0,0,D09C diagnostic only; mainline must decide
T1_AL_A1-5_B2-3-4,T1,01,AL,Alabama,2022,012022,12201,1-5,2-3-4,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.07950877220870427,2239,3368,0.0028238511384579474,70,71,70,71,0.9859154929577465,0.4018912529550827,0.40471510409354067,2239,3368,2016.761054041983,2019.5733372921616,2017.0,2019.0,2014,2022,2015,2022,1.625748457930477,1.4323561363112263,2.8122832501785524,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,4,0,0,D09C diagnostic only; mainline must decide
T1_AL_A2-3_B1-4-5,T1,01,AL,Alabama,2022,012022,12201,2-3,1-4-5,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.08903739804932119,2244,3363,0.0008917424647761726,71,70,70,71,0.9859154929577465,0.43144208037825066,0.43233382284302685,2244,3363,2018.8150623885917,2018.206958073149,2019.0,2017.0,2015,2021,2014,2022,1.0451789180296043,2.4700440367436367,0.608104315442688,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,6,0,0,D09C diagnostic only; mainline must decide
T1_AL_A2-4_B1-3-5,T1,01,AL,Alabama,2022,012022,12201,2-4,1-3-5,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.0964168875706352,2247,3360,0.003121098626716604,71,70,70,71,0.9859154929577465,0.43144208037825066,0.43456317900496727,2247,3360,2019.570538495772,2017.7011904761905,2020.0,2017.0,2015,2022,2014,2022,1.6799283430977232,1.9225859612085368,1.8693480195815937,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,8,0,0,D09C diagnostic only; mainline must decide
T1_AL_A2-5_B1-3-4,T1,01,AL,Alabama,2022,012022,12201,2-5,1-3-4,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.09640557745965993,2245,3362,0.0016348611854229156,71,70,70,71,0.9859154929577465,0.43144208037825066,0.4330769415636736,2245,3362,2017.3024498886414,2019.2168352171327,2017.0,2019.0,2014,2022,2015,2022,1.8006282976549375,1.8296157898107979,1.9143853284913348,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,7,0,0,D09C diagnostic only; mainline must decide
T1_AL_A3-4_B1-2-5,T1,01,AL,Alabama,2022,012022,12201,3-4,1-2-5,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.07326089636378405,2245,3362,0.0016348611854229156,70,71,70,71,0.9859154929577465,0.4018912529550827,0.40352611414050565,2245,3362,2020.3340757238307,2017.1924449732303,2020.0,2017.0,2019,2022,2014,2022,1.0422114170153325,1.5171819762830043,3.1416307506003704,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,2,0,0,D09C diagnostic only; mainline must decide
T1_AL_A3-5_B1-2-4,T1,01,AL,Alabama,2022,012022,12201,3-5,1-2-4,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.10692133701512008,2243,3364,0.00014862374412942967,70,71,70,71,0.9859154929577465,0.4018912529550827,0.40203987669921215,2243,3364,2018.064645563977,2018.7074910820452,2019.0,2018.0,2014,2022,2015,2022,2.2296384054196112,1.869848655604361,0.6428455180682704,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,9,0,0,D09C diagnostic only; mainline must decide
T1_AL_A4-5_B1-2-3,T1,01,AL,Alabama,2022,012022,12201,4-5,1-2-3,2,3,0,25,33548846.190000005,0,0,0,0.0,0.0,0.0,0.07271659733711813,2246,3361,0.002377979906069861,70,71,70,71,0.9859154929577465,0.4018912529550827,0.40426923286115257,2246,3361,2018.8214603739982,2018.2023207378757,2020.0,2018.0,2014,2022,2015,2021,2.798297733424354,1.263548232709109,0.6191396361225543,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,1,1,0,D09C diagnostic only; mainline must decide
T1_AZ_A1-2_B3-4-5,T1,04,AZ,Arizona,2022,042022,42201,1-2,3-4-5,2,3,0,75,72958623.0,0,0,0,0.0,0.0,0.0,0.10275775413655078,4783,7112,0.008757180888328492,141,141,140,142,0.9859154929577465,0.4166666666666667,0.4254238475549952,4783,7112,2017.0351243989128,2017.9343363329583,2016.0,2018.0,2014,2024,2013,2024,2.611146965957664,3.0694931314966025,0.8992119340455247,0,0,0,,ELIGIBLE_DESIGN_ONLY_RANKING,1,9,0,0,D09C diagnostic only; mainline must decide
