layer,status,synthetic_species_id,world,orientation,target_fold,cell_50km,raw_cell_count,normalized_allocation,diagnostic_scale_aligned_mass,latent_cell_mass
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_4_37,0.0,0.0,0.0,33166.1338346535
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_4_38,0.0,0.0,0.0,43230.356038529964
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_5_37,0.0,0.0,0.0,69345.72619378666
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_5_38,3.0,0.01098901098901099,1098901.098901099,347116.27741720504
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_5_39,0.0,0.0,0.0,90770.34238323625
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_6_37,0.0,0.0,0.0,81556.71389838116
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_6_38,1.0,0.003663003663003663,366300.3663003663,649755.8657168446
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_6_39,1.0,0.003663003663003663,366300.3663003663,594256.4237326334
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_6_40,0.0,0.0,0.0,108436.66086348539
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_6_41,0.0,0.0,0.0,47392.5206092852
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_7_38,1.0,0.003663003663003663,366300.3663003663,186344.92764965002
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_7_39,4.0,0.014652014652014652,1465201.4652014652,728656.2669628966
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_7_40,2.0,0.007326007326007326,732600.7326007326,567236.9339932856
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_7_41,0.0,0.0,0.0,312502.54502964066
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_7_42,1.0,0.003663003663003663,366300.3663003663,64643.896649536466
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_7_43,0.0,0.0,0.0,32315.362229054354
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_7_44,0.0,0.0,0.0,23968.926289626917
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_8_38,0.0,0.0,0.0,113853.5082531575
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_8_39,0.0,0.0,0.0,610122.1075031371
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_8_40,4.0,0.014652014652014652,1465201.4652014652,1770185.8824340717
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_8_41,3.0,0.01098901098901099,1098901.098901099,1402385.9874536267
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_8_42,0.0,0.0,0.0,313565.06711926905
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_8_43,0.0,0.0,0.0,286322.9420080568
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_8_44,0.0,0.0,0.0,184579.48370217567
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_8_45,1.0,0.003663003663003663,366300.3663003663,45815.43402765218
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_38,0.0,0.0,0.0,75131.49411972243
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_39,1.0,0.003663003663003663,366300.3663003663,474224.500432055
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_40,2.0,0.007326007326007326,732600.7326007326,1647303.764316563
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_41,9.0,0.03296703296703297,3296703.2967032967,4066514.6898479178
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_42,4.0,0.014652014652014652,1465201.4652014652,1369094.060766286
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_43,0.0,0.0,0.0,1294724.3403959258
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_44,10.0,0.03663003663003663,3663003.663003663,1483160.2803337346
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_45,2.0,0.007326007326007326,732600.7326007326,283583.00544712995
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_9_46,1.0,0.003663003663003663,366300.3663003663,54087.398499032075
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_38,0.0,0.0,0.0,51215.149122625466
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_39,1.0,0.003663003663003663,366300.3663003663,370779.52068687306
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_40,3.0,0.01098901098901099,1098901.098901099,1490559.3595252393
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_41,5.0,0.018315018315018316,1831501.8315018315,4316620.698181592
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_42,6.0,0.02197802197802198,2197802.197802198,4294572.170368876
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_43,3.0,0.01098901098901099,1098901.098901099,4675085.826442479
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_44,12.0,0.04395604395604396,4395604.395604396,4940981.402716039
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_45,7.0,0.02564102564102564,2564102.564102564,1756810.2277711977
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_46,5.0,0.018315018315018316,1831501.8315018315,258945.20723923983
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_10_47,0.0,0.0,0.0,34253.351522492034
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_38,0.0,0.0,0.0,44404.2997840716
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_39,0.0,0.0,0.0,303983.7405517412
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_40,4.0,0.014652014652014652,1465201.4652014652,1388414.9617685073
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_41,6.0,0.02197802197802198,2197802.197802198,4313033.434753691
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_42,10.0,0.03663003663003663,3663003.663003663,4444589.3872086005
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_43,4.0,0.014652014652014652,1465201.4652014652,1626280.2881698133
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_44,8.0,0.029304029304029304,2930402.9304029304,1675262.3018078925
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_45,2.0,0.007326007326007326,732600.7326007326,1469383.6114437722
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_46,1.0,0.003663003663003663,366300.3663003663,343720.8687966407
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_11_47,0.0,0.0,0.0,48375.259618501914
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_38,0.0,0.0,0.0,36547.9024569772
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_39,0.0,0.0,0.0,299589.9602439019
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_40,2.0,0.007326007326007326,732600.7326007326,1257670.824295586
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_41,0.0,0.0,0.0,4129554.410197483
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_42,2.0,0.007326007326007326,732600.7326007326,1503145.805427898
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_43,0.0,0.0,0.0,367760.514675725
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_44,2.0,0.007326007326007326,732600.7326007326,334994.85072186164
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_45,0.0,0.0,0.0,289136.0613840368
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_46,0.0,0.0,0.0,222162.3320866453
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_47,1.0,0.003663003663003663,366300.3663003663,124403.3936219635
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_12_48,0.0,0.0,0.0,19732.68943812056
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_13_38,0.0,0.0,0.0,34149.986233077034
A1,BROKEN_REFERENCE_ONLY,SYN001,STRONG,AB,B,50km_13_39,0.0,0.0,0.0,199066.2340726532
