layer,world,orientation,true_mass_bin,n_species_cells,mean_true_mass,mean_estimated_mass,bias,relative_bias,rmse,median_absolute_relative_error
A1,PAIRED_NULL,AB,1,1779,21613.730589609364,24206.136447126464,2592.405857517103,0.08077185512623065,97501.73799982718,1.0
A1,PAIRED_NULL,AB,2,1757,70244.57404881273,85082.3424467035,14837.768397890764,0.25214672252352743,204139.23262285028,1.0
A1,PAIRED_NULL,AB,3,1746,228214.48436505292,269618.09928383026,41403.614918777355,0.2038561387957234,418601.0198281403,1.0
A1,PAIRED_NULL,AB,4,1757,713835.2979200499,782620.9230487902,68785.62512874043,0.07950351194516879,771317.1401556113,0.6428461539741394
A1,PAIRED_NULL,AB,5,1723,3125628.7571273423,2995722.2544604824,-129906.5026668597,0.05278919311522301,3006754.994909004,0.5345102503615896
A1,PAIRED_NULL,BA,1,1779,21613.730589609364,24036.026794427646,2422.2962048182785,0.0848657536674453,95506.39082800291,1.0
A1,PAIRED_NULL,BA,2,1757,70244.57404881273,89060.42577883467,18815.85173002195,0.23607467791477496,220734.88622909502,1.0
A1,PAIRED_NULL,BA,3,1746,228214.48436505292,272649.07474294835,44434.59037789539,0.17879754409788648,405806.0317197743,1.0
A1,PAIRED_NULL,BA,4,1757,713835.2979200499,775787.3835332596,61952.08561320987,0.07863571378519456,804382.687118987,0.6987492843275764
A1,PAIRED_NULL,BA,5,1723,3125628.7571273423,2995738.2605166426,-129890.49661069959,0.046140069407206254,2969301.0956052206,0.5646107051466502
A1,STRONG,AB,1,1779,21613.730589609364,17106.810493874444,-4506.920095734919,-0.25683008170238547,60613.248182279676,1.0
A1,STRONG,AB,2,1757,70244.57404881272,55201.887679773215,-15042.686369039504,-0.2663807108615179,112666.27824641005,1.0
A1,STRONG,AB,3,1746,228214.48436505292,206987.34262925648,-21227.141735796424,-0.1092050384070319,256342.99525672593,0.9858960072592684
A1,STRONG,AB,4,1757,713835.2979200499,734455.097347628,20619.799427578197,0.021247996239745198,681060.947326304,0.5169009204703305
A1,STRONG,AB,5,1723,3125628.7571273423,3146105.4911245336,20476.73399719122,0.0006082624668244259,2392349.253660711,0.3879369345118238
A1,STRONG,BA,1,1779,21613.730589609364,19331.697902569606,-2282.032687039757,-0.15057307598271483,81236.27528390243,1.0
A1,STRONG,BA,2,1757,70244.57404881272,59145.761907501575,-11098.812141311153,-0.1937372781411058,139376.96080028548,1.0
A1,STRONG,BA,3,1746,228214.48436505292,210759.29012276442,-17455.194242288522,-0.06588451156293337,304426.47915770125,1.0
A1,STRONG,BA,4,1757,713835.2979200499,741093.8700797564,27258.572159706495,0.021633120995755387,767660.2482851049,0.6111299138920923
A1,STRONG,BA,5,1723,3125628.7571273423,3129194.518557963,3565.7614306203236,0.004325044030901745,2444957.6468782024,0.41219757694899173
A2,PAIRED_NULL,AB,1,1779,21613.730589609364,22386.59762833056,772.867038721199,-0.007930077301030571,40297.62054750836,1.0
A2,PAIRED_NULL,AB,2,1757,70244.57404881273,67736.37123664578,-2508.202812166955,-0.03056959592112592,68521.75196127083,1.0
A2,PAIRED_NULL,AB,3,1746,228214.48436505292,224873.5461603864,-3340.9382046665464,-0.014511202477046911,127724.10741338968,0.4027994799834297
A2,PAIRED_NULL,AB,4,1757,713835.2979200499,703890.1883299971,-9945.109590052658,-0.018562978665003595,234182.81871638465,0.22259940149339177
A2,PAIRED_NULL,AB,5,1723,3125628.7571273423,3058535.3809621925,-67093.37616515005,-0.016858914627711618,879817.2398759953,0.10594198322411574
A2,PAIRED_NULL,BA,1,1779,21613.730589609364,20472.55250870143,-1141.1780809079376,-0.044242947173854394,44859.7446554126,1.0
A2,PAIRED_NULL,BA,2,1757,70244.57404881273,70326.54702514854,81.97297633580737,-0.02929174051176886,85577.169931128,1.0
A2,PAIRED_NULL,BA,3,1746,228214.48436505292,219102.18085739444,-9112.303507658475,-0.04308629842506293,154911.92181268558,0.47251457289762466
A2,PAIRED_NULL,BA,4,1757,713835.2979200499,710182.4007396674,-3652.8971803824284,-0.015458226031025795,293891.1384331318,0.2747429992741054
A2,PAIRED_NULL,BA,5,1723,3125628.7571273423,2989550.4921890353,-136078.26493830723,-0.046524573354404145,977628.1282785375,0.13544542788738284
A2,STRONG,AB,1,1779,21613.730589609364,21470.43496099055,-143.2956286188136,-2.577325230318178e-05,37730.72673545256,1.0
A2,STRONG,AB,2,1757,70244.57404881272,68436.40564811614,-1808.1684006965854,-0.04356313117150797,65438.31795661811,1.0
A2,STRONG,AB,3,1746,228214.48436505292,217675.45913465013,-10539.025230402769,-0.04248983089203897,117817.58853477605,0.378585570008791
A2,STRONG,AB,4,1757,713835.2979200499,709515.7415574112,-4319.556362638566,-0.012727590728358412,221544.64792615114,0.20865527928181907
A2,STRONG,AB,5,1723,3125628.7571273423,3108226.3620901313,-17402.395037211667,-0.00511335670039734,574591.8380127953,0.10512190186465208
A2,STRONG,BA,1,1779,21613.730589609364,20840.615826714846,-773.1147628945203,-0.09752742496688198,46406.70664216085,1.0
A2,STRONG,BA,2,1757,70244.57404881272,68461.13678571106,-1783.437263101666,-0.017718392709113396,80921.16120023637,1.0
A2,STRONG,BA,3,1746,228214.48436505292,223721.32232882717,-4493.16203622575,-0.0394376192613103,151916.1753199888,0.47652171643042907
A2,STRONG,BA,4,1757,713835.2979200499,700288.1293775203,-13547.168542529516,-0.023173047686202566,268003.0979239637,0.2584101022873072
A2,STRONG,BA,5,1723,3125628.7571273423,3101872.385595704,-23756.371531638564,-0.004473741931155817,703984.8210547918,0.12896477035774648
