layer,d10b_equivalent,observation_regime,orientation,n_split_replicates,strong_geometry_gain_pct_median,paired_null_geometry_gain_pct_median,strong_minus_null_geometry_gain_pct_median,strong_predictive_set_gain_pct_median,paired_null_predictive_set_gain_pct_median,strong_minus_null_predictive_set_gain_pct_median,strong_geometry_coverage_median,paired_null_geometry_coverage_median
A0,L0,O1,AB,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.085864583799609,0.7559535452712589,7.656744012859367,0.9375,0.9375
A0,L0,O1,BA,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.085864583799609,0.7559535452712589,7.656744012859367,0.9375,0.9375
A0,L0,O2,AB,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.085864583799609,0.7559535452712589,7.656744012859367,0.9375,0.9375
A0,L0,O2,BA,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.085864583799609,0.7559535452712589,7.656744012859367,0.9375,0.9375
A0,L0,O3,AB,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.085864583799609,0.7559535452712589,7.656744012859367,0.9375,0.9375
A0,L0,O3,BA,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.085864583799609,0.7559535452712589,7.656744012859367,0.9375,0.9375
A1,L1,O1,AB,5,-104.63993747708798,3.59396616694651,-108.2339036440345,-20.88853291195375,-8.7924373269185,-18.73622227229245,1.0,0.9375
A1,L1,O1,BA,5,-144.20053609472922,3.3428602825614493,-147.54339637729066,-28.174557234988868,-1.606095001551323,-31.882145481979137,0.9375,0.9375
A1,L1,O2,AB,5,-104.63993747708798,3.59396616694651,-108.2339036440345,-20.88853291195375,-8.7924373269185,-18.73622227229245,1.0,0.9375
A1,L1,O2,BA,5,-144.20053609472922,3.3428602825614493,-147.54339637729066,-28.174557234988868,-1.606095001551323,-31.882145481979137,0.9375,0.9375
A1,L1,O3,AB,5,-104.63993747708798,3.59396616694651,-108.2339036440345,-20.88853291195375,-8.7924373269185,-18.73622227229245,1.0,0.9375
A1,L1,O3,BA,5,-144.20053609472922,3.3428602825614493,-147.54339637729066,-28.174557234988868,-1.606095001551323,-31.882145481979137,0.9375,0.9375
A2,A2_CURRENT,O1,AB,5,-14.258899153668619,3.4915196639080515,-17.88942573644523,-6.442083146855686,-15.784138578770113,14.590150680854174,0.9375,0.875
A2,A2_CURRENT,O1,BA,5,-31.997630088633322,3.281555347142415,-34.680708381447275,-12.586469135930795,-12.067326434232061,-3.1011977285305257,0.875,0.875
A2,A2_CURRENT,O2,AB,5,-14.258899153668619,3.4915196639080515,-17.88942573644523,-6.442083146855686,-15.784138578770113,14.590150680854174,0.9375,0.875
A2,A2_CURRENT,O2,BA,5,-31.997630088633322,3.281555347142415,-34.680708381447275,-12.586469135930795,-12.067326434232061,-3.1011977285305257,0.875,0.875
A2,A2_CURRENT,O3,AB,5,-14.258899153668619,3.4915196639080515,-17.88942573644523,-6.442083146855686,-15.784138578770113,14.590150680854174,0.9375,0.875
A2,A2_CURRENT,O3,BA,5,-31.997630088633322,3.281555347142415,-34.680708381447275,-12.586469135930795,-12.067326434232061,-3.1011977285305257,0.875,0.875
