domain,layer,world,observation_regime,metric,AB_median,BA_median,BA_minus_AB,notes
ABUNDANCE_RECOVERY,A1,PAIRED_NULL,ALL,hellinger_distance,0.31507762828473385,0.3474177239472855,0.03234009566255164,descriptive; no threshold
ABUNDANCE_RECOVERY,A1,PAIRED_NULL,ALL,sliced_wasserstein_km,32.8872122178447,31.374621455636444,-1.512590762208255,descriptive; no threshold
ABUNDANCE_RECOVERY,A1,PAIRED_NULL,ALL,cell_relative_rmse,1.4596991970632738,1.6625869945820952,0.20288779751882147,descriptive; no threshold
ABUNDANCE_RECOVERY,A1,PAIRED_NULL,ALL,total_mass_relative_error,0.0,0.0,0.0,descriptive; no threshold
ABUNDANCE_RECOVERY,A1,STRONG,ALL,hellinger_distance,0.25052519890386765,0.27479437342732427,0.024269174523456616,descriptive; no threshold
ABUNDANCE_RECOVERY,A1,STRONG,ALL,sliced_wasserstein_km,19.96167393364901,19.596809704597725,-0.36486422905128535,descriptive; no threshold
ABUNDANCE_RECOVERY,A1,STRONG,ALL,cell_relative_rmse,1.2069375405130147,1.4298624040440342,0.22292486353101948,descriptive; no threshold
ABUNDANCE_RECOVERY,A1,STRONG,ALL,total_mass_relative_error,0.0,0.0,0.0,descriptive; no threshold
ABUNDANCE_RECOVERY,A2,PAIRED_NULL,ALL,hellinger_distance,0.12512643806502163,0.1568708841434311,0.031744446078409455,descriptive; no threshold
ABUNDANCE_RECOVERY,A2,PAIRED_NULL,ALL,sliced_wasserstein_km,4.2786781477088685,5.822532067008758,1.54385391929989,descriptive; no threshold
ABUNDANCE_RECOVERY,A2,PAIRED_NULL,ALL,cell_relative_rmse,0.9978095728807677,1.1260558416296282,0.12824626874886058,descriptive; no threshold
ABUNDANCE_RECOVERY,A2,PAIRED_NULL,ALL,total_mass_relative_error,-0.013565168837886665,-0.032181677522564955,-0.01861650868467829,descriptive; no threshold
ABUNDANCE_RECOVERY,A2,STRONG,ALL,hellinger_distance,0.11501170283611503,0.1412596407275987,0.026247937891483664,descriptive; no threshold
ABUNDANCE_RECOVERY,A2,STRONG,ALL,sliced_wasserstein_km,2.902978119688111,3.9050083908811875,1.0020302711930764,descriptive; no threshold
ABUNDANCE_RECOVERY,A2,STRONG,ALL,cell_relative_rmse,0.9705690947676837,1.1589946635796715,0.1884255688119878,descriptive; no threshold
ABUNDANCE_RECOVERY,A2,STRONG,ALL,total_mass_relative_error,-0.006271939918092939,-0.00737418022636771,-0.0011022403082747712,descriptive; no threshold
DOWNSTREAM,A0,STRONG_MINUS_PAIRED_NULL,O1,strong_minus_paired_null_latent_truth_geometry_gain_pct,6.05399724982147,6.05399724982147,0.0,descriptive; no threshold
DOWNSTREAM,A0,STRONG_MINUS_PAIRED_NULL,O2,strong_minus_paired_null_latent_truth_geometry_gain_pct,6.05399724982147,6.05399724982147,0.0,descriptive; no threshold
DOWNSTREAM,A0,STRONG_MINUS_PAIRED_NULL,O3,strong_minus_paired_null_latent_truth_geometry_gain_pct,6.05399724982147,6.05399724982147,0.0,descriptive; no threshold
DOWNSTREAM,A1,STRONG_MINUS_PAIRED_NULL,O1,strong_minus_paired_null_latent_truth_geometry_gain_pct,-108.2339036440345,-147.54339637729066,-39.309492733256164,descriptive; no threshold
DOWNSTREAM,A1,STRONG_MINUS_PAIRED_NULL,O2,strong_minus_paired_null_latent_truth_geometry_gain_pct,-108.2339036440345,-147.54339637729066,-39.309492733256164,descriptive; no threshold
DOWNSTREAM,A1,STRONG_MINUS_PAIRED_NULL,O3,strong_minus_paired_null_latent_truth_geometry_gain_pct,-108.2339036440345,-147.54339637729066,-39.309492733256164,descriptive; no threshold
DOWNSTREAM,A2,STRONG_MINUS_PAIRED_NULL,O1,strong_minus_paired_null_latent_truth_geometry_gain_pct,-17.88942573644523,-34.680708381447275,-16.791282645002045,descriptive; no threshold
DOWNSTREAM,A2,STRONG_MINUS_PAIRED_NULL,O2,strong_minus_paired_null_latent_truth_geometry_gain_pct,-17.88942573644523,-34.680708381447275,-16.791282645002045,descriptive; no threshold
DOWNSTREAM,A2,STRONG_MINUS_PAIRED_NULL,O3,strong_minus_paired_null_latent_truth_geometry_gain_pct,-17.88942573644523,-34.680708381447275,-16.791282645002045,descriptive; no threshold
