layer,synthetic_species_id,world,orientation,target_fold,support_cells,support_cells_zero_target_fold_plots,support_truth_mass_fraction_zero_target_fold_plots,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,entropy_bias,true_concentration,estimated_concentration,concentration_bias,estimated_total_mass,total_mass_relative_error,cell_bias,cell_relative_bias,cell_rmse,cell_relative_rmse,cell_mass_correlation,ci95_coverage_all_support,ci95_coverage_positive_exposure
A1,SYN001,STRONG,AB,B,142,3,0.0004360211443605352,0.3870570537462962,61.66294712588087,91.44130401553511,4.074298547053801,3.925982518408185,-0.148316028645616,0.02474853392012693,0.02604355351608099,0.0012950195959540618,100000000.0,2.220446049250313e-16,5.246887744312555e-11,0.22671732391710533,972013.876393358,2.068278551566356,0.6349035366435254,,
A2,SYN001,STRONG,AB,B,142,3,0.0004360211443605352,0.12035840361816037,2.4210946642819575,1.68557261907481,4.074298547053801,4.037346497394508,-0.036952049659292996,0.02474853392012693,0.024845267603116505,9.673368298957624e-05,102034089.36712979,0.0203408936712981,14324.57300795632,-0.07303256741612804,221473.0460126973,0.7828582337947817,0.9811177162359861,0.704225352112676,0.7194244604316546
A1,SYN001,STRONG,BA,A,142,2,0.01456737058368239,0.5526324546986673,91.33979091830318,135.67434782883512,4.074298547053801,3.414218505080353,-0.660080041973448,0.02474853392012693,0.051005769054668665,0.026257235134541736,100000000.0,2.220446049250313e-16,-2.6234438721562776e-11,0.010029752874874556,1619196.374465671,2.064885610636343,0.437992128341534,,
A2,SYN001,STRONG,BA,A,142,2,0.01456737058368239,0.17632452087665065,5.9410301685888065,5.475410994073697,4.074298547053801,3.892097323842001,-0.1822012232118002,0.02474853392012693,0.028871996684520826,0.004123462764393897,99796008.94148886,-0.0020399105851112154,-1436.5567500782847,-0.13691758202099016,322054.6104440231,1.1073380052025203,0.967739088833841,0.6267605633802817,0.6357142857142857
A1,SYN001,PAIRED_NULL,AB,B,142,3,0.01583818944758296,0.37900614856175874,40.941568729300535,58.15191883920688,4.074298547053802,3.3209497140388957,-0.7533488330149063,0.024748533920126933,0.055798700654632015,0.031050166734505082,100000000.0,2.220446049250313e-16,2.1315481461269755e-11,-0.43095324679264135,1161049.265630805,1.1311168481987632,0.8052686299779239,,
A2,SYN001,PAIRED_NULL,AB,B,142,3,0.01583818944758296,0.15485139408921864,2.456373152750664,1.4381105441141928,4.074298547053802,3.997608556939336,-0.07668999011446598,0.024748533920126933,0.02562721502993259,0.0008786811098056568,100834026.49049091,0.008340264904909356,5873.425989372708,-0.03219355432014161,227023.1179513602,0.997788173196321,0.9805369036728383,0.6971830985915493,0.7122302158273381
A1,SYN001,PAIRED_NULL,BA,A,142,2,0.004395251615730557,0.4028244216185405,39.54626663129474,51.49591594117842,4.074298547053802,3.3514398287267957,-0.7228587183270063,0.024748533920126933,0.05158612948960302,0.026837595569476087,100000000.0,2.220446049250313e-16,3.115339598185579e-11,-0.3782230618651172,1143635.9088875432,1.4627414518842634,0.7776325051003468,,
A2,SYN001,PAIRED_NULL,BA,A,142,2,0.004395251615730557,0.15424837084546708,3.909290502009492,1.536811927231116,4.074298547053802,4.009127601218085,-0.06517094583571659,0.024748533920126933,0.024773854045261896,2.5320125134963706e-05,100028976.27086669,0.0002897627086670962,204.05824554012176,-0.11281343858080582,228744.72258981955,1.0398612252684503,0.9790402422048604,0.6338028169014085,0.6428571428571429
A1,SYN002,STRONG,AB,B,65,0,0.0,0.2224911271598198,29.973741780835706,45.07621977257275,3.334547922349198,3.0954913264375525,-0.23905659591164552,0.054854186684438755,0.06942580509149995,0.014571618407061199,100000000.0,0.0,1.0589316773873109e-10,-0.11732730755336117,1313724.6229664513,0.7630456503254125,0.8909166651769087,,
A2,SYN002,STRONG,AB,B,65,0,0.0,0.09096392110574353,3.990729344277417,4.677031073985151,3.334547922349198,3.2613534492603855,-0.07319447308881255,0.054854186684438755,0.05569466357770629,0.000840476893267536,100029929.14407894,0.0002992914407893288,460.44837044546887,-0.17776506785758406,345648.734144079,0.4572353103328847,0.9903270848063,0.8,0.8
