synthetic_species_id,world,support_seed,abundance_seed,true_support_cells,support_index_sha256,latent_abundance_sha256,positive_abundance_values_sha256,observed_abundance_A_sha256,observed_abundance_B_sha256,manifest_regime_rows_expected,manifest_regime_rows_exactly_matched,support_shared_with_pair,positive_abundance_histogram_shared_with_pair,split_assignments_sha256,observed_abundance_reconstruction_basis,identity_gate
SYN001,STRONG,2311042634,838304860,142,eba1b154cbc4578fb40d83879cb0497183ca25b0b38416e4cab3db683c34c9ed,3c7755db351d7d0b5b2915c8332884568609cede8ebc45d7ce0a4f3ad776d3ce,91bcc27303a3426ea8d768085689a038e6780a5295b5a2500e07f2d347c4c585,8426c4fadc71e192b29ea52d004770230136237c42dd4b497ecc4bef871c0eb1,d3db6161939b1549714fb7de8deb389934131c796dab127f00004116f7acecc4,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN001,PAIRED_NULL,2311042634,838304860,142,eba1b154cbc4578fb40d83879cb0497183ca25b0b38416e4cab3db683c34c9ed,eac04a25c0e1f231fd1ade40bbdeddb95f12729b8e8b430a50307e1cfd7fe30a,91bcc27303a3426ea8d768085689a038e6780a5295b5a2500e07f2d347c4c585,9c1cec99e7a838800240bd5e44f6c359c85a7ba738cd83c611d8fa216a9ca308,6304ce593428ba9a035343c8156898c101e67061c596b5fb5248b919bb8795f0,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN002,STRONG,1545516190,3389963429,65,3592da47910601fdad8d8ba702c8717fd829e0d18dc8f5b5d8619a5086bb4ae4,0591f31ae12ef0b1682ea45ce10523dea66f46f06a8e4451b0865c0fb6289434,c15400fc579b495c55241ba196f7c8629fad0424cb4d37f0aed7c3dba329c22a,8454edb43957790a896f843e65309888b3aa457ee9cd508587bad89243a55203,18fda212a5bbd59aec3b3db9110e73686636bdd1710f9f0be758b895eb8aefca,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN002,PAIRED_NULL,1545516190,3389963429,65,3592da47910601fdad8d8ba702c8717fd829e0d18dc8f5b5d8619a5086bb4ae4,6b20e0d2148845ffef40464d2b39d36c1df590ee5799813396ccf217a6cb502d,c15400fc579b495c55241ba196f7c8629fad0424cb4d37f0aed7c3dba329c22a,982a98e0bab22684a3a113dcb3ce79602c74b7b2d7e5caf62236c757976c2ead,d56ce03c69d1c962db7fa3500e7285c689c64cc1be67fb42a21987e38c9a0130,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN003,STRONG,4035680460,4228081942,175,c6cba1b9c4db63c5c0afea272c8374e55f45fdc68a73bfc1b1bcea98a5d20525,38b283ced47300096ed94d47d7eedd045e8de2aeffaa2b8a0f123d42018a36b0,eb7957f76e4a39f5ae5177069d8bad27e7d42d66db750ee142c1f1979ca543e8,04056263841b65be2a3505ef9c9e815fb47feb82cfe21a0d906acdb3c792b91f,433a7642aa9523cd5ccaa4e87d4f9ffd57d72374edb7385b22cf32ab7abb87e4,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN003,PAIRED_NULL,4035680460,4228081942,175,c6cba1b9c4db63c5c0afea272c8374e55f45fdc68a73bfc1b1bcea98a5d20525,91165c0d548b488ea5904168a36595a4f6ad19555ad63869481097ae007e35e4,eb7957f76e4a39f5ae5177069d8bad27e7d42d66db750ee142c1f1979ca543e8,d5bfda032bdd886881a1a834b8ae21b6e9b52a8f7a21a6994b28efab5131b6a6,39a0692575092ec0a74835c0079846c95bf58e1abf5153c033449591c4a024b1,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN004,STRONG,4049346259,2653622948,148,aedda63a391de989e4fd1fea5082776ab2d5d15e18c59f7395f79446f1e75005,e54006cabadea9ae2b19ceb8ee49701241f0c78a5540ba5d9d68fb87f8757045,35caacdea0cac122f44db7d07163713ac63f28a51d68ad5e65bf0e9da41dc7e0,6e827ada63f0d714d6feee175c787728382be609ba48b76ec3c0caeebf4b66cc,634905dd007f63ccb0b9c6a9ddc332e74dd4594e9d61afd4c846ef8e1c98a3c0,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN004,PAIRED_NULL,4049346259,2653622948,148,aedda63a391de989e4fd1fea5082776ab2d5d15e18c59f7395f79446f1e75005,e880290e6c601785112b8619fb6485f3407c8ad8b94fcaefa23c9212a0d9ff86,fd24fd3ba5874d41987c7376aa8e6f4dd8d01ad0e4ff0c377bc3af4aa18ccfe9,c39274dedac6138f991b536b6a67cee57449ca25b86729c5ad38727111edc7dd,40bf46b7da25e72be7918b655d054929b2dab8aa81c42aa5fdbeccd5eab4f464,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN005,STRONG,411049109,720834999,140,e68a8ecd8931e6993e7674d6c7aa74223795318d5ec4fe6aed277792c2e518d5,2abc843ac529f6252ead5bb00878b7e91e6d3b3fd96a333bcdbd2121cb6d7ab4,eaa7e2c35e55e6bd8871108e673b0ccca09fff49a9520f766f71403b42ac0b08,9b9969accd64fc3027333bca51131b0c80a59a47c3083d57bb497ca811c44c83,17068582df61800eefac585b472feedd4c0904d5a45db1a2a3a2eef3905a90aa,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
SYN005,PAIRED_NULL,411049109,720834999,140,e68a8ecd8931e6993e7674d6c7aa74223795318d5ec4fe6aed277792c2e518d5,d207f161263e090547fb7760c39cd22ff6209953655329f53c76503da09eda29,83946efbfa1de7639047c3af3f40942ec0eb5ef0e909c64cc5176ee1e786f10d,736d72281dd3578be5d430f97bf039c79541876fa535ec727b152a16e48f15c0,1155c5e33bc69c4e064e0beb13c18f0de4e785dd36c045e0a91725ff02b112f2,3,3,YES,YES,247ca84cdd33586aba416b68db7087222cd13038285007deb5682708e889f02d,D10A_PUBLISHED_LAYOUT_ORDER_PLUS_FROZEN_CODE_AND_SEEDS,PASS
