state,matching_latent_reference,observation_regime,orientation,state_separation_pp,matching_reference_separation_pp,distortion_vs_matching_reference_pp,D0_separation_pp,full_A0_reference_separation_pp,movement_from_D0_toward_positive_pp,fraction_full_D0_to_A0_gap_removed,interpretation
A0_REF,A0_REF,O1,AB,6.05399724982147,6.05399724982147,0.0,-17.889425736445197,6.05399724982147,23.94342298626667,1.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
A0_REF,A0_REF,O1,BA,6.05399724982147,6.05399724982147,0.0,-34.68070838144731,6.05399724982147,40.73470563126878,1.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
A0_REF,A0_REF,O2,AB,6.05399724982147,6.05399724982147,0.0,-17.889425736445197,6.05399724982147,23.94342298626667,1.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
A0_REF,A0_REF,O2,BA,6.05399724982147,6.05399724982147,0.0,-34.68070838144731,6.05399724982147,40.73470563126878,1.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
A0_REF,A0_REF,O3,AB,6.05399724982147,6.05399724982147,0.0,-17.889425736445197,6.05399724982147,23.94342298626667,1.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
A0_REF,A0_REF,O3,BA,6.05399724982147,6.05399724982147,0.0,-34.68070838144731,6.05399724982147,40.73470563126878,1.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D0,A0_REF,O1,AB,-17.889425736445197,6.05399724982147,-23.94342298626667,-17.889425736445197,6.05399724982147,0.0,0.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D0,A0_REF,O1,BA,-34.68070838144731,6.05399724982147,-40.73470563126878,-34.68070838144731,6.05399724982147,0.0,0.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D0,A0_REF,O2,AB,-17.889425736445197,6.05399724982147,-23.94342298626667,-17.889425736445197,6.05399724982147,0.0,0.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D0,A0_REF,O2,BA,-34.68070838144731,6.05399724982147,-40.73470563126878,-34.68070838144731,6.05399724982147,0.0,0.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D0,A0_REF,O3,AB,-17.889425736445197,6.05399724982147,-23.94342298626667,-17.889425736445197,6.05399724982147,0.0,0.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D0,A0_REF,O3,BA,-34.68070838144731,6.05399724982147,-40.73470563126878,-34.68070838144731,6.05399724982147,0.0,0.0,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D1,A0_REF,O1,AB,-21.248502998059966,6.05399724982147,-27.302500247881436,-17.889425736445197,6.05399724982147,-3.359077261614768,-0.14029227414732842,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D1,A0_REF,O1,BA,-29.32360678425818,6.05399724982147,-35.377604034079646,-34.68070838144731,6.05399724982147,5.357101597189132,0.1315119752105662,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D1,A0_REF,O2,AB,-21.248502998059966,6.05399724982147,-27.302500247881436,-17.889425736445197,6.05399724982147,-3.359077261614768,-0.14029227414732842,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D1,A0_REF,O2,BA,-29.32360678425818,6.05399724982147,-35.377604034079646,-34.68070838144731,6.05399724982147,5.357101597189132,0.1315119752105662,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D1,A0_REF,O3,AB,-21.248502998059966,6.05399724982147,-27.302500247881436,-17.889425736445197,6.05399724982147,-3.359077261614768,-0.14029227414732842,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D1,A0_REF,O3,BA,-29.32360678425818,6.05399724982147,-35.377604034079646,-34.68070838144731,6.05399724982147,5.357101597189132,0.1315119752105662,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2,D2_A0_REF,O1,AB,-24.335825515764327,2.928156721209879,-27.263982236974208,-17.889425736445197,6.05399724982147,-6.44639977931913,-0.2692346780582133,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2,D2_A0_REF,O1,BA,-29.729416211128004,6.342723799083107,-36.072140010211115,-34.68070838144731,6.05399724982147,4.951292170319306,0.12154972261585693,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2,D2_A0_REF,O2,AB,-24.335825515764327,2.928156721209879,-27.263982236974208,-17.889425736445197,6.05399724982147,-6.44639977931913,-0.2692346780582133,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2,D2_A0_REF,O2,BA,-29.729416211128004,6.342723799083107,-36.072140010211115,-34.68070838144731,6.05399724982147,4.951292170319306,0.12154972261585693,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
D2,D2_A0_REF,O3,AB,-24.335825515764327,2.928156721209879,-27.263982236974208,-17.889425736445197,6.05399724982147,-6.44639977931913,-0.2692346780582133,QUANTITATIVE_SOURCE_ATTRIBUTION_NO_SCIENTIFIC_CATEGORY
