state,observation_regime,orientation,n_split_replicates,strong_geometry_gain_pct_median,paired_null_geometry_gain_pct_median,strong_minus_paired_null_geometry_gain_pct_median,strong_predictive_set_gain_pct_median,paired_null_predictive_set_gain_pct_median,strong_geometry_truth_coverage_median,paired_null_geometry_truth_coverage_median,strong_world0_truth_coverage_median,paired_null_world0_truth_coverage_median
A0_REF,O1,AB,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.08586458379958,0.7559535452712589,0.9375,0.9375,1.0,0.9375
A0_REF,O1,BA,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.08586458379958,0.7559535452712589,0.9375,0.9375,1.0,0.9375
A0_REF,O2,AB,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.08586458379958,0.7559535452712589,0.9375,0.9375,1.0,0.9375
A0_REF,O2,BA,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.08586458379958,0.7559535452712589,0.9375,0.9375,1.0,0.9375
A0_REF,O3,AB,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.08586458379958,0.7559535452712589,0.9375,0.9375,1.0,0.9375
A0_REF,O3,BA,5,4.992815506781483,-0.626901413650428,6.05399724982147,8.08586458379958,0.7559535452712589,0.9375,0.9375,1.0,0.9375
D0,O1,AB,5,-14.258899153668585,3.4915196639080515,-17.889425736445197,-6.442083146855686,-15.784138578770113,0.9375,0.875,1.0,0.9375
D0,O1,BA,5,-31.99763008863334,3.281555347142415,-34.68070838144731,-12.586469135930795,-12.067326434232061,0.875,0.875,1.0,0.875
D0,O2,AB,5,-14.258899153668585,3.4915196639080515,-17.889425736445197,-6.442083146855686,-15.784138578770113,0.9375,0.875,1.0,0.9375
D0,O2,BA,5,-31.99763008863334,3.281555347142415,-34.68070838144731,-12.586469135930795,-12.067326434232061,0.875,0.875,1.0,0.875
D0,O3,AB,5,-14.258899153668585,3.4915196639080515,-17.889425736445197,-6.442083146855686,-15.784138578770113,0.9375,0.875,1.0,0.9375
D0,O3,BA,5,-31.99763008863334,3.281555347142415,-34.68070838144731,-12.586469135930795,-12.067326434232061,0.875,0.875,1.0,0.875
D1,O1,AB,5,-19.87205624280423,3.435062323083786,-21.248502998059966,-4.197909928921625,-14.265410144730875,0.875,0.875,1.0,0.9375
D1,O1,BA,5,-27.82128997235166,2.9148747818705405,-29.32360678425818,-9.59551463624899,-17.32403362035222,0.9375,0.875,1.0,0.875
D1,O2,AB,5,-19.87205624280423,3.435062323083786,-21.248502998059966,-4.197909928921625,-14.265410144730875,0.875,0.875,1.0,0.9375
D1,O2,BA,5,-27.82128997235166,2.9148747818705405,-29.32360678425818,-9.59551463624899,-17.32403362035222,0.9375,0.875,1.0,0.875
D1,O3,AB,5,-19.87205624280423,3.435062323083786,-21.248502998059966,-4.197909928921625,-14.265410144730875,0.875,0.875,1.0,0.9375
D1,O3,BA,5,-27.82128997235166,2.9148747818705405,-29.32360678425818,-9.59551463624899,-17.32403362035222,0.9375,0.875,1.0,0.875
D2,O1,AB,5,-21.721610633122747,2.722757473128269,-24.335825515764327,0.739830301908156,-8.347561445895181,1.0,0.875,1.0,0.875
D2,O1,BA,5,-27.52822826632834,4.214742493580091,-29.729416211128004,-11.857118854959873,-7.353396330716159,1.0,0.875,1.0,0.875
D2,O2,AB,5,-21.721610633122747,2.722757473128269,-24.335825515764327,0.739830301908156,-8.347561445895181,1.0,0.875,1.0,0.875
D2,O2,BA,5,-27.52822826632834,4.214742493580091,-29.729416211128004,-11.857118854959873,-7.353396330716159,1.0,0.875,1.0,0.875
D2,O3,AB,5,-21.721610633122747,2.722757473128269,-24.335825515764327,0.739830301908156,-8.347561445895181,1.0,0.875,1.0,0.875
D2,O3,BA,5,-27.52822826632834,4.214742493580091,-29.729416211128004,-11.857118854959873,-7.353396330716159,1.0,0.875,1.0,0.875
D2_A0_REF,O1,AB,5,1.9587951622241089,-0.14866124110542014,2.928156721209879,8.338996279682325,0.8792883629510454,1.0,0.9375,1.0,0.875
D2_A0_REF,O1,BA,5,5.539750454202013,-0.8029733448810937,6.342723799083107,-0.8853900837957017,1.0755273454062941,1.0,0.875,1.0,0.875
D2_A0_REF,O2,AB,5,1.9587951622241089,-0.14866124110542014,2.928156721209879,8.338996279682325,0.8792883629510454,1.0,0.9375,1.0,0.875
D2_A0_REF,O2,BA,5,5.539750454202013,-0.8029733448810937,6.342723799083107,-0.8853900837957017,1.0755273454062941,1.0,0.875,1.0,0.875
D2_A0_REF,O3,AB,5,1.9587951622241089,-0.14866124110542014,2.928156721209879,8.338996279682325,0.8792883629510454,1.0,0.9375,1.0,0.875
D2_A0_REF,O3,BA,5,5.539750454202013,-0.8029733448810937,6.342723799083107,-0.8853900837957017,1.0755273454062941,1.0,0.875,1.0,0.875
D3,O1,AB,5,-13.873969966194654,3.924156816514589,-17.798126782709243,-9.652558772750359,-3.590916176570308,1.0,0.875,1.0,0.9375
D3,O1,BA,5,-22.46221461673508,4.032756453664171,-26.49497107039925,-9.768595394314419,-7.089880271803715,1.0,0.875,1.0,0.9375
D3,O2,AB,5,-13.873969966194654,3.924156816514589,-17.798126782709243,-9.652558772750359,-3.590916176570308,1.0,0.875,1.0,0.9375
D3,O2,BA,5,-22.46221461673508,4.032756453664171,-26.49497107039925,-9.768595394314419,-7.089880271803715,1.0,0.875,1.0,0.9375
D3,O3,AB,5,-13.873969966194654,3.924156816514589,-17.798126782709243,-9.652558772750359,-3.590916176570308,1.0,0.875,1.0,0.9375
D3,O3,BA,5,-22.46221461673508,4.032756453664171,-26.49497107039925,-9.768595394314419,-7.089880271803715,1.0,0.875,1.0,0.9375
D3_A0_REF,O1,AB,5,11.007567731981185,-0.2234778413422194,11.231045573323405,2.895106830490125,1.2742499750524074,1.0,0.875,1.0,0.9375
D3_A0_REF,O1,BA,5,11.007567731981185,-0.2234778413422194,11.231045573323405,2.895106830490125,1.2742499750524074,1.0,0.875,1.0,0.9375
D3_A0_REF,O2,AB,5,11.007567731981185,-0.2234778413422194,11.231045573323405,2.895106830490125,1.2742499750524074,1.0,0.875,1.0,0.9375
D3_A0_REF,O2,BA,5,11.007567731981185,-0.2234778413422194,11.231045573323405,2.895106830490125,1.2742499750524074,1.0,0.875,1.0,0.9375
D3_A0_REF,O3,AB,5,11.007567731981185,-0.2234778413422194,11.231045573323405,2.895106830490125,1.2742499750524074,1.0,0.875,1.0,0.9375
