layer,model,world,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_observed_map_error,geometry_observed_map_error,world0_support_dispersion,geometry_support_dispersion,observation_regime
D0,ORACLE,PAIRED_NULL,AB,1,9042101,72,28,28,16,0.0,2.714140915846445,-2.0776834901635057,2.730459937911657,0.875,0.8125,0.875,0.875,382.10499446966907,390.04392685485556,137.7592071914932,134.0202281837632,138.59446093295338,134.81019470101447,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,AB,2,9042102,72,28,28,16,0.0,3.4915196639080515,-13.341228505785306,3.5079545904704834,0.875,0.8125,0.875,0.875,415.3288345228798,470.7388033869921,155.2684480235094,149.8472196289237,154.17605144533226,148.7676255712496,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,AB,3,9042103,72,28,28,16,0.0,2.761268833808747,-20.264052019284556,2.422227378362995,1.0,1.0,1.0,1.0,407.0412635486404,489.52431693409005,140.33072826597768,136.4558196021124,140.19907253414704,136.80313221501393,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,AB,4,9042104,72,28,28,16,0.0,3.630526582776611,-15.784138578770113,3.5679219316737982,0.875,0.875,0.9375,0.875,406.9286724869589,471.15885806905004,154.44990766843904,148.84256271346243,155.24376780171502,149.7047913627609,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,AB,5,9042105,72,28,28,16,0.0,6.6543400989091674,-27.780485179174477,6.375610666070716,1.0,1.0,0.9375,0.9375,415.3288345228798,530.7091998423465,148.30977639903102,138.44073947750778,147.51297419296824,138.10812127648322,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,BA,1,9042101,72,28,28,16,0.0,3.281555347142415,3.829243267843935,3.7409739305272063,0.875,0.875,0.875,0.875,395.33645335878657,380.19805883321226,137.7592071914932,133.23856256171976,139.41993256923422,134.20426923786056,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,BA,2,9042102,72,28,28,16,0.0,3.1461230169390046,-4.830771501394303,3.7852796464526954,0.8125,0.8125,0.875,0.875,413.66127350292646,433.6443044156106,155.2684480235094,150.3835116421978,156.7733657463646,150.8390554417086,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,BA,3,9042103,72,28,28,16,0.0,0.5042188465013531,-17.95001659172053,1.2592614257990467,1.0,1.0,1.0,1.0,397.0746422385137,468.34960640184187,140.33072826597768,139.62315428662802,141.85883859533618,140.07246496181858,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,BA,4,9042104,72,28,28,16,0.0,3.547139193994992,-12.067326434232061,4.012489749906508,0.875,0.875,0.875,0.875,401.13448322489955,449.54069075591804,154.44990766843904,148.97135445844276,156.31936307090524,150.04706465056603,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,BA,5,9042105,72,28,28,16,0.0,6.290707373259724,-35.53344213520372,7.104611670173204,1.0,1.0,0.9375,0.9375,413.66127350292646,560.6493627588357,148.30977639903102,138.98004235983217,150.9167289001135,140.19468136643238,0.0,0.0,O1
D0,ORACLE,PAIRED_NULL,AB,1,9042101,72,28,28,16,0.0,2.714140915846445,-2.0776834901635057,2.730459937911657,0.875,0.8125,0.875,0.875,382.10499446966907,390.04392685485556,137.7592071914932,134.0202281837632,138.59446093295338,134.81019470101447,0.0,0.0,O2
D0,ORACLE,PAIRED_NULL,AB,2,9042102,72,28,28,16,0.0,3.4915196639080515,-13.341228505785306,3.5079545904704834,0.875,0.8125,0.875,0.875,415.3288345228798,470.7388033869921,155.2684480235094,149.8472196289237,154.17605144533226,148.7676255712496,0.0,0.0,O2
D0,ORACLE,PAIRED_NULL,AB,3,9042103,72,28,28,16,0.0,2.761268833808747,-20.264052019284556,2.422227378362995,1.0,1.0,1.0,1.0,407.0412635486404,489.52431693409005,140.33072826597768,136.4558196021124,140.19907253414704,136.80313221501393,0.0,0.0,O2
D0,ORACLE,PAIRED_NULL,AB,4,9042104,72,28,28,16,0.0,3.630526582776611,-15.784138578770113,3.5679219316737982,0.875,0.875,0.9375,0.875,406.9286724869589,471.15885806905004,154.44990766843904,148.84256271346243,155.24376780171502,149.7047913627609,0.0,0.0,O2
D0,ORACLE,PAIRED_NULL,AB,5,9042105,72,28,28,16,0.0,6.6543400989091674,-27.780485179174477,6.375610666070716,1.0,1.0,0.9375,0.9375,415.3288345228798,530.7091998423465,148.30977639903102,138.44073947750778,147.51297419296824,138.10812127648322,0.0,0.0,O2
D0,ORACLE,PAIRED_NULL,BA,1,9042101,72,28,28,16,0.0,3.281555347142415,3.829243267843935,3.7409739305272063,0.875,0.875,0.875,0.875,395.33645335878657,380.19805883321226,137.7592071914932,133.23856256171976,139.41993256923422,134.20426923786056,0.0,0.0,O2
D0,ORACLE,PAIRED_NULL,BA,2,9042102,72,28,28,16,0.0,3.1461230169390046,-4.830771501394303,3.7852796464526954,0.8125,0.8125,0.875,0.875,413.66127350292646,433.6443044156106,155.2684480235094,150.3835116421978,156.7733657463646,150.8390554417086,0.0,0.0,O2
D0,ORACLE,PAIRED_NULL,BA,3,9042103,72,28,28,16,0.0,0.5042188465013531,-17.95001659172053,1.2592614257990467,1.0,1.0,1.0,1.0,397.0746422385137,468.34960640184187,140.33072826597768,139.62315428662802,141.85883859533618,140.07246496181858,0.0,0.0,O2
