cell_50km,A_legal_opportunities,B_legal_opportunities,A_effort_sum,B_effort_sum,A_fold_ti_weight_sum,B_fold_ti_weight_sum,A_measurable,B_measurable,D2_AB_included,D2_BA_included,D3_common_included,zero_opportunity_class
50km_-47_39,0,1,0.0,1.0,0.0,9948.062347624527,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-47_40,3,3,2.5625,2.2942565,51138.4830987251,39225.84881211243,YES,YES,YES,YES,YES,NONE
50km_-47_41,14,28,12.636609499999999,22.98767925,220421.63037969265,328470.7056064658,YES,YES,YES,YES,YES,NONE
50km_-47_42,23,36,19.424973500000004,30.78264125,403661.5799418851,419045.94430565054,YES,YES,YES,YES,YES,NONE
50km_-47_43,22,34,19.506124,31.73411175,382283.8130089196,401652.7322097576,YES,YES,YES,YES,YES,NONE
50km_-47_44,19,29,17.866034499999998,25.154510000000002,361576.2185929483,315216.4634529746,YES,YES,YES,YES,YES,NONE
50km_-47_45,32,37,26.951161250000002,30.302801499999998,519055.01306944626,391701.8477532015,YES,YES,YES,YES,YES,NONE
50km_-47_46,10,17,8.5781365,14.040656,165409.8658325636,186429.18531974507,YES,YES,YES,YES,YES,NONE
50km_-47_47,4,3,3.407553,2.5625,69803.74592729998,31872.36444583215,YES,YES,YES,YES,YES,NONE
50km_-46_35,8,9,5.789614,6.143686249999999,126056.86965723975,123401.23492051865,YES,YES,YES,YES,YES,NONE
50km_-46_36,3,4,1.02925675,2.3605635,42871.971327656196,50016.27604117019,YES,YES,YES,YES,YES,NONE
50km_-46_37,18,23,15.201383500000002,17.686388500000003,297064.86259305687,269792.05524658714,YES,YES,YES,YES,YES,NONE
50km_-46_38,8,4,6.08379875,2.52101975,154132.04760533065,40701.48465548976,YES,YES,YES,YES,YES,NONE
50km_-46_39,6,13,3.35349775,8.59581825,100362.289858881,156376.6557657381,YES,YES,YES,YES,YES,NONE
50km_-46_40,9,22,7.106601499999999,12.25816475,204955.01773280284,257250.66136204597,YES,YES,YES,YES,YES,NONE
50km_-46_41,13,28,10.274249999999999,19.39102075,253530.16188466892,362995.78429985634,YES,YES,YES,YES,YES,NONE
50km_-46_42,17,38,16.18098525,32.854568,261910.99623871976,458148.42250369134,YES,YES,YES,YES,YES,NONE
50km_-46_43,31,44,28.29232125,38.62382975,647033.1448738778,458067.8383099669,YES,YES,YES,YES,YES,NONE
50km_-46_44,27,55,23.369579749999996,50.049327000000005,430756.8642798173,569045.1977407511,YES,YES,YES,YES,YES,NONE
