state,world,orientation,metric,n,min,q05,q25,median,q75,q95,max
D2,PAIRED_NULL,AB,support_fraction_lost,72,0.0,0.0,0.0,0.009091657067632042,0.028010631772643624,0.07215670859538784,0.12307692307692308
D2,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,72,0.0,0.0,8.326672684688674e-17,0.0012186359683153958,0.015523209431172302,0.07449229781495596,0.2533991504476929
D2,PAIRED_NULL,AB,A2_raw_mass_fraction_lost,72,0.0,0.0,0.0,0.0,0.0,1.6098233857064801e-16,3.3306690738754696e-16
D2,PAIRED_NULL,BA,support_fraction_lost,72,0.0,0.0,0.004658385093167711,0.024476570289132638,0.045328839339728644,0.09710820895522385,0.18095238095238098
D2,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,72,0.0,0.0,0.00013240061862362928,0.012162663997329293,0.04497728150733235,0.1093835771278642,0.29966401048679936
D2,PAIRED_NULL,BA,A2_raw_mass_fraction_lost,72,0.0,0.0,0.0,0.0,0.0,1.6098233857064801e-16,3.3306690738754696e-16
D2,STRONG,AB,support_fraction_lost,72,0.0,0.0,0.0,0.009091657067632042,0.028010631772643624,0.07215670859538784,0.12307692307692308
D2,STRONG,AB,latent_truth_mass_fraction_lost,72,0.0,0.0,0.0,0.0003612505121571852,0.0035874999122174345,0.043829891640506664,0.1186550225295101
D2,STRONG,AB,A2_raw_mass_fraction_lost,72,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.6098233857064801e-16,3.3306690738754696e-16
D2,STRONG,BA,support_fraction_lost,72,0.0,0.0,0.004658385093167711,0.024476570289132638,0.045328839339728644,0.09710820895522385,0.18095238095238098
D2,STRONG,BA,latent_truth_mass_fraction_lost,72,0.0,0.0,7.434797602048904e-05,0.0017650843490158996,0.0091887823152777,0.03391445735361807,0.18153866255783935
D2,STRONG,BA,A2_raw_mass_fraction_lost,72,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16
D3,PAIRED_NULL,AB,support_fraction_lost,72,0.0,0.0,0.008180061308809827,0.03373466606088138,0.07582922824302135,0.16666666666666663,0.2857142857142857
D3,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,72,0.0,0.0,0.0009227179584000156,0.021191835931235747,0.0767096149849161,0.16929952072220564,0.43183732493039306
D3,PAIRED_NULL,AB,A2_raw_mass_fraction_lost,72,0.0,0.0,2.7755575615628914e-16,0.012801697985967808,0.047491991552497476,0.11861684231931398,0.31859823170165524
D3,PAIRED_NULL,BA,support_fraction_lost,72,0.0,0.0,0.008180061308809827,0.03373466606088138,0.07582922824302135,0.16666666666666663,0.2857142857142857
D3,PAIRED_NULL,BA,latent_truth_mass_fraction_lost,72,0.0,0.0,0.0009227179584000156,0.021191835931235747,0.0767096149849161,0.16929952072220564,0.43183732493039306
D3,PAIRED_NULL,BA,A2_raw_mass_fraction_lost,72,0.0,0.0,0.0,0.0008105480050566438,0.018411293745534435,0.08207194205875601,0.27571602188402156
D3,STRONG,AB,support_fraction_lost,72,0.0,0.0,0.008180061308809827,0.03373466606088138,0.07582922824302135,0.16666666666666663,0.2857142857142857
D3,STRONG,AB,latent_truth_mass_fraction_lost,72,0.0,0.0,0.00022522067722383077,0.0029335311232558947,0.014796816919103228,0.1039190645181564,0.2775046847734005
D3,STRONG,AB,A2_raw_mass_fraction_lost,72,0.0,0.0,0.0,0.0015200441031616996,0.008271638722072372,0.03753697669174163,0.19114465904941758
D3,STRONG,BA,support_fraction_lost,72,0.0,0.0,0.008180061308809827,0.03373466606088138,0.07582922824302135,0.16666666666666663,0.2857142857142857
D3,STRONG,BA,latent_truth_mass_fraction_lost,72,0.0,0.0,0.00022522067722383077,0.0029335311232558947,0.014796816919103228,0.1039190645181564,0.2775046847734005
D3,STRONG,BA,A2_raw_mass_fraction_lost,72,0.0,0.0,0.0,1.1102230246251565e-16,0.0022351291652744076,0.05209652742870985,0.11461784480811066
