state,synthetic_species_id,world,orientation,target_fold,original_support_cells,evaluated_support_cells,zero_opportunity_truth_mass_fraction_full_domain,latent_truth_mass_fraction_retained,hellinger_distance,sliced_wasserstein_km,centroid_displacement_km,true_entropy,estimated_entropy,true_concentration,estimated_concentration
D0,SYN001,STRONG,AB,B,142,142,0.0004360211443605352,1.0,0.12035840361816037,2.4210946642819575,1.68557261907481,4.074298547053801,4.037346497394508,0.02474853392012693,0.024845267603116505
D1,SYN001,STRONG,AB,B,142,142,0.0004360211443605352,1.0,0.11943653624760622,2.430963341245763,1.6728238377833733,4.074298547053801,4.039626835883729,0.02474853392012693,0.024824162943874784
D2,SYN001,STRONG,AB,B,142,139,0.0004360211443605352,0.9995639788556394,0.11946222246579989,2.4244287524187285,1.6733274211045739,4.071994905887017,4.037346497394508,0.024770008899568947,0.024845267603116505
D3,SYN001,STRONG,AB,B,142,137,0.0004360211443605352,0.984996608271957,0.11982444259131843,2.6970652891554128,1.6035612970985835,4.049100290685988,4.014576395671133,0.025340973596092616,0.025351868217008345
D0,SYN002,STRONG,AB,B,65,65,0.0,0.9999999999999999,0.09096392110574353,3.990729344277417,4.677031073985151,3.334547922349198,3.2613534492603855,0.054854186684438755,0.05569466357770629
D1,SYN002,STRONG,AB,B,65,65,0.0,0.9999999999999999,0.09096392110574353,3.990729344277417,4.677031073985151,3.334547922349198,3.2613534492603855,0.054854186684438755,0.05569466357770629
D2,SYN002,STRONG,AB,B,65,65,0.0,0.9999999999999999,0.09096392110574353,3.990729344277417,4.677031073985151,3.334547922349198,3.2613534492603855,0.054854186684438755,0.05569466357770629
D3,SYN002,STRONG,AB,B,65,65,0.0,0.9999999999999999,0.09096392110574353,3.990729344277417,4.677031073985151,3.334547922349198,3.2613534492603855,0.054854186684438755,0.05569466357770629
D0,SYN003,STRONG,AB,B,175,175,0.0008766020190535425,1.0,0.1305029626304343,3.0818603946337086,3.525253502120346,3.9910630047636566,3.930638532930257,0.03223603351469619,0.03282252710337464
D1,SYN003,STRONG,AB,B,175,175,0.0008766020190535425,1.0,0.12878523443294496,3.1145643359518855,3.730831712166796,3.9910630047636566,3.9341646015664784,0.03223603351469619,0.03276731741590465
D2,SYN003,STRONG,AB,B,175,174,0.0008766020190535425,0.9991233979809466,0.1288406127718626,3.063079417650611,3.7399842691980605,3.987511445027827,3.9306385329302564,0.032291854479202034,0.03282252710337464
D3,SYN003,STRONG,AB,B,175,170,0.0008766020190535425,0.998279896710588,0.1280686375992035,3.0975783105843684,3.8319197011877573,3.9830964316522643,3.927950732686768,0.03234618528692708,0.0328614708772995
D0,SYN004,STRONG,AB,B,148,148,0.0,0.9999999999999999,0.12040349492097732,2.954841817220289,3.9223179867743223,4.101888730650877,4.047875861391191,0.024482113127460427,0.02505365905711106
D1,SYN004,STRONG,AB,B,148,148,0.0,0.9999999999999999,0.12040349492097732,2.954841817220289,3.9223179867743223,4.101888730650877,4.047875861391191,0.024482113127460427,0.02505365905711106
D2,SYN004,STRONG,AB,B,148,148,0.0,0.9999999999999999,0.12040349492097732,2.954841817220289,3.9223179867743223,4.101888730650877,4.047875861391191,0.024482113127460427,0.02505365905711106
D3,SYN004,STRONG,AB,B,148,148,0.0,0.9999999999999999,0.12040349492097732,2.954841817220289,3.9223179867743223,4.101888730650877,4.047875861391191,0.024482113127460427,0.02505365905711106
D0,SYN005,STRONG,AB,B,140,140,0.016766530366001633,1.0,0.15010534492696795,3.2364136662122105,1.973692770829334,4.078070371149677,4.024856223316759,0.025460824207712885,0.02593924619623261
D1,SYN005,STRONG,AB,B,140,140,0.016766530366001633,1.0,0.11829499311977278,4.550416666900794,4.9482689228022,4.078070371149677,4.052249523905412,0.025460824207712885,0.025229791125880467
D2,SYN005,STRONG,AB,B,140,138,0.016766530366001633,0.9832334696339982,0.11930101954140496,4.225133153994726,4.864348016956281,4.0516396308726605,4.024856223316759,0.02615107783962957,0.02593924619623261
D3,SYN005,STRONG,AB,B,140,134,0.016766530366001633,0.9581279065610766,0.12009345418790221,4.621280330838044,5.108405990286162,4.033567678067273,4.008639435991872,0.026871860898672873,0.026629884093690992
D0,SYN006,STRONG,AB,B,66,66,0.0,1.0000000000000002,0.08998334922709482,1.5217693345124352,0.49276201898132255,3.1920759122705515,3.1218710057168235,0.060108578177479915,0.06357512458497283
D1,SYN006,STRONG,AB,B,66,66,0.0,1.0000000000000002,0.08998334922709482,1.5217693345124352,0.49276201898132255,3.1920759122705515,3.1218710057168235,0.060108578177479915,0.06357512458497283
D2,SYN006,STRONG,AB,B,66,66,0.0,1.0000000000000002,0.08998334922709485,1.521769334512428,0.4927620189817563,3.1920759122705507,3.1218710057168235,0.060108578177479895,0.06357512458497283
D3,SYN006,STRONG,AB,B,66,65,0.0,0.9997254342673707,0.08922333665704091,1.510861441309063,0.4727684139604766,3.1904258390115743,3.121871005716823,0.060141523860409274,0.06357512458497283
D0,SYN007,STRONG,AB,B,134,134,0.03337957619535628,1.0,0.18234661690575052,3.6480341668214273,2.431250872325252,3.2393650073076348,3.0659610589067476,0.07966250210209708,0.08800951888904937
D1,SYN007,STRONG,AB,B,134,134,0.03337957619535628,1.0,0.1270415001932322,2.7581467504736445,1.531015873807331,3.2393650073076348,3.1343042610346115,0.07966250210209708,0.08284699190488519
D2,SYN007,STRONG,AB,B,134,130,0.03337957619535628,0.9666204238046439,0.1292282317541119,2.911665200538123,1.5319887943373125,3.1751152905196918,3.065961058906747,0.08453953372015717,0.08800951888904937
D3,SYN007,STRONG,AB,B,134,122,0.03337957619535628,0.957377291385539,0.12230796802245827,2.548884864524523,1.7062547455557393,3.1348409935411357,3.044334905101999,0.08616003849379084,0.08888547484840438
D0,SYN008,STRONG,AB,B,122,122,0.0,0.9999999999999998,0.11208751830448602,2.4527781042474768,1.0334079940823713,4.10020036133893,4.1141364332357195,0.021966215527144936,0.020926042918486477
D1,SYN008,STRONG,AB,B,122,122,0.0,0.9999999999999998,0.11208751830448602,2.4527781042474768,1.0334079940823713,4.10020036133893,4.1141364332357195,0.021966215527144936,0.020926042918486477
D2,SYN008,STRONG,AB,B,122,122,0.0,0.9999999999999998,0.11208751830448604,2.45277810424748,1.0334079940821317,4.100200361338932,4.1141364332357195,0.021966215527144943,0.020926042918486477
D3,SYN008,STRONG,AB,B,122,121,0.0,0.9996269306599638,0.11193678358139278,2.5570826319575626,1.0857982637830565,4.098411438541839,4.110903589301845,0.021982475261952128,0.02095915345526071
D0,SYN009,STRONG,AB,B,84,84,0.05515904963877116,0.9999999999999998,0.1894913396084027,5.866781842848017,5.294004511989171,3.014426629300741,2.9025066027907687,0.10744588475963998,0.11728802998452773
D1,SYN009,STRONG,AB,B,84,84,0.05515904963877116,0.9999999999999998,0.08782103236405497,2.8902334673613166,1.0507870474105199,3.014426629300741,3.0058065370923974,0.10744588475963998,0.10595782704075885
D2,SYN009,STRONG,AB,B,84,80,0.05515904963877116,0.9448409503612285,0.09035836070436792,4.269908362403102,1.1629082536707631,2.9123430629882305,2.9025066027907687,0.11879855309413846,0.11728802998452773
D3,SYN009,STRONG,AB,B,84,70,0.05515904963877116,0.918072290182402,0.08424399162340702,2.930959242162916,2.083909486453848,2.816419622920267,2.812531133584125,0.12560379895280338,0.12421498744083566
D0,SYN010,STRONG,AB,B,104,104,0.0,0.9999999999999999,0.09106664493635273,2.302833288211744,3.00300828383132,3.556594452287252,3.482914415514938,0.04415089328568364,0.04539901225303176
D1,SYN010,STRONG,AB,B,104,104,0.0,0.9999999999999999,0.09106664493635273,2.302833288211744,3.00300828383132,3.556594452287252,3.482914415514938,0.04415089328568364,0.04539901225303176
D2,SYN010,STRONG,AB,B,104,104,0.0,0.9999999999999999,0.09106664493635276,2.302833288211754,3.0030082838304017,3.5565944522872526,3.482914415514938,0.04415089328568366,0.04539901225303176
D3,SYN010,STRONG,AB,B,104,100,0.0,0.9990631060549645,0.08996682915304995,2.2610797128790163,3.0213019790187268,3.551422548444998,3.47956236781501,0.04423338298871243,0.045462215297022886
D0,SYN011,STRONG,AB,B,123,123,0.0,0.9999999999999999,0.0897821669030402,1.9177383200520237,0.6777534688524063,3.968274055356341,3.920320318974173,0.02724387456050035,0.028552509700296585
D1,SYN011,STRONG,AB,B,123,123,0.0,0.9999999999999999,0.0897821669030402,1.9177383200520237,0.6777534688524063,3.968274055356341,3.920320318974173,0.02724387456050035,0.028552509700296585
D2,SYN011,STRONG,AB,B,123,123,0.0,0.9999999999999999,0.0897821669030402,1.9177383200520237,0.6777534688524063,3.968274055356341,3.920320318974173,0.02724387456050035,0.028552509700296585
D3,SYN011,STRONG,AB,B,123,122,0.0,0.9999008693653061,0.08950792176533139,1.914591521541799,0.7080457325542941,3.9676543532673887,3.920320318974173,0.02724926694009569,0.028552509700296585
D0,SYN012,STRONG,AB,B,156,156,0.004031817994071641,1.0,0.137664345906836,6.478405907880392,7.718750335948542,4.101538350802214,3.99799412628889,0.02790268511238867,0.030403612223574062
D1,SYN012,STRONG,AB,B,156,156,0.004031817994071641,1.0,0.12999582594108747,5.649626591980175,6.910641971717129,4.101538350802214,4.010985841061531,0.02790268511238867,0.03016349970304338
D2,SYN012,STRONG,AB,B,156,154,0.004031817994071641,0.9959681820059285,0.1302603819563915,5.947718915251979,6.952389047247712,4.089065350010087,3.9979941262888894,0.02812049935092855,0.030403612223574062
D3,SYN012,STRONG,AB,B,156,150,0.004031817994071641,0.9936673606168589,0.12901420065290187,6.487281063554188,7.077076242008683,4.08014707553828,3.9858805495013687,0.028247974159854985,0.03059624236253445
