analysis_level,state,world,orientation,predictor,outcome,statistic,value,n,notes
SPECIES_MAP,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D0_hellinger,pearson_r,0.936208807948687,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D0_hellinger,spearman_rho,0.8070279795813234,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D0_sliced_wasserstein_km,pearson_r,0.8523905059533958,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D0_sliced_wasserstein_km,spearman_rho,0.5781305778553646,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D1_minus_D0_hellinger,pearson_r,-0.984483434316044,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D1_minus_D0_hellinger,spearman_rho,-0.9975230494014036,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D1_minus_D0_sliced_wasserstein_km,pearson_r,-0.9241383355601128,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,AB,zero_opportunity_truth_mass_fraction,D1_minus_D0_sliced_wasserstein_km,spearman_rho,-0.6243635613045272,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D0_hellinger,pearson_r,0.9280485479639918,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D0_hellinger,spearman_rho,0.8610005845996596,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D0_sliced_wasserstein_km,pearson_r,0.6603742888841151,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D0_sliced_wasserstein_km,spearman_rho,0.7655049050648068,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_hellinger,pearson_r,-0.9796836271338942,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_hellinger,spearman_rho,-0.9958188380943047,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_sliced_wasserstein_km,pearson_r,-0.6719934596351218,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,PAIRED_NULL,BA,zero_opportunity_truth_mass_fraction,D1_minus_D0_sliced_wasserstein_km,spearman_rho,-0.8421938033873946,72,72 synthetic species; fixed state/world/orientation
SPECIES_MAP,D0_D1,STRONG,AB,zero_opportunity_truth_mass_fraction,D0_hellinger,pearson_r,0.867347377799549,72,72 synthetic species; fixed state/world/orientation
