state,synthetic_species_id,world,orientation,target_fold,original_support_cells,retained_support_cells,lost_support_cells,support_fraction_retained,support_fraction_lost,latent_truth_mass_fraction_retained,latent_truth_mass_fraction_lost,A2_raw_mass_fraction_retained,A2_raw_mass_fraction_lost
D2,SYN001,STRONG,AB,B,142,139,3,0.9788732394366197,0.021126760563380254,0.9995639788556394,0.0004360211443605877,0.9999999999999999,1.1102230246251565e-16
D3,SYN001,STRONG,AB,B,142,137,5,0.9647887323943662,0.035211267605633756,0.984996608271957,0.015003391728042992,0.987985023448808,0.012014976551191991
D2,SYN002,STRONG,AB,B,65,65,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D3,SYN002,STRONG,AB,B,65,65,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D2,SYN003,STRONG,AB,B,175,174,1,0.9942857142857143,0.005714285714285672,0.9991233979809466,0.0008766020190533741,1.0,0.0
D3,SYN003,STRONG,AB,B,175,170,5,0.9714285714285714,0.02857142857142858,0.998279896710588,0.0017201032894119672,0.9994018323682161,0.0005981676317838858
D2,SYN004,STRONG,AB,B,148,148,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D3,SYN004,STRONG,AB,B,148,148,0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16,1.0,0.0
D2,SYN005,STRONG,AB,B,140,138,2,0.9857142857142858,0.014285714285714235,0.9832334696339982,0.01676653036600184,1.0,0.0
D3,SYN005,STRONG,AB,B,140,134,6,0.9571428571428572,0.042857142857142816,0.9581279065610766,0.0418720934389234,0.9737217332811285,0.026278266718871457
D2,SYN006,STRONG,AB,B,66,66,0,1.0,0.0,1.0,0.0,0.9999999999999999,1.1102230246251565e-16
D3,SYN006,STRONG,AB,B,66,65,1,0.9848484848484849,0.015151515151515138,0.9997254342673707,0.00027456573262929496,0.9999999999999999,1.1102230246251565e-16
D2,SYN007,STRONG,AB,B,134,130,4,0.9701492537313433,0.02985074626865669,0.9666204238046439,0.03337957619535614,1.0,0.0
D3,SYN007,STRONG,AB,B,134,122,12,0.9104477611940298,0.08955223880597019,0.957377291385539,0.04262270861446105,0.9950119666917213,0.004988033308278683
D2,SYN008,STRONG,AB,B,122,122,0,1.0,0.0,0.9999999999999998,2.220446049250313e-16,0.9999999999999999,1.1102230246251565e-16
