state,world,orientation,metric,descriptive_cutoff,comparison,n_profiles,n_at_or_beyond_cutoff,fraction_at_or_beyond_cutoff,decision_status
D2,PAIRED_NULL,AB,support_fraction_lost,0.0,>0,72,43,0.5972222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,support_fraction_lost,0.05,>=cutoff,72,8,0.1111111111111111,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,support_fraction_lost,0.1,>=cutoff,72,2,0.027777777777777776,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,support_fraction_lost,0.25,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,support_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.0,>0,72,54,0.75,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.001,>=cutoff,72,37,0.5138888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.01,>=cutoff,72,25,0.3472222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.05,>=cutoff,72,11,0.1527777777777778,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.1,>=cutoff,72,3,0.041666666666666664,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.25,>=cutoff,72,1,0.013888888888888888,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,AB,latent_truth_mass_fraction_lost,0.5,>=cutoff,72,0,0.0,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,BA,support_fraction_lost,0.0,>0,72,54,0.75,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
D2,PAIRED_NULL,BA,support_fraction_lost,0.05,>=cutoff,72,16,0.2222222222222222,DESCRIPTIVE_FRONTIER_ONLY_NO_ACCEPTABLE_LOSS_THRESHOLD
