cell_50km,A_legal_opportunities,B_legal_opportunities,A_effort_sum,B_effort_sum,A_fold_ti_weight_sum,B_fold_ti_weight_sum,A_measurable,B_measurable,D2_AB_included,D2_BA_included,D3_common_included,zero_opportunity_class
50km_-47_39,0,1,0.0,1.0,0.0,9948.062347624527,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-45_31,0,1,0.0,0.2118565,0.0,10363.6738308416,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-45_32,0,2,0.0,1.917521,0.0,19439.432167002356,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-44_30,1,0,0.7134225,0.0,14954.115201863817,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-44_38,0,1,0.0,0.2072145,0.0,9246.535817728793,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-44_39,0,1,0.0,1.0,0.0,9796.868226603476,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-43_29,0,1,0.0,1.0,0.0,8285.440616927686,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-43_33,0,1,0.0,0.90767,0.0,10989.358424046128,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-42_35,0,1,0.0,1.0,0.0,11339.555295832955,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-40_27,0,1,0.0,0.2540745,0.0,6979.649029553632,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-40_30,0,1,0.0,0.0625,0.0,10123.697636358273,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-39_40,1,0,0.0625,0.0,16273.6430323696,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-39_43,2,0,1.0625,0.0,31483.779005524862,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-39_49,0,2,0.0,2.0,0.0,16811.746200090874,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-39_63,0,1,0.0,0.990098,0.0,13329.630304429136,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-38_34,0,3,0.0,2.496407,0.0,33078.41206516573,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-38_42,1,0,0.0625,0.0,15741.889502762431,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-38_46,0,1,0.0,0.5625,0.0,7761.222222222223,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-37_33,0,1,0.0,0.5625,0.0,10124.393572831084,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-37_34,1,0,1.0,0.0,13218.1875,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-37_36,0,1,0.0,0.5625,0.0,9644.022803274122,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-37_37,0,1,0.0,0.25,0.0,9752.455284552843,NO,YES,YES,NO,NO,A_ONLY_ZERO
