synthetic_species_id,world,orientation,target_fold,oracle_support_cells,zero_opportunity_support_cells,zero_opportunity_support_fraction,zero_opportunity_truth_mass_fraction,D0_hellinger,D1_hellinger,D1_minus_D0_hellinger,D0_sliced_wasserstein_km,D1_sliced_wasserstein_km,D1_minus_D0_sliced_wasserstein_km
SYN001,STRONG,AB,B,142,3,0.02112676056338028,0.0004360211443605352,0.12035840361816037,0.11943653624760622,-0.0009218673705541497,2.4210946642819575,2.430963341245763,0.009868676963805445
SYN002,STRONG,AB,B,65,0,0.0,0.0,0.09096392110574353,0.09096392110574353,0.0,3.990729344277417,3.990729344277417,0.0
SYN003,STRONG,AB,B,175,1,0.005714285714285714,0.0008766020190535425,0.1305029626304343,0.12878523443294496,-0.0017177281974893321,3.0818603946337086,3.1145643359518855,0.03270394131817689
SYN004,STRONG,AB,B,148,0,0.0,0.0,0.12040349492097732,0.12040349492097732,0.0,2.954841817220289,2.954841817220289,0.0
SYN005,STRONG,AB,B,140,2,0.014285714285714285,0.016766530366001633,0.15010534492696795,0.11829499311977278,-0.03181035180719517,3.2364136662122105,4.550416666900794,1.3140030006885839
SYN006,STRONG,AB,B,66,0,0.0,0.0,0.08998334922709482,0.08998334922709482,0.0,1.5217693345124352,1.5217693345124352,0.0
SYN007,STRONG,AB,B,134,4,0.029850746268656716,0.03337957619535628,0.18234661690575052,0.1270415001932322,-0.05530511671251831,3.6480341668214273,2.7581467504736445,-0.8898874163477828
SYN008,STRONG,AB,B,122,0,0.0,0.0,0.11208751830448602,0.11208751830448602,0.0,2.4527781042474768,2.4527781042474768,0.0
SYN009,STRONG,AB,B,84,4,0.047619047619047616,0.05515904963877116,0.1894913396084027,0.08782103236405497,-0.10167030724434772,5.866781842848017,2.8902334673613166,-2.9765483754867
SYN010,STRONG,AB,B,104,0,0.0,0.0,0.09106664493635273,0.09106664493635273,0.0,2.302833288211744,2.302833288211744,0.0
SYN011,STRONG,AB,B,123,0,0.0,0.0,0.0897821669030402,0.0897821669030402,0.0,1.9177383200520237,1.9177383200520237,0.0
SYN012,STRONG,AB,B,156,2,0.01282051282051282,0.004031817994071641,0.137664345906836,0.12999582594108747,-0.0076685199657485215,6.478405907880392,5.649626591980175,-0.828779315900217
SYN013,STRONG,AB,B,127,1,0.007874015748031496,0.0006646048761776539,0.10927637647945301,0.10772693473216137,-0.0015494417472916439,3.316987312233732,3.3849428886750186,0.06795557644128669
SYN014,STRONG,AB,B,125,0,0.0,0.0,0.11184749829685386,0.11184749829685386,0.0,2.547935483038526,2.547935483038526,0.0
SYN015,STRONG,AB,B,166,3,0.018072289156626505,0.003919748446585361,0.12370157147643798,0.11538673728177319,-0.008314834194664791,3.614010040205206,3.6138742915412867,-0.00013574866391952156
SYN016,STRONG,AB,B,103,5,0.04854368932038835,0.0031399488917188065,0.10793702116645129,0.10031562434466906,-0.007621396821782228,2.4911046416367335,2.8047453795253277,0.31364073788859415
SYN017,STRONG,AB,B,168,0,0.0,0.0,0.11040031914135419,0.11040031914135419,0.0,2.575083085292254,2.575083085292254,0.0
SYN018,STRONG,AB,B,66,0,0.0,0.0,0.07689760135780645,0.07689760135780645,0.0,1.8032285668988985,1.8032285668988985,0.0
SYN019,STRONG,AB,B,76,3,0.039473684210526314,0.0035638702817196045,0.102438992717411,0.09324459926531148,-0.00919439345209952,2.940820249325948,3.3772336231688738,0.4364133738429259
SYN020,STRONG,AB,B,105,11,0.10476190476190476,0.09596602221556126,0.24601681041008885,0.10377043602321695,-0.1422463743868719,6.719434503463729,3.9554843335248777,-2.7639501699388513
SYN021,STRONG,AB,B,161,0,0.0,0.0,0.12676276538952394,0.12676276538952394,0.0,4.192308132822216,4.192308132822216,0.0
SYN022,STRONG,AB,B,168,2,0.011904761904761904,0.0060010475414088915,0.1427724739103012,0.1316317174475307,-0.011140756462770518,5.847258146539234,5.476019950502931,-0.3712381960363027
SYN023,STRONG,AB,B,170,0,0.0,0.0,0.12239567375002891,0.12239567375002891,0.0,3.3445042430328487,3.3445042430328487,0.0
SYN024,STRONG,AB,B,75,0,0.0,0.0,0.06891319067128229,0.06891319067128229,0.0,1.2359535891804456,1.2359535891804456,0.0
SYN025,STRONG,AB,B,133,1,0.007518796992481203,0.0001808685886774951,0.1329127259304079,0.13256605635629384,-0.00034666957411405575,3.6067503195563493,3.6055137550610814,-0.0012365644952678778
SYN026,STRONG,AB,B,133,6,0.045112781954887216,0.0012226030784458109,0.1251354465345474,0.12262975373582295,-0.0025056927987244376,2.309445178580226,2.162598502378338,-0.14684667620188785
SYN027,STRONG,AB,B,147,0,0.0,0.0,0.11162553966556842,0.11162553966556842,0.0,1.7229572276224459,1.7229572276224459,0.0
SYN028,STRONG,AB,B,175,3,0.017142857142857144,0.0006505911127870032,0.13323289671559022,0.1319844510215878,-0.0012484456940024258,5.136802737261085,5.095057779117669,-0.04174495814341661
SYN029,STRONG,AB,B,136,5,0.03676470588235294,0.00133009237160811,0.14042864070120772,0.13799314551414038,-0.0024354951870673436,3.4417962848958092,3.4031008193434658,-0.03869546555234349
SYN030,STRONG,AB,B,88,0,0.0,0.0,0.09110348308659227,0.09110348308659227,0.0,1.7973598927558645,1.7973598927558645,0.0
SYN031,STRONG,AB,B,87,1,0.011494252873563218,0.00038648257999278416,0.10176154398034053,0.10079767481100997,-0.0009638691693305557,1.1561327179066374,1.1601551957533902,0.004022477846752803
SYN032,STRONG,AB,B,169,1,0.005917159763313609,0.00011994882263896969,0.13297434395838237,0.13274458227599586,-0.0002297616823865034,3.6999187331634977,3.715669764494117,0.01575103133061928
SYN033,STRONG,AB,B,148,0,0.0,0.0,0.12941487118056116,0.12941487118056116,0.0,2.705664402886403,2.705664402886403,0.0
SYN034,STRONG,AB,B,118,1,0.00847457627118644,0.000152217001521885,0.0846130503248547,0.0841589520494255,-0.00045409827542919334,2.3994233998891024,2.3918980751315924,-0.007525324757509999
SYN035,STRONG,AB,B,136,8,0.058823529411764705,0.01903484063236261,0.15870387994628155,0.1243938933258207,-0.03430998662046085,2.790887974328465,1.9801991828473269,-0.8106887914811383
SYN036,STRONG,AB,B,129,7,0.05426356589147287,0.11865502252951,0.2773609072377447,0.12146073540247793,-0.15590017183526678,17.36733760966826,2.0146390228019064,-15.352698586866355
SYN037,STRONG,AB,B,63,0,0.0,0.0,0.08519462412322258,0.08519462412322258,0.0,3.352246397265243,3.352246397265243,0.0
SYN038,STRONG,AB,B,93,0,0.0,0.0,0.07656536965188562,0.07656536965188562,0.0,1.4761995633244933,1.4761995633244933,0.0
SYN039,STRONG,AB,B,134,5,0.03731343283582089,0.00275916511281601,0.11907639898760423,0.11305204472108737,-0.00602435426651686,2.4463432210638123,2.337529153188142,-0.10881406787567016
SYN040,STRONG,AB,B,91,1,0.01098901098901099,0.000724715499320178,0.12360389920921869,0.12210657114103442,-0.0014973280681842699,2.13222042796342,2.1628926289910746,0.030672201027654555
SYN041,STRONG,AB,B,62,0,0.0,0.0,0.07095936929887926,0.07095936929887926,0.0,1.0837983912036722,1.0837983912036722,0.0
SYN042,STRONG,AB,B,126,1,0.007936507936507936,0.00020160912398380356,0.13269154731307578,0.13230435338944782,-0.0003871939236279598,3.75900641663415,3.759169316670012,0.00016290003586183488
SYN043,STRONG,AB,B,110,0,0.0,0.0,0.09955223499839681,0.09955223499839681,0.0,2.8651359900502746,2.8651359900502746,0.0
SYN044,STRONG,AB,B,119,0,0.0,0.0,0.12654630248272036,0.12654630248272036,0.0,5.797435515179957,5.797435515179957,0.0
SYN045,STRONG,AB,B,79,1,0.012658227848101266,0.00044194139252629446,0.1074987365433617,0.10645400981220515,-0.0010447267311565478,2.1747533329017594,2.149505421110719,-0.025247911791040245
SYN046,STRONG,AB,B,101,1,0.009900990099009901,0.0010614127067156763,0.11905907074198209,0.11677850129371777,-0.0022805694482643246,3.472182385911406,3.643413496971365,0.17123111105995914
SYN047,STRONG,AB,B,156,0,0.0,0.0,0.1088159262874819,0.1088159262874819,0.0,3.7010333762420173,3.7010333762420173,0.0
SYN048,STRONG,AB,B,130,16,0.12307692307692308,0.00955203648085161,0.11789375248121085,0.09522591204730342,-0.022667840433907432,2.262227139443409,2.486643257049541,0.22441611760613212
SYN049,STRONG,AB,B,100,1,0.01,0.00012185461838449318,0.094242561893998,0.09391588803278661,-0.0003266738612113934,2.1026891804446333,2.096907546615541,-0.0057816338290921365
SYN050,STRONG,AB,B,144,0,0.0,0.0,0.10990067779371694,0.10990067779371694,0.0,4.313638428164247,4.313638428164247,0.0
SYN051,STRONG,AB,B,154,10,0.06493506493506493,0.003910556806997411,0.10580092593156738,0.0960127738313784,-0.009788152100188977,2.404662909710236,2.382709768095506,-0.021953141614730054
SYN052,STRONG,AB,B,75,1,0.013333333333333334,0.03851531011918597,0.16226778433449182,0.08219426426904203,-0.0800735200654498,2.12872534913872,1.293700853887427,-0.8350244952512929
SYN053,STRONG,AB,B,176,6,0.03409090909090909,0.003658388803710771,0.1399584933145576,0.13313323137898472,-0.006825261935572868,5.82218664169858,5.765938482252998,-0.05624815944558215
SYN054,STRONG,AB,B,118,3,0.025423728813559324,0.001039537722721574,0.11280893297389535,0.11045153251529605,-0.002357400458599307,4.116371462843025,4.158722814333284,0.04235135149025915
SYN055,STRONG,AB,B,98,1,0.01020408163265306,0.0010576670400899775,0.10588857683538203,0.10333581740246536,-0.0025527594329166625,2.7707217923559306,2.8022071951541663,0.03148540279823564
SYN056,STRONG,AB,B,159,12,0.07547169811320754,0.015009590192812604,0.157315612197643,0.13072165608965902,-0.026593956107983985,2.853132141068371,3.0192533020190986,0.16612116095072738
