layer,model,world,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_observed_map_error,geometry_observed_map_error,world0_support_dispersion,geometry_support_dispersion,observation_regime
E0,ORACLE,STRONG,AB,1,9042101,72,28,28,16,1.0,7.408462818086096,-13.662572326144888,7.408462818086096,1.0,1.0,1.0,1.0,135.7229466154891,154.2661923600053,27.109769125731795,25.10135195998297,27.109769125731795,25.10135195998297,0.0,0.0,O1
E0,ORACLE,STRONG,AB,2,9042102,72,28,28,16,1.0,8.251455182352121,2.895106830490125,8.251455182352121,0.9375,0.9375,1.0,1.0,142.1530802232532,138.0375966879577,35.281404835405205,32.37017552770753,35.281404835405205,32.37017552770753,0.0,0.0,O1
E0,ORACLE,STRONG,AB,3,9042103,72,28,28,16,1.0,11.007567731981185,3.5111343608060936,11.007567731981185,0.9375,0.9375,1.0,1.0,142.79440804445386,137.78070451829538,34.80392509327503,30.972859465244788,34.80392509327503,30.972859465244788,0.0,0.0,O1
E0,ORACLE,STRONG,AB,4,9042104,72,28,28,16,1.0,14.901043821118025,-8.23892152188624,14.901043821118025,1.0,1.0,1.0,1.0,142.79440804445386,154.55912726087843,29.18298156329337,24.83441269223823,29.18298156329337,24.83441269223823,0.0,0.0,O1
E0,ORACLE,STRONG,AB,5,9042105,72,28,28,16,1.0,12.056053476972012,10.527252682894263,12.056053476972012,1.0,1.0,1.0,1.0,134.33450311136386,120.19277052852013,27.544406886475386,24.223638462327152,27.544406886475386,24.223638462327152,0.0,0.0,O1
E0,ORACLE,STRONG,BA,1,9042101,72,28,28,16,1.0,7.408462818086096,-13.662572326144888,7.408462818086096,1.0,1.0,1.0,1.0,135.7229466154891,154.2661923600053,27.109769125731795,25.10135195998297,27.109769125731795,25.10135195998297,0.0,0.0,O1
E0,ORACLE,STRONG,BA,2,9042102,72,28,28,16,1.0,8.251455182352121,2.895106830490125,8.251455182352121,0.9375,0.9375,1.0,1.0,142.1530802232532,138.0375966879577,35.281404835405205,32.37017552770753,35.281404835405205,32.37017552770753,0.0,0.0,O1
E0,ORACLE,STRONG,BA,3,9042103,72,28,28,16,1.0,11.007567731981185,3.5111343608060936,11.007567731981185,0.9375,0.9375,1.0,1.0,142.79440804445386,137.78070451829538,34.80392509327503,30.972859465244788,34.80392509327503,30.972859465244788,0.0,0.0,O1
E0,ORACLE,STRONG,BA,4,9042104,72,28,28,16,1.0,14.901043821118025,-8.23892152188624,14.901043821118025,1.0,1.0,1.0,1.0,142.79440804445386,154.55912726087843,29.18298156329337,24.83441269223823,29.18298156329337,24.83441269223823,0.0,0.0,O1
E0,ORACLE,STRONG,BA,5,9042105,72,28,28,16,1.0,12.056053476972012,10.527252682894263,12.056053476972012,1.0,1.0,1.0,1.0,134.33450311136386,120.19277052852013,27.544406886475386,24.223638462327152,27.544406886475386,24.223638462327152,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,AB,1,9042101,72,28,28,16,0.0,-1.1159112444816717,-3.4807148965016865,-1.1159112444816717,0.875,0.875,0.875,0.875,371.70420014773435,384.642163613199,135.3380782864814,136.84833112014564,135.3380782864814,136.84833112014564,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,AB,2,9042102,72,28,28,16,0.0,-0.2137551589201769,2.4606897326097847,-0.2137551589201769,0.875,0.875,0.9375,0.9375,458.02038637076697,446.74992575008184,153.59531082884297,153.9236287295991,153.59531082884297,153.9236287295991,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,AB,3,9042103,72,28,28,16,0.0,-0.2234778413422194,1.215573958975366,-0.2234778413422194,1.0,1.0,1.0,1.0,409.2695663815572,404.2945921106116,138.2676114831812,138.57660895659927,138.2676114831812,138.57660895659927,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,AB,4,9042104,72,28,28,16,0.0,-1.1814850506563834,1.2742499750524074,-1.1814850506563834,0.875,0.875,0.875,0.875,405.8480245701525,400.67650621831666,155.38948602924563,157.22538957697296,155.38948602924563,157.22538957697296,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,AB,5,9042105,72,28,28,16,0.0,-0.1607905595813773,1.7699452358136734,-0.1607905595813773,0.9375,0.9375,0.9375,0.9375,453.6125795681024,445.58388532698524,148.72809417961497,148.9672349145011,148.72809417961497,148.9672349145011,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,BA,1,9042101,72,28,28,16,0.0,-1.1159112444816717,-3.4807148965016865,-1.1159112444816717,0.875,0.875,0.875,0.875,371.70420014773435,384.642163613199,135.3380782864814,136.84833112014564,135.3380782864814,136.84833112014564,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,BA,2,9042102,72,28,28,16,0.0,-0.2137551589201769,2.4606897326097847,-0.2137551589201769,0.875,0.875,0.9375,0.9375,458.02038637076697,446.74992575008184,153.59531082884297,153.9236287295991,153.59531082884297,153.9236287295991,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,BA,3,9042103,72,28,28,16,0.0,-0.2234778413422194,1.215573958975366,-0.2234778413422194,1.0,1.0,1.0,1.0,409.2695663815572,404.2945921106116,138.2676114831812,138.57660895659927,138.2676114831812,138.57660895659927,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,BA,4,9042104,72,28,28,16,0.0,-1.1814850506563834,1.2742499750524074,-1.1814850506563834,0.875,0.875,0.875,0.875,405.8480245701525,400.67650621831666,155.38948602924563,157.22538957697296,155.38948602924563,157.22538957697296,0.0,0.0,O1
E0,ORACLE,PAIRED_NULL,BA,5,9042105,72,28,28,16,0.0,-0.1607905595813773,1.7699452358136734,-0.1607905595813773,0.9375,0.9375,0.9375,0.9375,453.6125795681024,445.58388532698524,148.72809417961497,148.9672349145011,148.72809417961497,148.9672349145011,0.0,0.0,O1
E0,ORACLE,STRONG,AB,1,9042101,72,28,28,16,1.0,7.408462818086096,-13.662572326144888,7.408462818086096,1.0,1.0,1.0,1.0,135.7229466154891,154.2661923600053,27.109769125731795,25.10135195998297,27.109769125731795,25.10135195998297,0.0,0.0,O2
E0,ORACLE,STRONG,AB,2,9042102,72,28,28,16,1.0,8.251455182352121,2.895106830490125,8.251455182352121,0.9375,0.9375,1.0,1.0,142.1530802232532,138.0375966879577,35.281404835405205,32.37017552770753,35.281404835405205,32.37017552770753,0.0,0.0,O2
E0,ORACLE,STRONG,AB,3,9042103,72,28,28,16,1.0,11.007567731981185,3.5111343608060936,11.007567731981185,0.9375,0.9375,1.0,1.0,142.79440804445386,137.78070451829538,34.80392509327503,30.972859465244788,34.80392509327503,30.972859465244788,0.0,0.0,O2
E0,ORACLE,STRONG,AB,4,9042104,72,28,28,16,1.0,14.901043821118025,-8.23892152188624,14.901043821118025,1.0,1.0,1.0,1.0,142.79440804445386,154.55912726087843,29.18298156329337,24.83441269223823,29.18298156329337,24.83441269223823,0.0,0.0,O2
E0,ORACLE,STRONG,AB,5,9042105,72,28,28,16,1.0,12.056053476972012,10.527252682894263,12.056053476972012,1.0,1.0,1.0,1.0,134.33450311136386,120.19277052852013,27.544406886475386,24.223638462327152,27.544406886475386,24.223638462327152,0.0,0.0,O2
E0,ORACLE,STRONG,BA,1,9042101,72,28,28,16,1.0,7.408462818086096,-13.662572326144888,7.408462818086096,1.0,1.0,1.0,1.0,135.7229466154891,154.2661923600053,27.109769125731795,25.10135195998297,27.109769125731795,25.10135195998297,0.0,0.0,O2
E0,ORACLE,STRONG,BA,2,9042102,72,28,28,16,1.0,8.251455182352121,2.895106830490125,8.251455182352121,0.9375,0.9375,1.0,1.0,142.1530802232532,138.0375966879577,35.281404835405205,32.37017552770753,35.281404835405205,32.37017552770753,0.0,0.0,O2
E0,ORACLE,STRONG,BA,3,9042103,72,28,28,16,1.0,11.007567731981185,3.5111343608060936,11.007567731981185,0.9375,0.9375,1.0,1.0,142.79440804445386,137.78070451829538,34.80392509327503,30.972859465244788,34.80392509327503,30.972859465244788,0.0,0.0,O2
E0,ORACLE,STRONG,BA,4,9042104,72,28,28,16,1.0,14.901043821118025,-8.23892152188624,14.901043821118025,1.0,1.0,1.0,1.0,142.79440804445386,154.55912726087843,29.18298156329337,24.83441269223823,29.18298156329337,24.83441269223823,0.0,0.0,O2
