observation_realization,AB_strong_gain_pp,AB_paired_null_gain_pp,AB_separation_pp,BA_strong_gain_pp,BA_paired_null_gain_pp,BA_separation_pp,pooled_strong_gain_pp,pooled_paired_null_gain_pp,pooled_separation_pp,BA_minus_AB_separation_pp,AB_STRONG_geometry_coverage,AB_PAIRED_NULL_geometry_coverage,BA_STRONG_geometry_coverage,BA_PAIRED_NULL_geometry_coverage,pooled_STRONG_geometry_coverage,pooled_PAIRED_NULL_geometry_coverage
1,-8.9207201569741,3.427374718787842,-13.361913199412184,-17.963735860511786,3.9347760310192315,-24.410357778044844,-13.442228008742944,3.6810753749035365,-18.886135488728513,-11.04844457863266,1.0,0.875,1.0,0.875,1.0,0.875
2,-4.4033706686929435,4.451792352913963,-8.888197149027349,-25.229146544049467,3.3902509749258267,-28.619397518975294,-14.816258606371205,3.9210216639198947,-18.75379733400132,-19.731200369947945,1.0,0.8125,0.9375,0.875,0.96875,0.84375
3,-12.255502769745316,3.1084959564301533,-15.82700588536693,-29.010794938747974,3.6141398296716014,-28.103717913434505,-20.633148854246645,3.3613178930508774,-21.96536189940072,-12.276712028067575,1.0,0.875,0.9375,0.875,0.96875,0.875
4,-7.400178758862342,4.48437178761783,-11.884550546480172,-22.279272649925108,4.142159983217097,-26.65531905060267,-14.839725704393725,4.313265885417463,-19.26993479854142,-14.770768504122499,1.0,0.875,0.9375,0.875,0.96875,0.875
5,-12.01502865105128,3.9936554797896124,-15.067003266150335,-20.383062677865592,3.8533963625849372,-25.56640471330769,-16.199045664458435,3.9235259211872746,-20.316703989729014,-10.499401447157355,1.0,0.875,0.9375,0.875,0.96875,0.875
6,-8.596187311579712,4.137471602862964,-12.733658914442675,-25.303323030403728,3.117867853307992,-29.438621758865363,-16.949755170991722,3.627669728085478,-21.08614033665402,-16.70496284442269,1.0,0.8125,0.9375,0.875,0.96875,0.84375
7,-7.657686962809541,4.163024042539793,-13.227497679711163,-20.096463865230827,3.244256757549823,-23.34072062278065,-13.877075414020185,3.703640400044808,-18.284109151245907,-10.113222943069488,1.0,0.875,1.0,0.875,1.0,0.875
8,-3.284469918396327,2.901970613098281,-6.259469897856857,-25.96506333690767,4.567409993312294,-27.194440907488058,-14.624766627651997,3.7346903032052876,-16.72695540267246,-20.9349710096312,1.0,0.875,0.9375,0.875,0.96875,0.875
9,-9.63905473625119,2.8813661192989803,-14.424021340251759,-22.20669784928917,4.174235479430826,-26.380933328719998,-15.92287629277018,3.527800799364903,-20.40247733448588,-11.956911988468239,1.0,0.875,0.9375,0.875,0.96875,0.875
10,-8.97616849292197,3.945874366687227,-12.922042859609196,-23.157742630597653,4.278379012578361,-25.939647459323787,-16.066955561759812,4.1121266896327935,-19.430845159466493,-13.017604599714591,1.0,0.875,0.9375,0.875,0.96875,0.875
11,-9.27768299533389,3.864881206642532,-13.349219608466296,-27.842693373548318,3.476684429922038,-31.04631038975708,-18.560188184441103,3.670782818282285,-22.197764999111687,-17.697090781290783,1.0,0.875,0.9375,0.875,0.96875,0.875
12,-10.75832218078225,3.054020968099432,-11.425173048688524,-22.069566913673835,2.9799299123320213,-25.133951565479393,-16.41394454722804,3.0169754402157265,-18.279562307083957,-13.708778516790868,1.0,0.875,0.9375,0.875,0.96875,0.875
13,-3.2759929524374822,4.001299395086556,-7.951062497942245,-25.64167753730735,3.7028049897124133,-28.057292166011234,-14.458835244872414,3.8520521923994844,-18.004177331976738,-20.106229668068988,1.0,0.875,0.9375,0.875,0.96875,0.875
14,-12.748518931062167,3.805481184700668,-16.554000115762836,-24.408785772826878,3.670275078654773,-28.07906085148165,-18.578652351944523,3.7378781316777205,-22.316530483622245,-11.525060735718814,1.0,0.875,0.9375,0.875,0.96875,0.875
15,-9.385640548989228,2.3036426467179334,-11.637530918418966,-21.642716210051923,4.119900668535512,-21.473763878500527,-15.514178379520576,3.2117716576267226,-16.555647398459747,-9.836232960081562,1.0,0.875,0.9375,0.875,0.96875,0.875
16,-7.62549627089146,3.9430956714438294,-12.250129971672571,-21.29442045042903,3.898656907953596,-25.193077358382627,-14.459958360660245,3.920876289698713,-18.7216036650276,-12.942947386710056,1.0,0.875,0.9375,0.8125,0.96875,0.84375
17,-12.879637324702545,4.45812180726485,-17.337759131967395,-30.15485745680453,3.781763409133427,-33.936620865937954,-21.517247390753536,4.119942608199138,-25.637189998952675,-16.59886173397056,1.0,0.8125,0.9375,0.875,0.96875,0.84375
18,-7.359397263047775,4.42860191052392,-11.787999173571695,-17.202193860039213,3.2017814471927823,-20.822791568600675,-12.280795561543494,3.8151916788583513,-16.305395371086185,-9.03479239502898,1.0,0.8125,0.9375,0.875,0.96875,0.84375
